加了时长，先给导演加鸡腿。还有请宿舍不日常一定要周更日常哦！
"点开视频，这次进度条挺长的嘛。[小电视_笑]
等等，女常什么时候这么长了？[小电视_吃惊]"
第3季了啊……过得真快
如果有女孩子和大圆的情况是一样。我想告诉你们，你们如果真的想追到那个喜欢很久的人，真的要多下功夫变成可以和他并肩站在一起的人。我原来也喜欢一个男生，很喜欢很喜欢，那个时候我还不是很漂亮，不会化妆 身材不行 不会穿衣服。很自卑我觉得我自己配不上他，我身边的朋友和小斌斌他们一样一直帮我想办法接近他和他说话。当然也是成功了哈哈哈。但是我那个时候还不足够好。我现在会化妆，身材比原来好很多（我同学看见我说我变了好多瘦了很多）也会穿衣服了。所以现在的我有足够的自信去追他。我想送给所有和大圆或者和我一样的女生几句话！爱情不分先来后到，也不分配和不配，只有喜欢和不喜欢，还有表白这个事情任何时候都合适，你只要看时机成熟不成熟。女孩子要会打扮自己。而且一定记住自信！要自信！自信的女生最漂亮！自信可不是不要脸呐哈哈哈。没有人会喜欢不自信的人啊！希望你们都能追到喜欢的人，嘻嘻嘻。
我也是大圆，胖胖的，镜片也很厚。体重没减下去，但是身材变好了。不管失没失恋，我在一点一点优秀。不是为了某某，而是为了我自己。
天呐，弹幕里竟然有人说大圆和扩哥在一起是糟蹋了扩哥，这真的很过分了，大圆怎么了？胖就不能喜欢帅点的男生（扩哥应该是这样的人设）了吗，你是有多自卑？？
日本高中动漫多，因为高中生活很悠哉，中国如果也拍一个以高中生活为主题的动漫会被喷：苟屁！高中生活哪有这么悠哉?校服哪有这么好看?课余时间哪有这么多?所以主题叫要以大学生活为原型。
大圆表白失败后深受打击，拼命锻炼，一夜暴瘦，接下来请收看《我太受欢迎了该怎么办》（￣▽￣）
大圆表白失败后深受打击，拼命锻炼，一夜暴瘦，接下来请收看《我太受欢迎了该怎么办》
改了名字后感觉掉了许多像我这样愚蠢的粉丝，更新到5集才发现更新了😂
妈的智障我刚知道有第三季，我还等着第二季呢( ´_ゝ｀)
我希望扩哥和小斌斌一起，大圆配素洁←_←
有没有人和我一样希望扩哥和小斌斌在一起（只是单方面希望）
我觉得扩哥和那小娘娘腔会有一段可歌可泣的爱情故事 （不要赞我）
狮兄和毛毛千万不能分手啊，狮兄真的不会谈恋爱……【着急】
"妈蛋，我还一直纳闷为什么一直接不到这番更新的消息，想着工作室这次也休息太长时间了吧……
结果今天本来想在第二季第八话吐槽一下工作室，结果发现第三季都两集了←_←"
如果自己不喜欢的人在公共场合向自己大声表白，也很困扰吧，周围在起哄，又不能太伤别人的心，挺难做人的。
我特喵好想知道扩哥喜欢什么样的女孩子……长着一张男女通吃的脸结果男女朋友都没有…这还有天理吗？！
感觉狮兄是宿舍中分裂出去的那个人，她的戏份几乎都是和毛毛一起的，不过考虑狮兄的性格……好像也没毛病。从一开始就感觉到狮兄有点孤独，不管怎样，希望毛毛或者是女常的大家能让她多笑笑
看了三季还问狮兄男的女的  我呵呵你一脸
每一只胖子都是一只潜力股
"告诉大家好消息！
女常周更了！
但是我相信
进度条一定越来越短小(´；ω；`)"
刚刚看完第二季完结篇，我四十米的大刀已经拔了三十九米，现在看到第三季，我决定把刀收回去，好好追番ヾ ^_^♪
第三季出的时候我才发现第二季出完了？哈哈  之前在tx看的一直没看有第二季。这几天补完第二季  师兄声音究极撩(｡･ω･｡) （本人女男装大佬但是是受。。）
我还是比较喜欢小斌斌扩哥
我还是站韦彤和娘炮_(:3」∠)_
