有种中央一台播动画片的感觉是怎么回事????????
"嗯，看完了
背景很写实，人物很可爱，刘师超级帅！
总的来说嘛，那句话怎么讲的来着——
对，质朴也很棒！
加油加油加油！"
表白春花片尾曲
我们宿舍的日常在别人看来一定是一部哲学片
"搬运工在B站的地位与付出不成正比，这是一直以来的，因为观众觉得下载再上传这事谁都可以做的，所以搬运工粉丝少，硬币少，搬运工中有一线搬运工，他们大都是半官方的人员，第一时间从各种渠道拿到可以在B站播放的无版权片源，然后上传，他们的工作是1.第一时间下载片源。2.上传投稿。而另一种搬运工，二线的BD搬运工，他们一般是各种有条件的个人，他们的工作。1.下载原盘级别的片源(体积很大)，下载字幕，下载字体。2.检查字幕，检查片源，根据片源调整压制参数。参数要是没调整好，第3步白搭，要重做！3.压制视频，一般很好性能的电脑也要烧上大约片长3倍左右的时间，甚至更久。4，上传投稿。这类搬运工付出的劳动不亚于甚至更多于一线搬运工，而且从长久看，他们对B站观众带来的益处也更大。然而二线注定他们地位更低，粉丝和收到的关注更少，一般只能获得一线搬运工10％到1％的硬币。所以，你见到那些二线搬运工，撞车这个词是伤他们心的，一个硬币加点亮你的关注，给他们付出的劳动一个肯定吧。
个人手打，希望看到的复制下？"
可以可以，中国动漫讲中国事，不像有的国漫非要学日漫套路[小电视_赞]
毕业党表示遇到好舍友需要运气_(:3」∠)_
啥时候出个男生宿舍日常，，肯定很有视♂觉♂冲♂基♂力（￣▽￣）
期待出男生宿舍日常，什么都不说了，燃烧吧我的腐女之心～
想到这个学期的勾心斗角，我可qn麻个b吧
520寝室，住了三年，全寝室单身三年，哈哈哈哈，可能有毒
"突然就想起我们宿舍的谜之日常,简直是神经病,我们宿舍九个人,在校运会那几天晚上,我们宿舍就披着滑稽披风戴着小埋斗篷盖着熊本熊的披风从教学楼一路舞狮子啪啪啪的跳回宿舍,一路上我们醉人的笑声一路回响,我,永远都不会忘记,那些个,学长,看我们那种眼神,这他妈比我在看bl漫画是发现结局是be的时候还可怕卧槽!!最不能忘的就是学长跟小学妹们看制杖一样的眼神(╯°口°)╯(┴—┴我怎么就有这么一群舍友呢(╯°口°)╯(┴—┴我一个纯良的妹子(╯°口°)╯(┴—┴"
好羡慕这种寝室。现实残酷Ծ‸Ծ
我们宿舍一个高冷懒宅女，一句话堆死不偿命的女神，天天窝图书馆的学霸，能说会道的优秀的leader，剩下两都是老司机一个混二次元，一个混腐女圈????虽然有点小吵小闹但还是共度了快三年，剩下的时间✌希望不负韶光多多指教，互相包容相亲相爱[2233娘_耶]
舍友关系真好，羡慕啊，我们宿舍就是分成两派，不怎么说话，聚餐也不去，群也是死的，我怎么活跃都没用，平时不一起吃饭，但是位子还是我自己帮她们占着，一个人吃饭，占四个人的位子，唉(´；ω；`)
披着幼儿皮的成人动画∠( ᐛ 」∠)＿
“退学吧”，哈哈哈哈，我先入坑为敬，各位随意，这番发现的有点晚诶(⊃‿⊂)
我们宿舍四个人都让我给带腐了，现在看见一男的第一反应不是帅而是猜攻受
现在我已经大学毕业了，相比而言，我的大学生活太单调无趣了
我们的塑料姐妹情很可怕，盼望着赶紧上完去实习(´･_･`)
这么棒的动画我竟现在才发现？！师兄师兄我们百合吧！！(⋈◍＞◡＜◍)。✧♡
我们宿舍嘛。。。。没错我就是撑起我们宿舍的【污】支柱的那个人!╮(‵▽′)╭
从网易云音乐来的
为什么我一个高三男生来看这些
日常，悠哉日常，男高日常，搞姬日常，猫咪日常……常：我有橘麻麦皮不知当浆不当浆！(╯°口°)╯(┴—┴
真心不错，这样的国漫比那些日漫风的好看多了。有这种独特的画风真的好，而且也是日常剧，比那些什么异世界，热血战斗一点不接现实的国漫好看多了。温馨的感觉…赞????
师兄莫名像霍星……原谅我脸盲，顺便承包表白霍妹！！！
狮兄的耳钉，俗话说左耳单身右耳gay，狮兄是弯的，无误了。
山新是罗小黑战记里的那个山新吗(°∀°)ﾉ
咳，，，我室友说我是韦彤和大圆的结合体，，，T﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏TT﹏T
说实话点进来第一句中文惊到我了
喜欢喜欢喜欢喜欢，像魔角侦探那样的，很有童年的感觉，追啦！
这个番在漫展举行的嗑瓜子大赛我好像拿过第一哦。(°∀°)ﾉ
我是因为兰陵来看的
"对我来，女生宿舍的日常就是：
早上停尸房，偶尔炸个尸
中午养老院，一片睡死相
晚上疯人院，全鬼哭狼嚎
半夜特工总局，被窝里一阵蓝白光"
我们国产动漫作风总是那么童真⊙ω⊙
今年7月已经毕业了，看到这部动漫总是泛酸，我的626宿舍已经是别人的了，不再是我的……
真.国产良心作
师兄好帅！感觉要弯了╮(￣▽￣)╭
推荐里偶然看见，我是个高三狗，虽然2018高考还有一段时间，我还是对大学生活充满了……恐惧，听说大学里有的是学习好交际好娱乐好的大神，害怕开学的高训，就怕体育考试……真的太差←_←高中我不住校也没有宿舍经验emmm我想通过这个了解下日常
看到最后我才发现，我竟然一直在用1.25倍速看，而我并没有感觉到丝毫不妥Σ(ﾟдﾟ;)
和宿舍那群约好了一起看钙片的，现在还没实现。
"这纹身，挺横啊！
两脚咸鱼身上纹，掌声送给社会人。"
冲着谢春花和山新这番追了(･∀･)
画风很好啊 为什么有人吐槽画风 反正我很喜欢这个画风
"这个动画我怎么没有发现！！！
难道B站才买这个不久吗？
可是也没有番剧承包啊！
为什么我现在才发现这番！！！
升国旗的时候好爽啊，终于在动漫里看到我大中华的国旗了！"
哈哈哈哈哈哈，网易云的宣传来的 超喜欢这个
我男的可以看这个吗
不行，这画风还不够灵魂
我们宿舍日常就是小黄片嘛……一有人弯腰系鞋带宿舍扛把子泰迪对着人屁股狂动……_(:3」∠)_
从零号宿舍看到有人推荐就来看了
因为作者断更所以只好二周目。
声音意外的好听呢
一种小时候看动画片的感觉是肿么回事？������
有一种小时候看动画片的感觉
我！！！！！喜欢！！！！！刘师和！！！！！毛毛！！！！！！！！！人生第一对萌的gl啊啊啊啊啊天哪！！！！！！
喜欢这个配音，挺好看的，就喜欢这样普普通通的情节，给人温暖的感觉。
我一直以为女生宿舍是6个人8个QQ群那种。。。。
啥时候出第二部啊？等着看呢
如果我有一个完全陌生的室友，刚来了就把我宿舍给烧了我肯定气死了。。。
跪求大圆的电话铃声
怎么都是小平头，好像马桶盖。
有没有科普君！！好想知道师兄为啥会在gay吧，身上了吻痕和唇印是咋来了？秀秀应该和韦彤是cp吧，有其他cp吗？
这女主和我有点像呀[小电视_吃惊]
主题曲是毛泽少的爆炸少女啊
现在大家都是平头百姓了
我现在的宿舍差不多就这个氛围
emmm，可以看出这个世界的天塌过
大学宿舍是个神奇的地方
各自出其不意的污啊(´･_･`)
是我的错觉吗，我觉得这个动漫的社会意义很浓…真的= =无论是哪个人物都有一点当今不和的审美缺陷，而这种缺陷与画风恰恰反应了另一种美…也许我是疯了该吃药了。
