这是耽美向作品，不喜慎入，也不要刷女主之类的，还有阿淼是公喵。
"《喂，看见耳朵啦》作者:特雷西胡 。一对奇怪而有趣的同居组合，暖男大叔与萌喵阿淼的欢乐日常，两人一起，淡淡的，好滋味。
特雷西胡 ，当红网络漫画创作人、软萌系轻绘本作者。以大长腿、单马尾的女生漫画形象，及清新治愈的故事走红网络，系列故事微博转发量过万，清新的画风，耐人寻味的故事备受好评

作品主要描绘了单身青年大树与一只萌宠猫咪--阿淼的生活趣事。自幼在福利院长大的大树是一位名不经传的漫画家，过着不温不火的孤独生活。对于&#34;温暖&#34;&#34;幸福&#34;只存在字面上的意思。自从神秘的&#34;耳朵族&#34;猫咪--阿淼的到来，与萌宠的共同生活，使大树的生活发生了翻天覆地的变化，尽管手忙脚乱，麻烦不断，但也给大树带来了&#34;真正&#34;的生活。使大树的心中第一次对于&#34;温暖&#34;&#34;幸福&#34;充满了实感。

免费漫画内容连载于漫漫平台。"
本动漫是一对百合N对基(=・ω・=)
(=・ω・=)前排卖锅有人要吗(=・ω・=)
来了啊...！】
每次有腐漫总会出现某类人，在耽美番里问女主，在百合番里刷男主，真的烦炸了。你要想看萌，后宫死宅番欢迎你，何必追自己不喜欢的类型。
有些人有点过分了吧，这番剧就是腐番人家刷一下又能怎么样，强调腐是因为很多人雷腐向，人家好心提醒，你讨厌腐番讨厌腐女，还来这里diss人，你自身的行为足够恶心啊，和你嘴里乱刷的某些人一丘之貉
"emmm楼上竟然有人说“正常的我看着好别扭”这种话？？？
*首先声明，这是耽美作品！这是耽美作品！这是耽美作品！非腐勿入！
1.这是耽美作品，接受不了请不要进来；
2.请问什么叫做“正常的你”？你的意思是你是个异性恋所以你是正常的？大清已经亡了哥们，同性恋异性恋，不管怎么样，存在即合理，没有什么正常不正常之分。
另外，请bg党另找番剧，不要在耽美番剧底下刷和bg有关的话。例如：“如果是bg就好了”“把xx人物当成女的看就好了”这种话在耽美番剧底下刷你真是能耐了啊，我看你就是欠揍了。"
有些人是不是有毒，这原著就是腐向，还刷腐自重？腐没人权，连腐番都不能刷了？天天在别的番剧哪里bb刷腐自重，还“正义”的跑到腐番这里bb了，你是不是管的太宽了，“刷腐自重”警察
我ballball各位看bl想吐的直男和满脑子谈恋爱的直女，接受不了麻利的滚好吗？别说什么阿淼是女的就好了，阿淼其实是女的你看没有喉结，我就要当成女的来看之类的话，很恶心。我要是说你们看的玛丽苏神剧女主是个男的就好了好不好？滚吧别显得自己很无知，一开头都说的很明白是男孩子了还要自欺欺人，有病吧本来bl就不多还要被你们硬说成bg，再这样我祝你喜欢的人都是同性恋
强调腐是因为好心排雷，毕竟有些人不喜欢看，到某些人嘴里成什么了？成别有用心的强调了
mmp，什么叫把阿淼当成女的看就能看下去，能不能尊重这个动漫，尊重里面的人物，还请bg党高抬贵手放过这个番，说的像我们不正常似得，接受不了的赶紧走，到时候百合的时候你还能把女孩子想象成男的吗？
"我很难受！！！弹幕有人说了句“可是声优是女的”，角色仍然是男的！！懂吗！！！！！！！！不是bg！！求你们了！！！！阿淼男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子男孩子这番不是bg不是bg不是bg不是bg不是bg

漫画党真心难受( ´_ゝ｀)"
友情提示，这番是部完完全全的耽美番，番里没有任何一对bg，相反有一堆blgl，受不了bl恶心耽美的真的赶紧走，别想着男主很可爱可以勉强看下去，等到后面一堆cp出来时你一定会弃番的，不如早早弃了最好。
本来就是耽美，说女孩子还是洗洗睡吧
某些人喜欢看萌，接受不了耽美，就强行把公猫想象成母猫也是厉害。你那么喜欢萌，去隔壁看一堆百合番不就好了吗。不对，百合也不适合，因为你们无非是把她们看作是自己的后宫罢了，然后YY，所以卖肉后宫番才是你们最终的归宿╮(￣▽￣)╭
"评论和弹幕某些刷直男再见和基佬番恶心的        
  你直男偶然点进来没事  刷告辞刷再见就是你的不对了  然后刷恶心的就更过分了   这种言行永远比你认为恶心的东西更让人恶心。"
求一些BG党放过耽美吧！角色本身就是男性，决不会改变！尊重作者和原著可以吗？？？不要在意淫和ky了行不行？作为原著漫画党看到有人说“把角色看成女性就行了。”真的很难受(´；ω；`)那么想看男女恋爱就去相关的番剧刷啊，为什么要说出这种令人讨厌的话。
同性恋是恋，恐同症是症，你觉得哪个有病？喜欢后宫番你就去看啊，非要在bl里面找女主。
终于！国漫也开始cv的bg夫妇/cp虐狗了吗。。。。。继日漫的铃村夫妇，松冈爱衣，内田骨科过后，终于我们也有了山新夫妇的虐狗漫了吗。。（啊。还有个纳米核心古瑞德和赫雅这一对真cp）
