各位小哥哥小姐姐们，你们都知道什么好看的动漫吗？可以推荐一下吗？谢谢！😊
很好看，就是有点长，再短点就更完美了，还有更新太快了！
不过很多人喜欢这个结局: 　　 　　某天，大雄如往常般，忘了做作业在学校被老师骂，也如往常般被技安、阿福他们打。连未来的老婆宜静也答应要先嫁给别人。总之，对大雄来讲，生活就是一连糟. 　　今天跟昨天没什么两样。唯一的变化是，小叮当突然变成植物机器猫，无论大雄怎么踢、打、骂，小叮当都没有反应。大雄不知道小叮当到底发生了什么事伤心得哭了整晚。可是，无论大雄再伤心透顶，小叮当也只是纹风不动地坐在那里，大雄伸手到口袋里，但口袋也豪无任何动静。然后大雄想起抽屉里的时间飞行机，就穿著睡衣去世纪去找小叮当的妹妹小叮铃。 　　 　　小叮铃还没完全听完说明，就被大雄催着坐上飞机飞回20世纪。小叮铃一看哥哥动也不动，马上知道是电池用完了。正想换电池时，小叮铃想起一个非常重大的事。没有备用电源……大雄不懂得其中意思，只在一旁催。小叮铃只好问大雄：你愿意让哥哥跟你的回忆都消失吗？原来旧型的猫机器人的耳朵里，装有备用电源，以便充电时能保持至今为止的记忆。可是……小叮当没有耳朵！（这是众所皆知的吧。）大雄终于里解了事情的困难。种种回忆在大雄的脑海里奔腾大雄跟小叮当曾飞到过去、未来，也曾到恐龙世界，海底世界，更在宇宙打过仗……小叮铃拼命解释给大雄听。若要装新电池，小叮当醒来时会失去一切与大雄曾有过的回忆。若保持现状，记忆不会消失。结果，大雄选择保持现状。此时，大雄还是小学六年级。 　　 　　十数年后……从海外归国的大雄，已成长为英俊迷人的青年，并就职于某家尖端科技的企业。他身边的新娘，正是宜静。当年，小叮铃回到22世纪后，大雄只跟身边的人们说，小叮当回到未来的世界去了。时日一久，也就没人再提小叮当的事。不过，小叮当其实一直被保管在大雄家的壁橱里。大雄为了修好小叮当，拼命用功读书，然后国中、高中、大学，成绩逐年升腾。最后出国到著名的大学留学。现在，大雄身在他自己的研究室中。他叫来平日严禁其出入研究室的妻子宜静。对她说：你看好，我要按开关了。说完，大雄颊上情不自禁流下两串泪珠。他就是为了这一刻，苦学了十几年……为了这一刻，从一个老是忘了做作业、成绩从倒数起算比较快的笨学生，爬到今天的地位……开关按下后，久久一阵静寂，静寂……终于，小叮当开口了：“大雄，我等你很久了。” ... ...
啧，一些人你觉得难看就难看吧没人求你看，非得bb个没停。怎么显示你的独特品味?与众不同?说句难听的，这种画风还不入不了眼?别在这里暴露你low的可怜鉴赏水平了。
这几位主角还蛮好看的，配音的声音也蛮好听，陛下对女孩不感兴趣哈哈哈，瑞王知道她是女孩，如此担心她，到底是自己喜欢呢！还有为了他皇兄
同感同感，人设画风剧情我都喜欢，真心不错，但是真心觉得这个时间炒鸡短呀。😭😭😭
"贫穷的微笑😊
贫穷的微笑"
末依依确实没皇帝好看啊！不过末依依这发型这么明显还看不出性别吗？
加完滤镜美美哒
本以为是男男的说(づ◡ど)
😂依依不是一般的调皮啊！依依好可爱啊！
巨巨就是“大大”的意思，比如作者大大，在这里指的是女主在宫里的职位 画师，差不多是，刚看完漫画就忘了，顺便说一句，超爱这部漫画👍
我的老公。。。。。是。。。。是。。。。蓝二哥哥啊啊啊啊啊啊，羡羡不要打我，我就垂涎一下
告白了！告白了！告白了！可是也完结了，弱弱地问一句：还有后续吗？！😂
帅到爆炸这是谁画的？真的想给他棒棒😘😘
这是动态漫，只是会动的漫画加配音而已，要这像动漫那样流畅是不可能的，不喜欢看就别看。反正我是觉得这很好，保留了原本的画风，而且也没有改编。说这短的人，我就问，你看一话漫画要10分钟？
还能就这几集吗？能再更新几集吗？
"超级喜欢的，就算几分钟一集都要看好几遍😂
好希望能更多点啊"
其实陛下挺渴望母爱的！但是这个太后并不喜欢他，唉 ！ 瑞王倒是深得他心，只能说陛下可能不是他亲生的也有这可能 ！这两兄弟待遇还真不一样
我终于知道为什么古人的画像都那么丑了
不会因为剧情短，就放弃，😂好看
抖音上看过来的。。。
这个很好看，希望出第二季第三季第四季第五集第六集第七集第八集第九集第十集永远看不完，这样搞笑的太好看了，画风又很好
看了头条来的，还有谁……
搞笑就是太短了……呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜
动漫还是不如漫画，把人物都搞得有点变了
身为一位公公都辣么好看辣么攻，还泪痣！！！这不是男主才会有的么！！！这位公公不简单
如果能真正的改成动漫，而且画风和剧情都没差的话，那就好了😂
我希望皇上和王爷在一起，虽然这是不可能的
哎，最近发现国漫真的好好看呐。你们看一下盛世妆娘，特别好看呐！
觉得馆主对小徒弟也很好啊 🙂🙂 女主考虑一下呗……
看了漫画过来的，特别喜欢这部漫画，大力支持，
这😍😍😍
笑死啦 那个败家子拿夜明珠砸我😂
太监都这么👄帅，没天理了啊😊。
还敢不敢再短点😂还没开始就结束了
尤其是变成小人时超级可爱
可以到网易漫画看哦，虽然更得很慢，但还是哭着追😭
谁是在抖音上看来的？😂😂
