我是快手传送过来的，评论说是由你玩四年
八五年的我，符合我的口味，此动画会火，就是时间短更新慢。
笑点直逼《刺客》，我身为在校大学生，背后冷汗涔涔啊，好现实！
段友来的，有没有，段友段友
某手来的这边 →
由你玩四年，四年&#039;以后保证开播，小朋友们耐心等待一下。嘻嘻嘻
我是来看车HY的 车某人说有他原型……好吧
需要投资人吗？1111111
在今日头条过来的，，，，
多长时间才更新！！！！
抖音来的。。。。。。。。
这部动画有点辣眼睛而且人物也是奇葩
这话题很新颖啊，10个字
清华大学，签到嘻嘻嘻嘻
茶啊二中看过吗6666666
还可以 就是没有资金投资
最右来的，哈哈哈哈哈哈
好看！而且做得很好，哈哈哈
太精彩了 希望你能火
没看过这种类型的 觉得还挺有意思 坐等下星期更新
你大爷2分钟？你们这是
抖音过来的，太逗了啊，哈哈哈哈哈
段友集合了emmmmm皮皮搞笑来的
这种动漫，很好看，喜欢
一集6分钟，看点就三分钟
就希望这电视剧火之前我来过！
"有快手过来的吗？
😀😀😀"
幸好来得早～～g z
QQ看点来的，嘻嘻嘻嘻嘻嘻
"天王盖地虎
请接下一句"
支持支持，想起大学的自己。
哈哈哈！喜欢！喜欢！支持你们！加油！希望更新多多！😘😘😘
觉得会火那么多人玩吃鸡
第一集4分06秒时的什么bgm?
SKS太厉害了压枪 啊啊啊
嗨？。好嗨。。。high哈呵呵呵
太好看了，就是快点更新啊
我是头条传送过来的，头条上说的是由你玩四年
好评做的不错，喜欢这种风格
没人看嘛哈哈哈，……
支持快点更新。。。。。。
回忆总想哭啊，大学时光
好视频，就是不火呢啊？，，，，，，
抖音过来的，太逗了啊，哈哈哈哈哈
火钳刘明，火了之前我来过，火了叫我
抖友😂😂😂😂😂😂
我觉的非常稿笑，你们觉得呢
西瓜视频来的有没有？😂
快手来的。。。。。。。
懵逼的点开 懵逼的走
爸爸去哪儿😳😱步骤了你。
后面全是海贼王。
哈哈，非常好，非常喜欢。加油哟
看到这个，想起（茶啊二中）
我是里头条看到的，由你玩四年
麻烦送到C5—228，大学四年说的最多的😂转眼都毕业四年了，想你们了啊，这辈子都抹不掉的记忆
为啥还不更新.....
厉害厉害，相信我，肯定会火，送我上去吧，兄弟们
这个动漫名称让人想入非非污污污
有意思，哈哈😄。更新多点，速度再快点就好了
必须赞，乐死我了哈哈哈哈哈哈哈哈隔
啤酒小龙虾 证明来过 哈哈。
回首陶呦鬼刀一开看不见走位走位。
回到过去是《茶啊二中》王强唱的
加油导演卐，，，，，，，，
好像挺有意思的，但是有点短
皮皮虾过来的 有没有皮油
根本不更新 都三个星期了
我是头条用户过来报道。
原来如此啊！也没两样啊
手机铃声叫什么？呢
我是微博评论来的...
喜欢~坐等更新
2018.10.25 14:09分
你们有没有觉得有点像茶啊二中
什么鬼电视，没看懂，啊啊啊啊啊啊
哈哈，某手过来的，好好玩
抖音过来的😂不错不错
我是从百度传送过来的
猫鼻子像个长毛象！
茶哈儿中 一种风格 是一个画家吗
和茶啊二中一个画风 我喜欢 希望以后出第二季 支持国产动漫
支持国产好电视加油，谢谢你们
自恋刑警的舞蹈 哈哈哈哈哈
快手来的。咯咯咯咯咯咯
片尾还有那么长一段啊
白将军😂😂😂😂
皮皮搞笑传来的
QQ看点来的🌝。。。
广东话粤语后生仔。。
要火……………………………………
江苏大学18界过来签到
3分一集？搞笑的吧！
喵强的鼻子有点意思啊
这不是赵信吗
好怀念大学时光啊
快手来的 哈哈 家里停水了 洗衣服洗澡什么也干不了 看会动画片吧 哈哈
我梦见的，没想到还真有啊
这个是江苏大学，我的母校。
头条过来的好搞笑😂😂
