我的天！恶女出动画了！开心！
好激动，一进来就看到企鹅的漫画，开心
占楼占楼，终于有恶毒女配翻身的动漫了啦啦啦
竟然有动漫了，激动激动
男主一出场我就知道我要追了，完全是我喜欢的类型啊
开头的BGM好像是绿蓝的
肖简的声音…
短小快，棒！
妈耶，恶女啊，超喜欢的啊
男主来的真是时候哈哈
超喜欢看这部动画的超好看
好想看男女主的情节啊啊啊
终于让我等到恶女的动画了开心开心
见过短的，没想到！这也太短了吧！
女主好好看的哎 超喜欢这个角色
就算是要等更新我也要守着看！
恶毒女配怎么了 更考验演技！
女主一开始真的挺不容易的
好激动，希望赶紧更新吧
刚开始以为导演很高冷，后来简直是猴子请来的逗比啊
反派女配，你有毒。期待这个上线。
哈哈，刚开局就是福利满满
老夫的少女心呀，期待更新
快乐!嘻嘻嘻嘻嘻嘻嘻嘻
好看耶，超级喜欢漫画
第一☝️
来了来了......
啊啊啊 居然出动画了
好看
超喜欢恶女的 真的超好看
刚看了漫画没多久耶～
