如果有一天，爆发病毒了，你们会怎么做？
假如你被丧尸咬了，你会怎么作？
又毁我经典，能不能别拍动漫影视了，改的面目全非，《魔道祖师》《2013》，《天官赐福》又要改，毁我经典QAQ
这国漫画风不错啊👍🏻就是配音有点拖后腿了！
我今年23岁，上个星期全款提了一辆玛莎拉蒂，房子也在上个月装好了，没问父母要一分钱。都是我女朋友60大寿送我的！
你们知道有哪些恐怖的动漫吗？知道的写下面。
很失望，没有原著好看
如果真像这样世界末日，估计中国人的存活率是最少的。
谁知道有什么好看的动漫吗？求回复
我想知道旁边人的说话声谁配的?你这么想上位?，活着让他们动嘴就行了，这配音会让很多人不想看的。
如果我对你说不爱你了，你会怎么样（我被咬了）
大家说说，如果末世，你所学的专业能作什么？
就想知道，如果中国真的生化危机了，哪儿来的这么多枪，怎么活
终于！出了！看过2013原著，挺好看的。男男才是真爱！
那两父子被咬了，为啥没被感染，难道有抗体。
那个蒙烽怎么看都是个攻，那个刘砚怎么看都是个受
看着还行，就是剧情不行啊，没有男环女爱。
哈哈哈，这段可以，满分
地球真的有一天会变成这样吗？
我分手了，知道痛的人祝我分手快乐好吗
希望世界末日到来，这样世界才会从新洗牌，我才可以站在高处
感觉，蒙峰和刘砚是一对的。。
张珉脑子带没？让决明背着一个要变的人，不动动脑子想想
澄清一下，原著蒙烽跟刘砚是恋人，地地道道的恋人。
说句实话，在这种情况下我觉得林木森做的没错。你有一颗圣母心反而会害了更多活着的人。所以林木森这种做法反而让更多活着的人，活下去的希望更大。
刘砚和蒙烽是不是有一腿，cp感有木有
如果我变僵尸了，会有人稀罕吧
国家说东京食尸鬼太过血腥，太过恐怖，不给播，笑死老子
如果我变僵尸了，会有人稀罕吧，至少她会吧
我觉得主角很虚伪，被咬了不管是谁只能死，杀了他不仅可以避免威胁到其他人，也可以让他们感觉不到痛苦的死去！是最好的方式！
末日告诉我们必须学会开车！
我觉得很奇怪啊，弹幕里说什么回忆杀？电视剧里回忆是播之前播过的来凑长度。但是动漫这里是从中间开始展开故事的，叙事手法啊，倒叙啊！没这两集你们知道他们是怎么聚在一起的？故事是怎么开始的？他们各自的特长是什么？看故事就喜欢看打斗爆炸戏？不问为什么？看来都看的不认真的，前面放那么多个疑问居然没发现，都是蒙着耳朵喊“我不听，我不听”的？
主角都要这么所谓“善良”吗，明知道感染不杀的话会引起更多人感染，还是主角的善良只对认识的人吗，开始也没见他开车杀人时有多么犹豫
如果世界有一天你们想干嘛
终于等到开播了，但是动漫的节奏好像有点快呀，感觉很多情节没有演出来
