丫的，导演有病是吧！这是第三部吗？明明是第一部，靠
乔安好这声音依稀的感觉跟颖宝那声音像
看着这两个人的感情真的是虐心啊😭😭😭
而且还把我陆乔夫妇画得这么丑 编剧画师 咱出来谈谈好吗
好苦情的电视呀。
这第三季会有结局吗，希望赶紧结局，陆乔在一起
什么鬼。人物丑了不说，还放回了第一部，神经病啊
真人版的不好看 果断回来看动漫的版本[尴尬][尴尬][尴尬]
这是地老天荒？
看这段，第四季乔乔可能失忆忘记他了。
第三季有点儿……失望啊，男主女主为什么都变了，哎……第一季第二季啊
为什么回忆注水比剧情还多
如果瑾年乔乔 早点说出口 就不用苦苦错过那么多年了
觉得我帅不要点赞，觉得我帅不要点赞，觉得我帅不要点赞，
剧情不够，回忆来凑，这段真的是够了，看吐了，每集都要来几遍👎🏻
废了第三部像看会动的漫画，弃剧，等这么久就这样
666赞一波
我觉得挺不错的啊……可能也是大家先入为主了
真是服了，这是剧情不够回忆来凑啊，而且回忆的都是一样的，
谁知道什么时候出第四季
第三季完结? 不存在的，个人感觉还不到小说的百分之50
第三季了，是不是还有四😂
原来的同事都辞职了吗
什么时候我的第四部才能出来啊😱[害羞][害羞][害羞]
太虐了
好咯好咯
这什么什么鬼啊画风突变，要不要这样啊，声音也变了
白瞎这个我那么喜欢的小说了。
画风突然变了，看的人也越来越少了，希望导演能改回画风
太次了
还回忆杀快出新的吧呃呃
有生之年看得完吗
这速度太快了吧一部剧等半年一部剧等半年。
片头曲两分多时间，总长也就十几分钟，哈哈哈哈国漫日常短小系列
其实双方都爱着对方，却不敢说
一直都想弃剧 但是又想知道他们最后到底什么情况了、抓狂😫……
看了小说
没之前的画风好看还有配音好奇怪
我前几天又有什么改变吗
要想完结，必须要二三十季吧。
感觉女主这声音是丽颖的啊😊
这部动漫总结就是七个字，《死，要，面，子，活，受，罪》
我不想看回忆，能不能快节奏！画风还变了
你们有没有发现自从开始第三季，男主和女主都变丑了？发型也变了。
有你的瑾年才安好
这动漫都变成漫画了，能不能多动动
第三季的画风咋那么别扭？？？
有史以来最坑的动漫了
其实我想活在动漫世界
如果拍电视剧的话，有可能颖宝会是女主角哦！赞同的请点赞
好看吧
第三季什么鬼。？？？？怎么改画风了！
人物感觉没有之前好看
怎么觉得第三季人物的长相变了，换制作团队了？
真不好看，不像是看动漫，像看漫画
导演你还我原来的国民老公带回家
女主你有这时间想过去还不如加把劲，说不定男主就到手了
追第4季，很期待 ……
我看过小说，超虐😂😂😂
更新的太慢了，看的人着急，这是存心吊人胃口
没经费，用重复画面杀时间的吧？
我还以为我看错了呢，跟着一，二来的，突然变了，好不适应啊
是投资少了还是缺钱了 改成这个画风 这种人物 只要原来的就好
第四季什么时候出啊等了好久了
为什么我感觉第三部的景像模拟世界
这是我唯一跳集快进的动漫 (ー_ー)!!
没第一季好看了，导演你怎么能这么水？
感觉画质没第前两季好了
男主被画丑了
是不是换制作组了 ，人物风格都变了 …
好想看后面的剧情，为什么要一直回忆呢
第四季什么时候出，着急
不想再看回忆了
男主，女主都变了，没有以前好看
没有第一季和第二季的人物好看
一集一分钟看完
虽然画风不喜欢，不过女主声音好听，有感觉，男主是有点……没有前面帅
害怕了都，能不能快点播，鄙视
我无语了。全是回忆。导演吃屎的吗
毁了小说
我的妈呀！没想到我那么认真的把12集的回忆给看完了！我都佩服我自己！不管后面出多少季 还有木有回忆录了，都不会在看了！
有没有第四季啊？，不会就只要第三季吧？都没看明白
太棒了，有3季特激动
女主角配音真的很有感情
这画面感我去，要不要这样
躲雨每集回忆一次真是的
简直是无语，我这人从来不爱喷的，但是这部动漫看了简直让人气死，一直坚持到第三部看完就是想知道后面会不会好点，结果真的太让人失望了。整个第二部就不说了，全是回忆，看了快气死，第三部还来，有些回忆还一遍又一遍的，复读机呢。这是我看过的最拖拉的一部动漫了，能不能有点进展。照这样发展真不知道出个十部能不能出完！！！
气死我啦，什么情况，主角整容了！！能不能还我以前的………
这么久了第四季可以出来了吧！！第四什么时候出，
"他妈的
不想说脏话的，都是被逼的还不如不上映。浪费我的VIP"
男主不要脸
不喜欢这画风
能不能快点更新急死了。
快出第4季我们都在第4季
按这个速度我就想问什么时候能大结局？？？？
不要回忆了，也不要自述了！这集啥也没讲！
滚犊子 别更新了 全是尼玛回忆 怎么看？
第三季，好伤感
特别好看快来看
重点不是回忆问题；而是动漫人物的脸都换了，然后剧情又有不一样、
