不管动漫怎么样，就斗破的剧情，我就点赞，没其他的，就是这么喜欢斗破。
看了n遍动漫期待12月更第三季12月有两部期待的国漫一部《斗破苍穹》一部《斗罗大陆》期待中。。。。。。
斗罗大陆好看还是斗破苍穹？我认为斗罗好看你们呢？
更新太慢了 真的 几百集的动漫 不是更新10多年啊
萧炎最后成为斗帝，取了熏儿和彩鳞两个婆娘，哦对了，彩鳞是蟒蛇
这里有《斗罗大陆》粉吗？
你们钱也赚得差不多了，能不能更新快点，让我们看得舒服点
更新是慢点 我情愿等几个月到12月看动漫 也不看电视剧版的武打戏，狗血真的
有多少是看了电视剧跑过来看动漫压压惊的
就这还要会员才能看，比起斗罗差远了！
说句良心话，电视剧拍的也是不错了，毕竟完全构造出一个小说里的斗气大陆太难了，也不可能全剧特效，资金根本不允许，动漫不也是很难做所以更新的才慢，集数也少，都不容易，都在尽力还原小说的效果，接收不了改编的可以继续重温小说，一千个人有一千个哈姆雷特，看着小说幻想着自己心中的萧炎和斗气大陆也很好，只要自己心中有一个美好的青春回忆就行了。
有没有跟我一样看了电视剧，再返回来看的。有的赞一个
挺喜欢斗破这小说，上课也偷偷看，现在都两个孩子的父亲，看到出了动漫版，看了一集，辣眼睛，感觉不是自己印象中的斗破，就没看了，过了一年。出了电视版。。坚持看了五分钟，我的眼瞎了。还是回来看看动漫压压惊
说实话这动漫演的比电视剧好百倍，如果作者有实力把它原模原样改成电视剧我全心全意支持你们！剧情配音演技都太完美了！给你们点赞！
拍电视剧请明星的钱够这个动画拍多少集?
才十二集，赚这十二集的黑心钱，奸商
我这一辈子看完这几部动画死而无憾 斗破苍穹 斗罗大陆 武庚记 西行记
看完斗罗大陆 我甩手给了斗破苍穹导演一巴掌 斗破团队能用点心吗
看看人家任翔老师笔下人设要多美有多美
看看斗罗大陆，觉得斗破苍穹就像屎一样
一年更新12集好快啊 这样根本不够看到死 要是十年更新12集 这样下辈子还能看
小说里是一副魔幻乱世，萧炎是个正气少年
我觉的电视剧也很好看，电视剧是电视剧，小说是小说。评价电视剧非得把小说也说上，如果把电视剧的名称更改为别的什么…你看完会如何评价？
我真受不了林允演的萧薰儿
还好男主有一个好父亲，不然早就赶出家门了
快出第二后边的我等着看呢，第一次开vip就是为了斗破苍穹
我心中的熏儿不是这个样子啊 这个熏儿不好看啊
动漫我来了，去他的真人版武动乾坤，斗破苍穹，两个剧开始就开始打异魔，搞魂殿了，我只能用牛叉叉来形容导演
电视剧看不下去了，所以来支持！
告诉你们结局，萧炎后来娶了5个老婆，4个是斗圣
强烈要求一天更新一集。同意的速度点赞！！！！
我就想知道萧炎最后一共几个老婆，看着有点花心啊，乱留情
无法接受萧薰儿和纳兰嫣然是长这个样子！！！走点心可以么！萧薰儿出场的时候我就有些看着难受了(路人脸呵呵)，纳兰嫣然出现的时候我是真的忍不了了！人家一个傲娇的小姑娘你整的像八十年代的姨太太一样真的很过分好吧！一集都看不下去，再见，去第二季瞅瞅。
看了斗罗之后都看不下去斗破啦
刚刚看了斗罗大陆 画质比斗破苍穹好多了
随便看了一集，看小说通读了几遍，这是我心目中的萧炎熏儿？我的天，最忍受不了纳兰嫣然他们两个斗嘴那里，人物性格改得接受不了。忍不住想吐槽几句
开头歌是谁唱的?真的很，不喜欢!
就问当初说要拍电视剧的打不打脸，电视剧改的亲妈都不认识，开心了吧，满意了吧！动漫比电视剧改编的有诚意太多了！
都是看了电视剧跑来看动漫的～～～～
同意把每集最后Q版小剧场删掉的举下小手。
哎 看到这个让我想到了电视剧版的斗破苍穹 人家斗帝是用飞的电视剧里是骑马。。
动画更太慢我直接小说看了一遍 瘾过够了
比较起来，还是斗罗比较有看感
电视剧搞得我都把剧情忘了
没事对看看人家！诶，真是没有对比就没有伤害啊！
小说1700多章，七天更新一集，33年后剧终我都60了
还是小说好看，十年后再拍，估计会好看些……
我愿意投资5亿吧这小说拍完，导演看到请联系我
每一集特效都得百万 你们只会喷喷喷的 自己做一个
强烈要求，一周4到6集，绝对给你订起来！
电视剧不知道拍的什么鬼 果断弃了 还是这里合理一点
还是动画好看，电视剧真不能看了
认为萧炎不是废材的赞上去！
萧熏儿是什么身份。第二季怎么没有她？？
比电视剧好看多了 大家顶起来 多支持一下 让剧集更好看吧
谁能知道第三部什么时候出
第一季和第二集完全连不上，怎么看
看斗罗的点赞，反正我看
这么更新等他到斗帝不得50年啊
怎么说呢，没有是想象中的那么好，人物设计造型不够完美。感觉像看动画片，不是动漫。个人感觉斗罗大陆挺好的
萧炎真没唐三帅，熏儿没有小舞好看
第二季怎么没有萧熏儿。求告知
第二季什么时候开播呢，以前更新又慢现在又没有开播，什么电视
先看电视剧，再来看动漫！动漫简直完美！
你快点更新，拯救原著吧，真人版的拍的TM啥玩意啊，简直玷污我的斗破大陆
让我的后辈们看吧，这辈子可能是看不完了
动漫斗破苍穹第3季什么会播出来呢！好期待的，真的很好看的。快点播出来吧！
什么时候出第三部，等烦了。
一章一集，一星期一集，一个月四集，两个月八集，三个月一季，六个月两季，九个月三季，一年四季，小说有几千多章，鄙人今年十几岁，播完20年都不够，节目组能更快点吗？
2018年12月更新第三季好期待
