"咋都没结尾的【西行纪】特别喜欢小羽
小羽声音好听
剧情都挺好的"
白狼以后肯定会和龙公主在一起吧，而且白狼以后肯定会很厉害，然后向帝释天帮公主复仇
你们都说很好，但你有没有发现这几年的关与中国神化被影视，动漫，小说，改成什么样，一切的神仙是邪恶的要向西方看齐，什么黄帝战蚩尤，黄帝是邪恶卑鄙的，蚩尤是多么多么好，，那意思就是华夏民族是卑鄙邪恶的，还很多人看了说好点赞，不汉人我不说什么，是汉人的说就是成认自己是卑鄙无耻下流邪恶的，在中国，中国神仙和西方神是不完全不一样的，你这样把中国神化体系写的这么邪恶是什么意义，把中国的道德观念打碎好和西方一样吗?，
这比斗罗大陆好看多了！同此意的点赞！
中国很多年轻人都喜欢那些娘里娘气的动漫呗，传统有故事的动漫都没人看，觉得丢面就不敢看
国漫现在正在一点点的变好，我们默默的看漫不好吗？国漫就像我们自己的孩子，不希望自己的孩子变好，还要喷自己家的孩子。没有调查就没有发言权，希望反驳和意见可以有充足的证据，国漫接受批评，但是不待见戾气和恶意满满的键盘侠。谢谢。
西行记里的唐三藏其实不是真正的唐三藏法师，真正的唐三藏是不会使用武力的，他是以慈悲为主的的人，正因为他的慈悲，以至于真的唐三藏法师在取经路上的时就被小白龙吃了，但西行还要继续，而唐三藏只是扮演取经人的角色而已，所以并没有说必须由真的唐三藏取经，这时天就串通地共同培养了一个武商爆表的唐三藏法师让他西行取经，但悟空受不了新法师的性子经常逃跑，所以天地为了控制悟空打造了紧箍咒，锁住了悟空的七情六欲才可保假的唐三藏法师西去。取经完成..身心疲惫的一行人来到天庭，却中了玉皇大帝的阴谋，他不能容忍孙悟空这类可能威胁自己地位的异兽存在，所以悟空被杀...但悟空为什么会被杀呢，这全是因为唐三藏的背叛，他在孙悟空最需要他时，他却念起了唯一可以制住悟空的紧箍咒，给了悟空以致命一击，孙悟空当场被杨戬击杀。我们都读过西游记而真正的唐三藏是不会这么做的。所以我们可以看出他并非真的唐三藏，而是后来假冒的。（纯属瞎编..大家乐呵乐呵）
谁给推荐两个特别好看的动漫看？要情节，制作其次。
本来看开头还挺好看的，但是到后面你把猴哥削得那么弱，把他削的那么懦弱，一下子就不想看了，你把我们小时候的偶像削的那么弱，谁还想看？
"【评论有奖活动】贺《西行纪》首播上线，说出你对至今登场人物中最喜欢或期待的？
活动规则：【参与活动】+评论回复
奖品发放：随机抽取10个优秀评论，送出原作漫画《西行纪》书籍一本！
活动时间：7月18日-24日，7月25日在此公布获奖名单"
【参与活动】第一眼喜欢的就是小羽了，非常灵动的动漫形象，制作的也很好看，力求唯美的感觉，尤其是纯洁的眼神，还有那对可爱的小龙角，让人看一眼就喜欢上了。
