唉，x龙时代被毁了 ，这配音还没我的好
男主角很帅又是个暖男，同意的点个赞
声优真的没话说，嗨
有没有好看的漫画，可以给我说一下吗
不是还有四具尸体吗？省着点吃都能多熬一段时间
能不能让主角捕捉神宠吗？同意的把我顶上去
怎么不更新希望更新的点个赞
终于更新第九集了，如果大家想快点更新的话，请点赞
喂喂，你什么时候更新啊我等你很久了，难道是因为找配音啊，可是都找了2个月了咋么啦，作者大大求您了，快更新快更新，还有加油加油一切顺利
人知初性本善，作者不更是坏蛋。你不更，我不赞。看你以广后怎么办。😏😏😏😏😏😏
紧急通知导演出车祸了，所以，暂停更新 希望大家槽他，往死里槽 加油！
什么时候出动漫啊。同意的举个手。
能不能更新快点？能不能更新快点？最好更新到100级1万也可以同意的点赞
可以到漫画里看共84话，到手机上下载《爱漫画》我用的是巜漫画大全》84话全看完了给你们看看没更新的后面一断
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办！
为什么还不更新呀。😂😂😂😂
同意这个x龙时代的画风和斗罗大陆二的画风很像的请点赞。
想看12集的来个爱心，超过20人我给大家更新
男女主角不足十岁吧，说那么多成人话题，导演太有才了
还更新不？快点儿更新吧，等不及要看啦。
怎么还没第二季呀，好想第二季快点出啊。
喜欢香香的点赞，喜欢燕轻盈的发评论
老子看广告就看了十几遍了。
每天更新一集，同意的点个赞
希望有几百集 每天更新 时长24分钟至40分钟
希望更新到100集，支持的点赞
作为一个看完小说的人，犯尴尬症了。
更新😬😬急死了!同意点赞
这么好的动漫，不要这么敷衍好不好，画面太差了
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办！
能一天一场吗？个位老铁点个赞，让他们知道有多少人等着看。
如果大家想快点更新的话，请点赞!
谢谢龙时代的导演们幸幸苦苦的给我们做，但可不可以每集做到24分钟
对每天更新两集，同意的点赞
什么时候出第二季，求告知！
我看下辈子在更新了，都无语
人之初，性本善，作者不更是坏蛋，你不更我不看，看你以后怎么办。
女生多还是男生多？女生发1，男生发2
X一龙时代是云天空写的一本小说。可以去看看
配音永远是国漫的硬伤，你们不觉得这声音怪怪的
导演怎么还没更新？？？
以前一星期来都能更新好多。但现在怎么越来越少了。更新快点好不好啊？
人之初，性本善。作者不更是坏蛋！你不跟，我不赞。看你以后怎么办？
好棒我好喜欢，加油更！
大家还是看其他的吧，我怀疑作者死了
到底更不更新啊😬😬 不更新的話作者也出來說一下啊 艹
人之初，性本善，作者不更是坏蛋。你不更我不赞，看你以后怎么办。
11集有了12集什么时候才更新？我己经等两个星期了！
导演是不是出车祸了，怎么还不更新
一天更新的两集点赞。
太不严谨了那六句尸体呢？放着尸体不吃非要用自己的血😂️
早恋啊，才7岁，我不服。
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办！
本来是13集的作者逛街时不小心被车撞，现在还在昏迷不醒
前面还可以，后面作者死了
为了一天能更新十集点个赞
能快点更新吗！支持我的，给我一个赞！
能写个更新日期就行了，电视太好看，我都看了十遍了。
依萝香的声音怎么那么像苏苏的声音啊。
这本小说叫什么名字？
这草稿画质？剧情还可以
好感动啊，我以为香香死了
快点更新不然举报 是不是朋友们
快点更新太好看了快递
就不能更新快点吗？这个导演怎么这么怂？
帮忙点五个赞，谢谢！
啊啊啊！！！作者大大求求你了快更吧。啊啊啊！！！啊啊啊！！！
什么时候更新一集？你们谁知道请告诉我
真的好看啊快更新吧。
有本事更新！！！😡😡
辛云是潜力66，资质66，天赋66，太差了吧。
点点些爱心爱新就可以更新
可不可以一天两集啊，认同点赞
我从第一集看到了第七集，后面就看不到了
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办！
每周六更新一集，谢谢点赞
你们不会买书吗？？？
作者可以一天更新一集嗎?
每次更新怎么慢
都快一个月了，都没更新。
这么好的小说给你们演成这样 你们也太让我和失望了吧。
导演求快点更新吧，我们等不急了。大家同意的请点赞。
原来一星期更新两集。。。
这个电视好看是好看就是有一个缺点跟新太慢了
我记得我看到第七集了啊怎么没了
很好看。我希望天天更新，
人之初，性本善，作者不更是坏蛋，你不更，我不赞，看你以后怎么办！
漫画也停更了这当然也停更了
虽然更新慢但是很好看希望作者更新快点！😀
快更新啊😭😭我很喜欢看喜欢看的点赞
有什么禁播动漫好看的介绍一下我都能找到
这动画是谁做的？神漫吗？如果是请你滚回去画漫画！
周六晚上十点更新一集？
"用心做吧，慢慢来，不着急，等一月也是等，等一年也是等
😊😊😊😊"
不更新是什么意思，出来说句话呗。
如果给我一个机限我希望是一万集喜欢的点一个赞吧
更新到24集了，想看的话私聊哦
什么时候更新？快快快！
香香不要哭，辛云喜欢的是你。
非常好看，但是我希望更新快一下
