很有感悟，希望多出几部这样的动画，很喜欢
狗仔，喷子，键盘侠，和尚也怕
有谁是刷抖音才来看的，真的不错
挺好的，要是每集故事加长做成动画片就好了！
有没有从快手来的
我就想知道这老和尚年轻时都经历了什么
很有人生哲理的小动画，喜欢！
有几个跟我一样 刷抖音来看的
看抖音才知道这个动画，挺有感悟
从内涵段子来的举个手
人生的真谛，体会才明白
有多少人是从抖音过来的点个赞
怎么不更新了？官方给个话啊？。。。
"第一次是在空间里面接触到的
空间里面的风格跟这个稍微有点不同
这个的风格偏幽默风趣，轻快的感觉
空间里面的是比较沉重的那种感觉 可以看到心里面去"
天王盖地虎，玉帝ri王母
有的人一开始就注定离开，我却仍愿用一生等他回来。
虽然是很短的小动画但给人的启发很大
好伤心疼❤
一禅跟一休唱反调！一个聪明透顶，一个呆萌可爱！
天王盖地虎，段友何在
暗喻讽刺佛教，制片人会遭报应
这动画讲得是人生，是哲理
故事虽小，至理名言，人生苦短，总有离别，而别离则是为了再次的相遇。
。天王盖地虎。段友们顶上去
师傅我快坚持不住了再那一集
抖音大军在哪？？？？？
每当心情不好时和不会写作文时都会来看看
有和我一样80后看的么
一蝉说：我走过最长的路就是师傅的套路
这个老和尚都经历过什么
怎么把截取的视频保存到本地 段友秒回
一禅问师傅怎么样才能遇到对的人是多少集？跪求告知
世上没有长胜将军，凡事尽力就好了
为什么都不更新了，编辑出啥事了？
一禅懂的还不少，师傅更厉害
从抖音，快手，内涵来的
这个动漫非常好很喜欢
从前有座山，山里有座庙。庙里有两和尚。。。
有谁和我一样的，抖音签到
感觉这个老和尚是个有姑事的人
这个老和尚很会套路有点像我
师父是个有故事的人
这两师徒真的好搞笑。
就是太短了看着着急
没有漫画好看，喜欢漫画那水墨风
一部小小的动画却讲述了人生中的种种。这又何尝不是一种真实的写照呢
什么和尚从来不信，和尚讨老婆，抽烟大鱼大肉，还开好车，傻子才去信
这老和尚年轻时到底经历些什么！
确实是挺好看的，对小孩挺适应的，不过就是有点短而已
无语 一两分钟 无法理解
从抖音来的 感觉很好看 为啥评分这么低
师父对一禅也是真心疼爱着的 真暖心的动画片啊
脚踏实地，总有一天你会找到属于自己的翅膀
那么短糊弄鬼呀！
他师傅懂得真多。是不是曾经经历过。
哈哈，这个动画片好看
可爱的动画片，很喜欢
失败了 不如再来一次 直到你成为庸人为止
我曾爱过，只是属于我一个人的过去。我未告诉你，你也未曾在乎过。
我怎么觉得就是跟现实打转呢
这环境真美。怀念童年
每一集时间不是一般短。
方丈到底经历了什么！总感觉他什么都懂！！！
不错不错，终于找到了
很棒很好看很有内涵的动漫
小一弹还小世道之事根本不懂也不通在，慢慢学，慢慢来，但很可爱。
还买了这个漫画真的很暖心
从快手来的，
"民国三年等不到一场雨
一生等不到一句 我爱你"
师父厉害 阿尼陀佛
诗监师伯是有故事的人啊
挺不错的，孩子们最喜欢看了！
好可爱的小和尚！大喜！
一个成年姑娘来看这
一集怎么才几分钟呀？
还能在短点吗！！鸡鸡！
一个以为不会走，一个以为会挽留，缘分自然就走到了尽头……
这两个和尚整天聊和尚不该聊的事
不是每周一周三更新吗，怎么好久都没反应了
精髓，好高的境界！多看看深有体会！
这老和尚是要把小和尚教育成什么样？
好可爱的一禅，我也想有这样的师傅[可怜][可怜][可怜]
一句我懂了 包含啦多少
每一集，都是讲了一个道理吧
一禅真是一个可爱的小和尚！
小和尚，老和尚都那么可爱
""
很多事情就是在失望透顶以后突然就想通了
道理很简单，我们都知道，却永做不到，或许这就是人生吧
抖音里有小和尚，，，
一禅小和尚很可爱的❤
我在卖一款超薄➕滋阴➕可延长时间的避孕套，感兴趣可以加我咨询
太喜欢了小和尚，很有哲理
最喜欢他问的一句话，对一个人念念不忘是什么感觉，就是明明那么想她，却又不敢想他，怕思念成疾，想要忘记他，却又发现忘不掉……有些人一旦错过就是永远！从今往后喜欢每个人都有那个人的影子。长相思兮长相亿，短想思兮无穷极，早知想思绊人心，何如当初莫想识
哈哈哈
我喜欢过很多人，只对一个人表现过。
怎么不跟新啦，不是周一周三嘛
佛从来不教人如何去恋爱，而且教人如何抛弃七情六欲。无私无欲才能得到真正的解脱，恋爱本是一种想满足自身欲望的行为包括肉体和心灵。所以这小和尚研究的问题明显超纲！嘻嘻
萌萌嗒的小和尚
好看，让人忍不住想分享给所有人的动画片。萌萌哒一禅太可爱了！
