看开头有种看西游记的感觉，小孩子被叶子包着，多像荷叶包饭…
画风奇烂 本来电视剧就够烂了 没想到动画才是最烂的！
觉得第一季的陈长生没有第二季的好看，个人感觉第一季的陈长生前面的刘海太多了，第二季之后就刚刚好，不多不少
最起码比电视剧强，电视剧版额改的太多。根本没法看。
自从知道择天记要拍动画，一直期待着，终于出来了！
国漫最大的败笔就是不够专一。更着更着就跑去做游戏了，永远成不了气候
国漫最大的败笔就是不够专一。更着更着就跑去做游戏了，永远成不了气候
"国漫如今挺火呢，只是更新太慢了，一部小说改编出来的动漫，也许得花时间，总不至于花这么多时间的。
如果是为了饥饿营销，倒也不错。最终你不看，还是有人看的。所以国漫很成功，只是希望更新速度再快一些，甚至像电影一样时间长一些，可以上影院的，让更多人花钱去看，看的人还是挺多的。
可为什么没有这样做呢？
甚至很多动漫比真人演绎得还要精彩，未来我还是相信动漫逐渐代替真人的，可能都没有明星这个职业。
然而，国漫为什么会让影迷渐渐失望？
为什影迷们总觉得国漫没有结尾？
看着看着，后面就没有了。
或许是为了炒作一部小说呢？
其实任何东西都离不开炒作，只有炒作才能活起来，只是我个人以为，炒作最好离不开四个字，叫做
善始善终。"
比起真人版的那群垃圾强多了！
第4季什么时候出来，求解
什么时候更新啊，能多更新些，我小说都看的差不多了还还没出4
第一集怎么这么像大圣归来中的一场场景
我宁愿看动漫都不看鹿晗演的择天记
五千万就拍这个？呵呵
我要看第四季我出资一百万可以不
"你们看全职高手没，
也是咋们国产的老牛b了"
什么时候更新，真好看
看半天了，也没有看到长生和有容见上一面，有点遗憾！
比真人版的好看，可以看的动漫
你们没看过鹿晗演的，择天记吗？
为了鹿晗才来看动漫的，没想到这么难看
国漫最大的败笔就是不够专一。更着更着就跑去做游戏了，永远成不了气候
没事来看一眼出第四季没
只会喷火，好像生怕别人不知道你会喷火似的
第四季啥时候出啊！这转下一季的时间也太久了点吧
四季不会在更了，择天记到此结束了，各位还是去看小说吧。
本来想进来看看，看到拿鹿晗封面，评论完走人
妈的国漫就是这样，吊人胃口，做到一半就不做了，永远没有完整的。
我了算知道为什么都说日漫好了
看过鹿哥演的电视剧版，所以来看看，为鹿哥而来
长生演技比鹿晗好多了
感觉这动漫也没做好，像武庚纪就很好看，电视剧就更差了。废了
啥时候更啊 谁来回答一下
故事不错，就是猫腻文字太啰嗦了，多学学古龙
有没有人跟我一样看了鹿晗又过来看动漫的
择天记被电视剧给搞毁了，搞得东漫都不出下一季了，还玩个屁呀
什么时候出4季啊，期待
怎么感觉好怪啊
比斗破苍穹好看。大家没意见吧？
为什么还没更新这已经是我看的第十变了
喜欢看小说，电视剧改编的没法看。电视剧居然把人设都换了，讨厌 _ *
一人之下才是国产动漫的王者！
第四季什么时候出，等着看呢
快点更新快点更新快点更新快点更新，不然我的vip就没用了
真慢，刚看的时候我十五岁，现在我三十岁
陈长生好师，可惜活不过12岁。
关系真乱
等了好久了，蜗牛之速
这龙是个母的.哎呀呵
择天记，我们要求出第四季，必须今年出第四季。
第四季什么时候出来啊？比真人电视剧好看多了，真希望第四季快点出来
希望作者发表一下什么大约什么时候更新呀
更新太太太慢了
第四季什么时候更新啊
谁跟我一样是因为广告才看评论的
4季7月15不见不散
好久出第四季啊
过了大半年了，还不更新？？？？
一个星期更新一集，还那么点时间，能不能时间长点，醉了
我觉得长生手拿的剑像的第一集中出现的龙化成的
什么时候更新啊，别像锦绣神州一样啊，段更了？
第7级怎么看不了.....
xxfffk，jJ”没k，k，！
全是广告，好浪费时间
第四部什么时候出来啊
期待更新，真心喜欢择天记动画，希望把几季看完。
第四季何时出啊。快一点出。
看过真人版的，请点赞
择天记动漫版第四季怎么还没播出？等得黄花菜都凉了。
好喜欢落落好像上她
国版动漫好看倒是好看就是有头没尾的太多了
第七集为什么不能看
什么时候能出第四季啊？好像继续看下去，希望早点出第四季。
第四季什么时候出啊？
刚开始看的时候是不错后来更新慢就没兴趣看了
我连哪个？是长生。哪个是徐人也分不清。
配音真真真不带劲！！
卧槽 神龙不也是神兽？居然不够这个渣渣打？》
第四季 第四季你们搞快一点吗这心里等的好着急啊
什么时候跟新啊，要有一年啦
还没有原版的择天记好，圣后和几个人丑
啥时候出第四部啊，，
什么时候出第四季呢？
如果可以一人出几块钱去支持制作也行，就希望喜欢的动漫能更新吧
啥玩意，，，，，看着像小孩动画
什么时候更新第四季啊
徐有容，好名字，有容乃大
剧情不错但是打斗是真的烂如果给星最多给4星
为什么第三季完结了，第二季更新一集？
你们觉得电视剧版的好看还是动漫的好看啊？
第七集呢？尼玛，什么鬼？
我感觉还是动漫好看，电视剧演的不容直视，或许是因为我不追星吧，
多会更新啊！等的花谢了
真的太好看了，良心之作啊
还有没有第四季啊，最讨厌这样看到一半没有后续了
有剧透么？看着有点晕。
比电视剧好看多了，电视剧拍的都不能看
最好的剧，更新速度跟蜗牛爬一样。一样会失去好多粉！
这里的帖子小编不回吗？啥时候出第四季类，也说个话！
择天记4部什么时候出啊？
