声音好难听啊，毁我心目中的幻想😱😱😱😱
竟然在有生之年看到这部漫画改编成动画
这是神马，不久漫画配了个音吗，毁我漫画
你们说啥呢！不想看就滚！别看呀！恶心！😡😡😡😡😡
为什么不把《风起苍岚》和《凤逆天下》改编成动漫！
男声好听 女生声音是毁我猫儿啊 猫儿在我心中一直是甜美御姐范的
请注意看简介“有声漫画”，不是动漫，不喜欢看可以不看
猫妖的诱惑
你们知道吗，漫画作者是我们班的语文课代表
苏清寒好美丽好可爱！我爱你苏清寒。
声音是好听，但是可以是像狐妖那样的吗，保证火！
动漫原来就是……会动的漫画，再加个配音？？
你们觉得人物都好看吗？好看请👍……谁最帅最漂亮？
什么时候更新第二部，
我已无力吐槽，这个漫画没什么区别嘛
这不就是漫画加配音吗？还不如纯看漫画。
觉得还好啊，挺好看的，短了点，但是男女配音蛮好听的
有点失落，哎，竟然不是动画。呜呜呜
第一次看，不过感觉画面还可以，属于唯美的那种吧
为毛这是这样的，我要的动漫呢！
各位，这是有声漫画。。。。
好美啊！😍😍😍😍😍😍😍
本来以为能和狐妖做的一样好，现在……真的毁了
觉得寒烟君超帅啊！大家有没有同感啊？
什么鬼？这根本跟漫画没两样，不过多了声音而已嘛！
你们觉得第九集好看吗？
我都快两个月没有看这个了，他竟然只给我更新了几集😡😡😡😡
还有没有了 没看够
我觉得漫画 配音，不如像《女生宿舍日常》那样，做成动漫。
好好看哟，希望有第二季
很好看，配音特别好听，很喜欢，那些说毁漫画的太搞笑了吧
有谁是因为看漫画才来的
不是我理想中的声音。。
卿哥，有人欺負你家小貓妖了
人之初，性本善，作者不更是坏蛋，你不更，我不看，看你以后怎么办
快更新快更新😖😖😖😖😖
残酷
这有什么，我看5遍了，很甜蜜。
没想到猫妖的诱惑居然更新了
莫名喜欢妖王，哈哈哈
求第二季，认同的点个赞吧
被封面骗进来的举个手
这是有声漫画吧！这是……
🎊完美🎊
我想问你们有没有看过那个漫画里面有这个漫画
要是演成动漫就火了 ，
真失望🤕🤕🤕🤕
一直以为猫妖的诱惑只有漫画的
漫画版的我已经看到最新更新了，跟我想象中的女主的声音语调差太多了！
用生命在模仿 业余勿喷
在漫画里都已经更新11O多话
寒烟君就是清寒救的狐妖的孩子烟儿啊！
很好看，我都看了第八集吧。
这是认真的吗，不就是漫画往下滑在配个音？
这样还没有漫画好，真别出这样的东西，简直侮辱了动漫
动漫全称会动的漫画，同意的点赞
"太她妈坑爹了！
配声也就算了，还配的这么难听！"
❤️❤️❤️❤️❤️
好好看，妖王好帅好帅，美得不像话，拍成动漫吧，肯定超级棒
谁玩迷你世界，别忘记加我好友，我的迷你号是225852617
这特么是什么鬼，漫画＋配音=动漫?逗我呢
为啥不拍成动漫，无语死了
还没看，不知道好不好看😔，刚看完国民老公，更新的好慢，不够看
你们选谁，妖王还是男主
呃...这能叫动漫。能不能走点心啊！
烟寒君的声音不错，沈墨卿还行，苏冉冉好粗。
这跟漫画有什么区别，只是配了个音😒
还是不要更新了看你这个和看漫画没两样
不得不说真辣鸡，看你这种东西还不如看漫画，还动漫，呵呵哒😏
能拍动漫就好了。看的好累。伤眼
男扮女装的那个长得真的很漂亮。
一个渣男，一个种马，有什么可选的，既然重生，何不为了自己，好好活一世！蠢！离那些人远远的！
不过就是有声漫画而已
人之初，性本善。作者不更是坏蛋，你不更，我不看。
如果每天更新5集，而且一集30分钟就好了！！
这跟漫画有什么区别啊！就多了声音而已，感觉漫画好看呢。。。
同意的可以点赞吗？☺☺☺
草，浪费我的时间。同意的点赞
我已放弃追这剧了，等的头发都快白了
声音听着太肉麻，还不如没声音。
妈的！什么狗屁动漫！一点看法也没有！还不如看漫画！
我可是个声控加颜控，超喜欢这部剧呢！但，集数也太少了吧！控诉你们！！！
剧虽然一会儿看完了，但我还是关注了下，加了个看单，希望故事会有结局吧
害得我去看漫画了这还更不更了？？？
有没有第二季啊？到底有没有啊？
能快一点儿更新吗？我好想看下一集啊！
""
人之初，性本善，作者不更是坏蛋，你不更，我不看，看你以后怎么办
看过咯。
什么玩意，辣鸡就是辣鸡
好期待，希望有第二季。
那个巫师到底是男的还是女的？😂
可爱吗？可爱的点1不可爱的点2
看到这个电视我都觉得好尴尬。。。。
求快更新
确定这不是配音加漫画的组合吗？
好看就是这个结局受不了😱
"什么鬼，我擦嘞什么鬼东西？害我原来那么期待
😟"
这声音不太好听，苏清寒的声音应该是很甜美的吧！
头一回看见这样的动漫，我真是被雷的外焦里嫩，欺负我没见识是吗
