能不能问一下，凹凸世界是哪个国家制作的
听说十月份就会出第三季，希望它好看的点赞👍
为什么金认识格瑞？求回答！
今生无悔入凹凸，来生愿做参赛人
根本不够看顺便表白格瑞
不怎么喜欢凯莉，有公主病，不过挺酷酷的。
我觉得金和秋是黑与白的，秋是白，金是黑，因此，秋留下了东西来抑制金的能力。而黑洞想找到他，利用他干什么。
希望快点更新，同意的点赞。
金的牌是1紫堂是2，不会自相残杀的2333
有没有和我一样看了片头都好看特别燃的人啊
不好看
银爵给紫堂幻的东西是什么？
终于等到你，还好我没放弃
表白一下格瑞
凯丽和艾比都喜欢金怪不得她们和不来
你怎么不关心关心格瑞……哈哈哈
制作组辛苦了
金黑化连格瑞都杀
我喜欢这个风格，还是希望多出好动漫。
我的天，竟然更新了！
你也可以选择不看
还不更新？
有没有发现凯佬最后说的【小心我改变主意】的话和雷狮的一样！！，
大家看，卡卡有绿帽子，哈哈哈哈哈
男主角和女主角什么时候在一起？
我要做这部小说的粉丝！
好看吗？
国漫加油
这主角也是够了
我真正体会到动漫不是画风差内容就不好看了
我有会员我骄傲
踩点来了！
金没黑化，半黑化了一会，还没打又变回来了
几月出的第二季
不及第一季，真心话。
除了凯莉大佬，其他大佬，全没出来
从五六年前的宣传片就等了
谁知道有关凹凸世界的游戏
雷狮大人好帅啊
这什么破预告，没看懂不说，眼睛差点瞎了
雷狮安迷修好有爱啊。
谁知道那个女子踢三个男主蛋蛋的是哪集
突然发现雷狮他们四个走的是不同的方向，为什么其他的人都一个方向?
国漫崛地而起了(ฅ&gt;ω&lt;*ฅ)
官方坏掉了
安米修好想看了凯莉的下面
金的运气也太好了吧！竟遇到俩个妹子！！！
格瑞好好看
表白格瑞儿~凹凸超级好看的
雷凯大法好！！！
不想让卡卡死
另一种战场，传说中的修罗场
罗德烈所说的另一个战场，狠有内涵哟～你们猜猜是什么意思
凯莉好好看
一大早起床来报道
跟新太慢了吧！投诉！😡😡
画风。。。奇特
啊啊啊啊。。。。。预告全部有毒
逗比。 预告能正常点吗。
好好看啊！快更啊！话说几天一更啊？
居然没人！
预告有跟没有一样，出来骗流量么
你
拖把头为了活命也是满拼的
雷德小天使你快出来啊！！！！！！
那是假假假什么的那个一部分
凯莉我的，谁也别抢我的凯莉。
谁爱看
还没看过
凹凸鬼畜，最为致命
鬼狐到底死吗？希望鬼狐大人没死！
好喜欢他们的声音
凯佬霸气啊-
艾比有点可爱！
凯莉喜欢金
斩烈生前是把体面的刀
非常不错。就是很喜欢看
雷狮帅我一脸鼻血
终于出第二季了
片尾的图片在哪可以找到
我觉得短的不够看啊，最多正片只有10几分钟
总觉得金要变成黑金才厉害
卡米尔我的卡米尔到底咋了
网络好卡喔！太不给力了！
雷安雷安！快腻在一起吧
这个金是个sb
沙发
罗斯罗斯爱死你了
第一个！沙发！
游戏改编的？
小黑洞好可爱
下一周见_____a
为什么还不更新啊啊啊啊
我还是喜欢嘉的队伍。
我
我一个男的竟然喜欢上了格瑞。。。🌚🌚🌚
只为看雷总和安哥而来
有没有人知道打架时的那个插曲叫什么
嘉德罗斯好师哦。犯花痴中，请勿打扰
The hollow dog hunting Fula
