没人看是因为没看到内容！看到的是画风！逻辑思维无比强大
好好看的好看
为什么全世界都要杀他，为什么他和三体人的主直接对决？
执剑人罗辑！。。。。。
一看这方块我没办法看下去！不管剧情有多么的好
最大的漏洞——罗辑醒来为什么不问问他老婆孩子在哪儿～
三体是本好书可惜不让拍
我是破壁者
我被这9.4给骗进来。。。。
配音被浪费了，这动画也太菜了
从第一季开始追，只能说太神奇了，最感动的还是创作者这么多年来的进步，现在的制作效果已经颠覆第一季了。我们的几分钟，你们的几个月，加油加油！
不懂得欣赏的请走开，这画风适合mc玩家看，你们散了吧
这是三体迷，自筹，低成本的良心动漫
做得非常好，良心制作
哎，再好的剧本，这种画风，受不了弃剧了
我去，是谁评分的，有种站出来，看我不把他打出屎来
看了这个，让我想起了我国科幻小说神作——《三体》
粉丝自己做的，不是动画公司的，人家的一片热情，大家鼓励一下
看到十一集我就哭了。把自己的性命堵上拯救了地球。逻辑你是我的骄傲
我的世界竟能做成这样好，还是讲《三体》，我都感动了〒_〒
三体，中国古典科幻小说讲述一段地球人和三体人三百年之间的恩怨。电影有冯绍峰主演，可惜的是一直没有上映，据说是全球观众期待太高了，不敢上映怕制作不够好让人失望，毕竟原著当初一出版就让海内外无数，读者喜欢上据说霍金都看过这书。
明显就是我的世界，怎么可能是三体
作为原著粉 我觉得做的真心好看
我只说两个字 完美
这个系列，真的非常好看希望我的三体系列越做越好
虽说有点短我觉得还是可以
这动漫太好看了 我特别欣赏他
才知道有这个动画，神人呀
真心好，看不懂的别说话，会暴露你弱智
看了一两集，这动画还是比较按书上来的，但对于没看过三体的人来说，最好还是别看动画，或者是电影，因为三体叙事不是很好，有点断断续续（也不能怪作者，毕竟作者是工程师，又不是作家），并且也比较难懂，不过这本书是完全原创的科幻大作，脑洞大开，值得一看。
"视频做的太好了,喜欢我的世界的人一定都喜欢看喜欢的人顶我上去."
建议你们去看一下《三体》这本书，原型应该是这个
我去，我的世界做的，厉害了，大佬啊
捧个场也要十个字，麻蛋
想不到我的世界都出了动漫，力害了我的哥。
评论到999.这是计划中的一部分
神马玩意？裤子都脱了就看这个(⊙o⊙)！！！！！！！！！！
单身久了，看到积木女的都感觉眉清目秀的！！
看过小说，很不错的小说！
谁他妈的给的好评，擦
这场景配音是谁做的？我要给你点赞
看到这个让我想起了我的世界，很好的情节，很好看支持！
感觉乐高的方块啥都拼得出来
我现在也苦逼，没有钱。给个评论精神支持吧
面壁者神游八方，我是你的破壁人
太好看了，更新能更快点吗？
在我遇到的三体衍生剧中，这部剧已经算是很优秀的了！
很不错很不错，剧情什么的不可挑剔，虽然我没看过原著，但我还是看懂了，最后一集挺感人的，期待明年的三体电影是个什么样
我现在想说有没有第二季了求告诉 还有原来不是12集全吗
说好的美女机器人呢…咋变独眼机器人了[发呆]
更新一集太短了啊！！！！
好看的赞我。！！！！！！！！！！！！！
下一部 死神永生 没看过原著吗
要是我的世界真可以在么玩就好了玩
很好看你们觉不觉得还有下一季吗？
"666,我是三体迷，这视频作者太牛逼了"
原著上好像不是垃圾堆放的是牛粪上的。
这个画风太难受了，看得难受，明明是要烧脑的，这样看着能累死
神游八方你真的是个天才 不应该说是鬼才
厉害了，今天才看到有这个动漫，神奇的一批
三体三部曲，我没本看过不下于10边
怎么评分呀？要给五星好评
再说了，《三体》本来就好好看
真是人才啊，太厉害了我的天！牛逼牛逼！
我也是我的世界迷。啊？
卧槽尼玛真心不错人才啊
已经做得很好了，我接受得了画风，毕竟在做大部分应该是我的世界，玩家
哈好看啊！没想到居然可以看见这种画质的动漫，太棒了!可惜没有了
我的世界改编的。谁玩过我的世界？里面的动作很好。
好好看啊～搞的我又想看一次小说
确定这是真实评价？ 。。。。。。
这真的是我的世界吗？我不敢相信这是我的世界太不可思议了简直好看极了
这的确很好看，十几分钟都觉得不够，要是一集可以再长点就好了
不知道为啥明明知道程心没错但是就是特别讨厌她
怎么就没人投资？拍一部好的
这是很棒的作品也是很好的
奥特曼为什么要帮助人类，他们不知道黑暗森林法则吗
我是三体迷，剧情还是挺靠谱，画质烂了点
还原的很好 良心制作啊
片尾曲很好听诶，感觉很搭。
这不我的世界画质吗。
快更，太好看了。希望快点
螳螂号名字也有意思，螳臂当车
这是逻辑黑暗森林篇。就这部还适合拍出来。第一部和第三部不敢想象
比起一些小鲜肉烂电视剧 很不错的！
超好看
非常非常棒啊！！！！
不错，给制片人点赞，希望可以继续制作三体相关作品
太牛逼了做的，佩服的不要不要的，支持继续推出新的
整个三体系列，只有两个名字一直出现，大史和叶文洁
好看，没毛病，加油啊老铁，三体迷与你同在
我手机坏了 所有图像都成方块♢了 感觉得换个手机 对 是这样的 手机坏了
说这个不好看的一定低年龄加弱智，看完三体在喷的你看完行吗
确实很好。配音很有感觉。有深度的东西不需要乱七八糟的画风。特别好
我感觉用我的世界来制作会更好看
哎。画风我还是受不了
你们居然说这神作不好看？？瞎了？？
为什么用心制作的没人投资，投资到位的某族却只是骗钱骗名
希望作者团队快出下一步。
真搞不懂这个为什么评分那么高
