辗迟把千钧当好朋友，而千钧却是那么想的，真让人寒心！
弋痕夕好帅
辗迟怎么还不来呀！虽然被控制了，但是也是主角呀。不会脱离吗？
第一集用事实证明，前两季其实十几分钟就能讲完
醒来发现我成为了侠岚，结果只是我随便画了个侠岚印记。
那个山鬼摇究竟是哪个殿的一下说他是栾天殿天师的徒弟一下又说他给阳天殿的那三个小子带来伤害，无语狗屁丑恶
侠岚属于低幼年龄段看的，画江湖系列属于成人动漫，现在若森只做成人动漫了。
"侠岚我都看了两遍了
第一遍的时候还是两年前"
我好喜欢侠岚哦，因为我也能成为侠岚。😃😃😄😄😍😍😘😘❤👍
他们好像遗忘了辗迟，亏他们还是朋友。
刚开始还觉得好看一点，越看越觉得没意思了，还是画江湖好看
山鬼谣是好人，后面就知道了
很好看，比电视剧好看多了！
喜欢辰月啊漂亮厉害厉害
我感觉这部动漫几乎全都是在回忆，还有说话，看到打架的一幕非常少，有点不好。
老师觉得和火影有相似的地方仔细看看
这个。。。你们怎么看？
最近总有人喜欢说剧情慢，想打辰月云云，拜托，不喜欢看不看，没人逼你看，想搞事可以去找官方
越看越觉得千钧想展迟是那样的人真是贱，还装成一副好人样，真是不舒服
有多少回过头来继续看侠岚的
可是你们想过没有，这部动漫做里面的回忆，还有他们的对话，的确占了一集很多时间。
这里有没有玩王者荣耀的？
我觉得挺好看的啊！很好！
唉好吧没人提辗迟，辗迟已经被遗忘
这么多评论为什么没人说霞露呢，难道不好看吗
希望第七期能恢复原来角色的面貌 个人觉得还是原来的面貌好看 声音更像
看这个就必须用1.5倍
醒来发现我成为了侠岚，结果只是我随便画了个侠岚印记。
为什么一个回忆能套这么多集，占看的时间。
喜欢遥叔😊😊还有归海😍😍
除了回忆太多其余挺好的
这个辗迟也是该死，为了自己，害死别人，真的是
谁能想到这朴实的青年面孔下藏着的居然是一位二十来岁的少年？——斗破苍穹
拍得真辣鸡简直就是没法看下去
"很好看
。。嘿嘿😁"
鬼东西 回忆杀真多 比他妈还多
特别好看，很棒！特别特别的好看。
是个好片子 就是太墨迹了
我很喜欢，very good
龙老师怎么还没有回来呀，难道老师死了吗？
看得我尴尬癌都晚期了
谁知道辗迟进入别人的心境是哪一季哪一集啊，求大佬告知
可怕的五角恋啊，妥妥的拖剧情
他们吧 展迟给忘了 还是朋友嘛
这部剧话可真多😂 说得很牛
侠岚不错，一个星期更新一集太慢了
辗迟的画面怎么这么少呢
82 34 28 自己猜
千钧太理智了少了点情感 辗迟比较热血
都没多少人看了，，，，，，
辗迟死哪里去了呀，两集没出来了
辰月和她爷爷太感人了😭
这废话可真是太多了我要举报
看第一遍的时候，是六年前。
我已经不知道是看第几次了
超级喜欢遥叔超级超级帅哈哈哈哈哈哈
前4季假叶那么厉害都可以和破阵打平手，后面连山鬼谣都打不过可以给我解释下吗？
为什么侠岚不长大。。
我们的……在这个地方好喜欢的
看完画江湖之侠岚在看这个感觉有点幼稚
墨迹！看了五集了还在写攻击玖宫岭！😂😂
画江湖系列，你们能不能认真点，改的侠岚我真不忍心看啊，毁我童年啊
我很好奇为什么破阵会打不过假叶
剧情非常拖，回忆非常多。
时间差不多警察局
不良人和这个都好看。
废话太多，太做作，太假
辗迟就一扫把星谁跟她谁就倒霉
这编剧，真扎心，你要开心的话把主角全杀了啊，就弄着就弄着揪心的画面，服了
国产班的火影忍者挺好的
3。。。。。。。 。。
云丹胸好大，好想弄，揉踹它
丑妹一定要救活丑妹。
一般般吧，还蛮好的嗯
你们看一看新出的电影风语咒
辗迟出来，我要辗迟，
什么玩意，都是回忆 主角又不出来
喜欢我喜欢站着吃千钧一横七和B T零指出这个猪啊，哎呀，我不想看华江湖只不良人小兰太好看了。
"好看
，哈哈哈就斤斤计较"
第三季是什么鬼了😂
好卡，，，，，，，，，，，，，
越来越嫌弃千钧了，啥用也没有还总喜欢自以为是
导演排的是什么都看到13级了，谁都没打死人。
巴巴爸爸爸爸(=^▽^=)擦擦擦啊啊啊啊啊啊啊啊😱
好看很好看真好看666666
云丹好美啊。。。。。。。。
为什么一场战争这么长？都可以当一季了
展迟用的那个好像叫控零锁
太喜欢天净沙老师了哈哈
开头说话的应该是破阵
重温一下。。。。。。。。
"搜索电视。
哦这是电视。"
回忆童年
气死我了怎么没有辗迟的画面呢
他好牛逼，但是有点感人
这几个虎完应全军覆没了
你们都喜欢谁呀？
卧槽，这动画片有病吧，就一个玖宫领看了十多集
主人公的真实身份是什么?_?
我真想打他一个耳光
