竟然看到了动态的百层塔
动漫更新到95话了，该上27层！
男的勉强看得过去😂
竖屏看着看好不习惯啊
好看啊，寒假不怕无聊了
啊啊啊竟然更新了，太激动了
怎么没人啊啊啊啊啊路知行冲鸭
漫画不错……动漫太短……
感觉男主有一点点傻缺
哎？比普通的动态漫画效果好哎！比之前看的一些动态漫画都好
不管你是谁，只要你看百层塔，我们就是永远的朋友（姨母笑）
长见识了。。。。。。
有一段看不见阿，可不可以整理一下
那个男的长得好玩，还有点辣眼睛
为什么每一话都这么短呀看不够啊
失去记忆了竟然还知道自己有QQ？
感觉还不错。挺有意思的漫动画
我也不知道为啥我会翻到这样一个东西，感觉莫名的很好看啊，就是太短了，一集才一分钟，完全不够看，希望时长能长一些
声优的发挥好给力啊，一点儿都不出戏，感情拿捏的也到位
这个百层塔的造型挺特别呀。人物很富有喜感
这熊起文化制作的动态漫画真心质量超好啊
这个形象有点诧异，嘴巴好大好大呀。
很有趣的故事情节，人物也挺有意思的
睡迷糊了吗？还是穿越到这里了。
这个大叔 很搞笑也很出戏😂
黑了好久 难道就我一个？
好看好看呵呵呵呵哈哈哈
配音感觉很不错啊，追了
前排承包我湫然，嘤嘤嘤
茂里超级可爱的！！！！
希望这样的动漫更多多
男主:我是谁我在哪我在干什么...
黑屏了？？？？？？？？？？？
""
感觉竖屏的动漫看起来也还是挺好的
哇！出动态漫画了
管理员确实很辣眼睛啊
满满的笑点，适合放松的漫动画
