真的不错，这是中日一起合作的剧吧，说句实在的，中国还做不出这效果
国语配音总觉得有点尬，日语版分分钟想哭。。。
有没有三十岁还在看动漫的？
其实他一直在尽力，但是从小到大，早就习惯有你们的每一天啊
听说点赞的是大帅哥，大美女
越聪明的人心理上就越变态，你永远也猜不到他下一步是想害你还是想帮你
这画质，国漫有希望了，同意的点赞
我觉得挺好看的，但是为什么一周只更新一集，完全不够看啊！ 觉得的举手
真是日本人才想的出这么恶心的故事，
讲个笑话，日语版比国语版少更新一级，这说明了什么
在来看一遍，超喜欢这动漫
斯洛哥：像我这么帅的，善良的。在别的动漫里，一般都是主角哟
好看。期待后面剧情。
太好看了期待第二季多一点
越是这样淡淡的情感，越打动人
这尼玛是三角恋吗？
好想拥有读心术啊，想读懂我喜欢的女孩纸心声
虽然感觉小堇做的不对，但她确实没喜欢丹尼斯
倒霉的孩子啊，唉╯﹏╰来我家多好
暖心国漫值得追下去的
很治愈，很暖心。五星好评
这么好的片子人气这么低不科学啊
很好看w非常喜欢这样的画风啊♡
我想知道，日蜘蛛犯法么？
国漫真的在进步！很感动，支持家庭实验品，期待结局圆满
第一话太尬，把我劝退了
丹尼斯真的很努力啊 天才也是人更何况还是个孩子
蛮好的，喜欢，一家人本来就是要整整齐齐的嘛。
这个动漫这么好怎么才12集
真的很好看.不不日版动漫差
会有第二季嘛？？？？？
挺好看的，感觉，看过几集
没人吗 我觉得这挺好看的呀
我只希望结局他们可以成为真正意义上的人类，而不是实验品活着:D
超级喜欢看，很治愈系，推荐
哈哈这是国漫吗有人知道吗
期待第二季更新，速度快！
国漫崛起
一直觉得他爸妈有点邪气
感觉这动漫能火。还没开始呢就能吸引我……等更新……等更新……
有没有什么好看的动漫，推荐一下呗
崔西去见丹尼斯老师。
好看啊！好喜欢，中国动漫崛起
这么好看的动漫，居然这么少人看
孩子可能不是亲生的，那么疯狂的科学家会有时间生五个孩子？
这个男主真的很自私，开始讨厌他了，跟夏目根本不是一个级别的人
看完这一集，特别想说，这对父母是不是神经病啊。
看了日语和中文 个人感觉日语会更好一点
嗯哼，好看，女主角好可爱，男主角呆呆的
真的好喜欢。支持国漫
很不错的 国漫！多多加油 愿越做越好……
很治愈，心里暖暖的。
很棒，就是配音感觉有点出戏
感觉很不错追了真搞不懂纯国产的非让别人配音
不知道为什么，感觉看的经常会感动，有人一样的嘛
为什么艾丝丽背后的四条腿没有了？
所以，阿勇是谁呀？房东喜欢的人？还是研究他们的父母？
最近国漫大爆发了，同意或支持的点赞。
这就完了吗 不要啊我想你们可以一直陪着我们
好好看，要超过日漫，让更多人知道我们中国的漫画
男主黑化，家庭分离..
"我对治愈系动漫不太了解
谁能解释一下嘞"
都应该学会正视对方，不论你是普通人还是所谓的天才。
那个.....日更是认真的吗
丹尼斯真可怜，这么小就撑起了一个家。
弱弱的问一句，智商高难道记不住路况吗？
国漫崛起不火我都不信
他们父母不是好人。。。。。
会有第二季吧，期待，很感人很好看
一天一更吗？激动
感觉主角的父母没人性！
就这样，没懂，看来结尾的原因已经超出了我的智商。
喜欢丹尼斯的点赞😍😍
同意斯诺和小谨的是🐷🐶不如
😁好温馨的日常番，我一直在追这部国漫
不管是狗狗还是人都很喜欢斯诺，又可爱又帅
把自己子女变成实验品，，好可恶，，😡😡😡
好喜欢这种治愈日常番，我不行了
我感觉我们的国漫马上就要雄起了
很少见的国产漫画呢！
房东是好是坏呢？ 求解
妈耶，男主太可爱了，我要嫁给男主，正太控已经疯了～～～
每周就更新一集，一集就10分钟，完全不够看啊
丹尼斯9岁 斯诺哥?岁 小堇？岁 问题在年龄啊
没点之前我以为是日本的动画，画风是真的像。
这个父母不会是反派大boss吧
越往后看越觉得他们父母根本不是人
支持国漫的给我点赞！！！
真的很好看，为什么才12集，我还想看
现在已经不怎么看日漫了，都看国漫
"支持魔道
看我羡 我湛
好帅 ～好帅～"
国漫为什么要日语呢。。。
不错，挺好看的，赞同给赞，看看有多少人喜欢，我先点了
人好少啊，都没人吗？
不如一人之下好看。同意我的点赞哟。
很不错的动漫作品，追剧中。
这动漫太棒了吧，脑洞大开，画风也是很棒！太赞了。。
国语挺好的 补国漫补到日语看不下去了……
不是没人评论 我感觉是专心看去了
好看支持加油💪哈哈
