最后八神连个脸都没露，就结束了。。。哈哈哈
逃学打游戏被家长抓到的点个赞
最后拿出来好作品大家自然就认可你了，没有好作品说再多幕后都是垃圾。
竟然不好做那就两个星期一集也可以的啊，不要敷衍呀
为什么看的人这么少，虽然画面没有原版好，但是真心不错，让我们回忆起以前的童年。希望拳皇越做越好。
这么嚷嚷着八神，都还认错人，标志性的红头发都不知道
我喜欢用大蛇绝招的阳光普照
一部拳王硬是被做成了一部小孩子看的动漫。啧啧啧
"八神在哪儿？
我是来看八神的"
呵呵，知道是谁吗？真正的强者
八神刚出来就断更。我查。瞬间没心情看了。。
不知火舞胸好大，我好喜欢不知火舞。同意的点赞
从头到结尾我都没看到八神，出来过，要不是为了八神我都不带看的。。。
火舞屁股真的性感啊啊啊
八神呢，牛逼人物是不是要后面才出场
八神庵登场！
……这样的登场真是酷闭了！
别等了，导演组在东莞嫖娼被抓，
我是八神，快点赞 上热门靠我的粉丝了。无赦
大门的话好少哦，觉得对的赞一个
把我的大八神放到最后在出场 你是想干嘛？
八神就没出现过！这特码也好意思叫拳皇
什么玩意，八神没学会弹吉他，气成这样
如果最后那个是k的话，那也他妈的太不像了吧！
最爱不知火舞，别问我为什么，除非不是男人
俺的八神无限扯，大门无限抱。当初逃课去和游戏厅老板单挑、那感觉爽
永夜的飞花 息吹的暴风
没有八神一点就都不好看
在游戏厅里玩过拳皇97风云再起的人点个赞
只有贪玩蓝月，一个不用充钱的绿色游戏，我叫渣渣辉，是兄弟就来砍我。
"666,不错，剧情可以，呵呵"
"告诉你们一个顶级秘密！！！！！！！！！！！
其实还有一个更好看！！！拳皇系列的，什么人物都有，名字是《魂之印记》不信去看看，相信100％93喜欢拳皇的人都没有看过！"
像这种远光灯狗，又是逆行，还刹车？直接一脚油门送他回家。
我以为八神是主演，靠！
我只看了两集！我想问问我的八神呢？
反正我就喜欢不知火舞。我看看有多少喜欢不知火舞的，顶我上去
还不更新认同的点个赞👍
比利演孙悟空不错
要么就几个星期一集把时间搞长点
打着八神名号，挂羊头卖狗肉，原来他只是客串
国产动漫变得精彩了 可是很多动漫题材都比较颠倒是非 武庚记就是很好的例子 神族被丑话了 ，还有很多有头没尾的 更新太慢了 一集太短了 所以真的让人无语=_= 国产动漫制作太没有真诚了，没有拿制作动漫当回事 这点太让人讨厌了 如果这些问题不解决还不如不要制作啦！ 制作动漫的人没有承担国漫的重要影响意识 只是纯为自己捞利益 拱钱眼里啦
老子的八神奄呢我擦真是醉了
没有八神 不拳皇 😁😁
第二季什么时候更新快点更新吧
无声无息的就太监了，怎么・_・?春节组团旅游出车祸了？
第一李的剧情就是这些了啊！！！期待第二季更新！！
猜猜他是谁？
八神和京是我童年最美好的回忆！！！
从时长就能看出来，用心剧，比什么垃圾某某记强多少！！！
拜托本季结束后公布一下下季的放映时间好吗
棒棒哒
听说八神家族与大蛇签约大蛇血脉，从此八神家族拥有大蛇血脉之力
棒棒哒
想看大蛇 太阳神 肯定帅呆啦
为什么不多出几集，同意的点赞
两个月了，都没有更新第二季
说实话，我是奔着看八神，才看的，可惜可惜啊！
不会再有第二季了，不然又毁了我一个漫画
不要急第二部八神就是主角了
频繁的广告，好感-1...
没八神，八神怎么不出来
这集不就是预告？
每次都是这样 你们是找不到剧情了吗？还是日本不让你演了
我想问一下拳皇有猴子孙悟空嘛？
我觉的草薙京和不知火舞才是一对
我特么就想问 劳资喜欢的八神庵呢 请告诉我
可我就想看看第二部你们把八神庵毁成什么样子
你好再续我们为大家更新了八神
这个APP怎么不更新了
期待第二季 八神是主角吧
拳皇里面没有八神？导演玩过拳皇吗
拳皇本来就是看八神的，没八神就没人气
第二部什么时候出？？？？蛮好看的
什么时候更新啊 我的八神
还更不更新了，多久没更刘
非常期待第2季！八神和京的第一次见面！
一起嗨皮
大蛇八集杰都在这
我怎么感觉主演是特瑞啊
刚开始看这部动漫，不知道好看不好看，先看看再说吧。😌😌😌
特瑞我选了，其他你们选。
前后音乐加一起就是10分钟，五分钟的剧情看个鸡毛。
他们像神一样的，太多好牛逼的绝招!!!太666了!!!!!!
为了怀念一下童年，80后的几个和我一样的想法。
没有八神?没有大蛇真身？没有千鹤！拍的是什么！
千万别看流量流水一样的，被坑了
我的八神庵啊！，，，，，
有看过斗罗大陆的吗？
为什么八神庵前面没出现？
为火舞而来，深中王者毒
喷子们，去死吧
出第二部的话应该会有八神，
我觉得还不错，反正没事做，追着看呗
没有八神的拳皇 不叫拳皇
主角叫草什么，那个字怎么读
没八神的拳皇能叫拳皇？？？
说好的八神，结果出来谈了个琴，跪在地上吼了一声，就没了？
八神出场的那个画面是最后暴走了吗？
日语版的真的比中文好看
太短了，有火影忍者那么多集就好了
