我敢说不出一个月 肯定出手游 然后坑的一笔出现了
你们慢慢等吧。。。。把我顶上去让大家看到吧！
这特效打的，成神了！！！！
支持国产动画片，还有一些有教育意义的，什么熊出没，喜羊羊等是什么鬼
没有上一版三国演义动画片好看，那个比较实在
12分15，曹操是厉害，快报拿反了都能看懂。
没有玄机科技做得好！
我只想知道在哪里评分，中国历史巨著。拍的也不差，居然八分都没上，还有没有天理了！还有没有王法了？最后问一下什么时候第二季出来？导演，要坚持初心懂吗，不然寄刀片…
我记得以前电视演过三国演义动漫，人物比这个好看
主编可以透露一下什么时候更新的，同意的举手😁！
怎么回事，怎么不更新了，都等着的。
大赞👍国漫就应该这样！重塑经典！甚至比经典的更有看点
"其实国漫做到这个地步已经很不错了，如果能在细节上处理精细点就更好了。
比如38集，青梅煮酒，用的箸子不对，筷子作为华夏民族重要礼仪之一，汉最重礼仪等级，士大夫宴饮用的为青铜制。
此乃个人浅见，不喜勿喷。"
以前我记得也有三国演义的漫画片啊
为什么才40十级，腾讯你还干不干，要是干的话赶紧更新
快快更新，一直等待、等待、在等待。
这样演的话 40集只能要到三足鼎立的时候了
刘关张是人民币玩家，武器都是带光的！
是不是编剧更新不下去了？
我们是中国人应该要多支持这个这个电视剧是我们四大名著《三国演义》。
为什么多数三国都以刘备为主，曹操没你们想的那么坏
动作好生硬 虽然不一定像国外大片一样 但跟国内其他动画比也差了不少
孙坚有2个儿子吧？孙策，孙权，后来孙策战死了
终于找到一部，个人比较满意的动漫，国产动漫能做到这个地步真是骄傲。不过就是更新速度令人担忧，会不会就这样终结了，无下文了或不了了之？
中国动漫终于有四大名著了
求更新啊，天天等着呢，能不能出来了
小孩看很好！ 大人不必站在自己的思维上审评。
你有什么资格更新这么慢？没脑子
十九集才放到董卓之死，全40集？逗我吧，起码还有三四百集
赞我有红包
人中吕布，专克义父。
没赵云吗？你们看着赵云了吗
我就说一句，你们有没有玩过真三国无双....
拿中国四大名著来赚钱、主编你良心过得去吗👏
更新啊 你不更新还看个屁啊
支持国漫，比日漫什么瞎胡扯啊啊啊卡哇伊好看多了。
曹豹是吕布的老丈人，曹豹的女儿是谁啊？
真扯淡，吕布用的是方天画戟，这是啥戟？方天画戟两个月牙！
支持良心制作这个评分应该在9以上
快更新啊，，，，，，
这人物做得也太特么丑了吧
还拍不拍了啊？为什么好多动慢都拍不完整啊，要不就是更新太慢
看过三国演义动画版的赞我，，
我只想知道这些评分怎么来的？好评如潮的低分，不好看的反倒高分。
刘备在正史里其实是个相当有本事的人，并不是某些人嘴里的伪君子小人
导演啊！应该还没有更新完吧？快出下部啊！！！
国漫是越来越不错了
他们说导演死了，开始我是不相信的现在看来是真的了，
还有没有下部？诸葛亮也还没出现啊
一开始就逗我五百人干过五万人，这不是扯淡吗！
三国里面有太监吗？😒呵呵
不得不说 真人版的说话方式都没有动漫的这么有古代气质
好看，喜欢
还不出第二季，我孩子都会泡妞了
你几个意思啊，吊人胃口，导演给我出来
续费会员就为看第二季的，现在都没更新，这是欺骗消费？
第二季到底什么时候出啊……天天等 给个时间行吗
希望早日更新下一季，不要让我们等久了
求下部快快更新啊，给你最高支持
要没有刘关张、诸葛亮直接出山就是蜀国统一
每天都来看看有没有更新
为什么到40集就没了？
国产良心剧不错👍。。。。。
总有撒比说人物丑，去看你的白脸小生吧，乐色
为啥不更新了？？？？？
期待赵云单骑救主
不想看滚蛋没人让你们看
先睹为快
我只想看常山赵子龙有多拉风
孙策才是真英雄，21岁，一呼百应
太好了，我不喜欢看书，这下子我就不担心了
好久更新40集后的，我还没看到诸葛亮呢
我就想问谁玩过三国无双
出个三国演义手游那该多好
好好看看
好好的一部中国名著就这样被你们弄成了稀烂的破事。
刘禅无能，三国终归晋
好帅
以前偏爱赵云
这是个值得尊敬的作品，人物形象 一言一行 ，总之很爱了💗。
要是10年后更新，到时候和我儿女一起看😂
看个动画片你们也太认真了
此为真正良心之作！望持续更新，勿让粉丝翘首……
刘备二十有八？这看起来得有四十有八吧？？？
挺好看的
常山赵子龙最帅
我都看两遍了，既然出了就持之以恒往下拍啊！这等的胡子都长了好几茶了！
超详细超好看。还有没有后面的啊。等不及了
历害呀！
非常喜欢三国之类的电影电视及动漫，这部动漫好久前我就看好了 一直注视有没有下一部 不会又像其它动漫一样没头没尾吧
各种BUG加身的动画啊！就看一爽吧！
细节好评！做的是真的不错
多可爱的张飞庄主
水浒能出动曼我就喜欢了
快点更新呀，等了很久了，很好看的片子
哈哈大家发现没，是将军猛将都戴特效
国漫为啥每次都是更新一季，团队就消失了。。。。
这斗气都出来了。哈哈。罗贯中得气的从xx跳出来不可。
求第二季，这个三国是我看过最好看的
历史上单挑谁能敌过吕布，李元霸？
