被封面骗进来的举个爪，我看看有多少人
嗯…觉得中国中二没有日本中二那么带感
还是外国的吸血鬼好看，又恐怖又吸引人。国内的就呵呵了
以前一直追着看呢？好怀念，现在回来看一遍
没有吸血鬼日记好看？。。。。。。。。。
怎么不怎么好看啊
本身coser们就不是演员，他们辛苦出来的作品不喜欢但是也请不要喷，二次元的作品和三次元还是有区别的
我这个漫展的也超级喜欢小梦，我爱你小梦
才打开，主角是那些人?封面小哥哥叫什么名字？
小梦是谁，谁能告诉我
我看到了这面墙深深的恶意
像不像第二季的女主角
默默的想到杜小莘和洛逸......
一部杀马特贵族演义史
我只能说还行，毕竟只有剧情，没有颜值呀！同志们，你们觉得你呢？
穆炎好帅，赞同的点赞[色]
"那女人真善良呀 ，又漂亮又善良,你们说是不是？"
唐老鸭的嘴巴吗
坐在寻旁边的那个女生不是第二部的女主吗
我来看动漫 看见了个不是动漫的动漫
侮辱了 吸血鬼骑士 吸血鬼恋人
还是小梦帅，帅帅帅帅
除了颜值，毫无看点。
小梦，小梦，李孟曦，coser小梦，全国十大名coser
还是去找四个野男人吧
司徒家族的大哥好帅！请点赞！谢谢！
这是模仿一部动漫，忘记叫什么
这里有没有喜欢杨颖的粉丝
看她像不像第二季的的女主角
我的妈呀，吸血鬼猎人，吸血鬼，这是不是还要来一个杜小莘还是落逸啊。不行的话再来个温妮
这个弟弟是…………兄控…………
不知道好不好看 看看在说 有没有帅哥美女呢
这个连续剧还蛮好看的！像我看的一个漫画改编的嘛！
司徒穆逸帅
这是什么？
老大好帅 老大好帅 老大好帅
国漫比日漫好，支持国漫
除以几，好喜欢勾引男人，司徒家的男人都在咬她
等会，开头第一集的那个人声音怎么那么像许墨
最喜欢大哥了，好帅好帅呢！
寻是喜欢他哥哥。。。
司徒寻好可怜。
好猥琐的岳父
觉得司徒穆炎帅得人给我回复一下吧。
男主是谁啊。看了半天不知道
丑女粉丝心粉丝心
女主作不作，开始不是很怕吸血鬼的吗？
剧情再好，也要颜值，两样都没有，真心看不下去，建议大家不看.
好像有点喜欢凌弃
好假。。看到这里我就不想往下看了。
对我而言，我觉得最大的优点就是男生都好帅啊！！！
跟吸血鬼恋人有点像
女主让小梦吸她血时，好婊，绿条婊
一共有多少几？知道的就点赞
靠脸怎么了，看颜值怎么了，就是看脸来的！
不喜欢的请滚，我先滚为敬
有没有人发现男主角好像张艺兴
丑的一批 杀马特非主流
这怎么乱入到动漫里了？
不行了不行了 简直帅瞎了我的双眼
喜欢炎，有没有跟我一样的
这个国漫的吸血鬼为什么这么少吸血
这女孩是被吸血吸上瘾了吧
让他吸大姨妈吧，两个人都不难受
这剧情应该穆逸老大，子澈老五。
翻拍的什么鬼！！！一点也不好看
寻是喜欢他哥哥吗？总是觉得他在吃醋
我想说二次元什么鬼？现实吗？一群蛇精病的玩意
吸血鬼不是该隐后裔吗
谁知道主题曲是什么歌？
垃圾片中的战斗机。垃圾到无话可说。看这等于是浪费时间。
我发现现在我读的是吸血鬼，写的是吸血鬼，看的是吸血鬼。
这种片子还拍它干嘛连个颜值都没有红的希望也不大，就是在浪费钱
为什么我觉得没有一个吸血鬼好看的
我怎么感觉这部电视剧有点像日漫《恶魔恋人》呢？
"想起了吸血鬼恋人！
实在是太像了！"
为什么吸血鬼都要搞成杀马特
子煜和寻很配有未有？⋐(ల◕◡◕ల)⋑
没有我们人类，哪里的他们
小梦好可爱啊，盛世美颜
演的很尴尬啊 隔着屏幕的我都感受到了
动漫里怎么有电视剧。我可能进了个假动漫区！
还是第一季好看，第二季剧情连不上。。
我曾经看过一个动漫也关于这个的，内容类似，不过忘了拿个动漫叫什么
第一集叫司徒寻打羽毛球的女孩是第二季的女主
不错
超级喜欢小梦
女主不应该找个萌萌哒的吗，这个女主感觉傻傻哒
马达，这个女的到底喜欢谁啊？一下跟子煜，一会勾引我家炎
寻旁边的女的像不像第二季的女主角
这算是动漫吗 分类都不会了么
小梦太帅了。太帅了！
完全看不下去，原谅我不懂什么二次元三次元
不好看，给个差评。（我不是喷子，有好评自然有差评！）
第一季第一集中上课时坐在寻旁边的女生不就是第二季中的女主角吗？
人设丑的要死，化妆师品味另类哈哈哈
杀马特的发型，居然还有眼影
唉....侮辱了我血族
演的真好，就是只有12集
原来吸血鬼也要睡觉的啊 还特么赖床？
