作者缺钱的话，我们粉丝可以凑啊。。。不用更新的这么慢吧。
有多少人愿意付费观看，来让这部动画片速度更新的？点赞统计一下
我要跟作者比命长。有没有上车的。
尼玛！我特么能骂街吗 我能吗！作者你丫耍粉丝呢是么！一百年更新一集，一集看一万遍
看了评论我就笑 半个月以前一小时看了11集现在还没有12集 哈哈哈
段友出征，寸草不生，有段友嘛？
七年了，也就更新了二十七集，别问我怎么知道的。
只要你继续更，手办什么的不是事儿
我说这个动漫10.0分没人反对吧
又一部有生之年系列，怒刷几十遍
看到那条段子就来搜着看的段友来我这报道了，清风扶杨柳
还能不能更新？有人有钱投资么？是不是制片方没钱所以才这么久的
自从看了罗小黑战记我烟不抽了就不喝了每天早上早起锻炼身体，就为活得比作者长。
17年追的，9月，就是27集，12月还是，我快没信心追下去了emmmmm……作者，我不信13岁的我活不过你吼吼吼
我是从内涵段子看到的过来搜的，有没有一样的？
我要跟作者比谁的命长！
好像是要出个大电影，大家要去看啊！到时候应该就是结局了
看QQ看点过来的。。
为了能够继续爱你，希望作者健康长寿，特别长的那种哟。
天王盖地虎 段友在哪里
都已经七年 三个月了 我还能说什么 你没变 我变了
段友出征，可有段友？
我去年看的 27集 这都 18年了 你啥时更新啊
妈的我和作者比命长 他是比不过我的
从大一跟到工作啊。不知道入土的时候能不能看到结局啊。
难道就我一个头条过来的吗？
一个软件上显示28集 满怀激动的以为更新了 结果。。。算了 您慢慢来 我不急
如果我有生之年不能看到结局，作者，我这存了一箱的刀片，你要吗
3000元就是比21000w的牛逼
小黑人形，真的好帅啊~
段子上看到的上车——
有生之年，等不到更新系列
一口气27集的节奏啊，真羡慕从小学追到高中的。那是何等的毅力！
1年更2集？！！当有全集的时候我似乎已经不存在了
作者你穷和我们说 我们凑钱给你更新 要不要
和作者比命长系列
看到这儿，眼睛不觉湿湿的
这样就完了，有莫有第二季啊！
不知道有生以年能不能看到结局！！！
"跟作者比寿命系列
。。。。"
更新慢不要紧，只要作品好。用心作品我会等
我觉得完结的时候，我孩子都会打酱油了
抖音来的举个爪
有生之年，希望能看完罗小黑，或者把这个任务传承给我得孩子
这个动漫简直就是有生之年系列
希望有生之年可以追完这部动漫
唉，我死之前能看完吗
求更新啊，等的花儿都谢了
人家一个星期更新一集 你是你年更新一集吗？
""
过了半年突然想起来小黑了，就回来看，终于看到更新完了，太不容易了
七年了 一共出了一百五十分钟？？？
现在拼命赚钱，一方面给了生活，另一方面我要成为罗小黑战记投资人
我等了三年，三年啊！你就这样完结了？对的起我们这些死忠粉嘛？
七年了第一季终于更完了
我希望一个月更100集呀！和比丢有关，因为比丢太可爱了
国漫罪痛苦的莫过于，你对他产生了爱，他却转头离去。从此无影无踪
可能最后小黑说的那句话是领有寓意吧
全27集？这是完结了？还是说第一季？
这更新速度，我也是醉了，但是又是没办法的追
还更新么，，我死之前能看到结尾么，2018.04.18
有生之年的话，猫喝醉酒的样子，知足啦，但还是希望有下一季。
是抖友的点个赞
跟作者比命长之剧。( ̀⌄ ́)
这是跟作者比寿命的动漫
一集就这样水完了…水完了…完了…了…
看到头条 过来了啊哈哈哈
仿佛看过啊！应该看过了吧！
自从看了以后，天天锻炼，争取比作者活的更久一点……
作者你是想和我比命长吗？ 那那来吧 我00年的 ，看谁先死
哈喽，大家好，我又来了，已经第N遍看了，最近实在无聊滴很，有啥推荐的不
我等作者更新的已经结婚了，娃都这么大了
6.20签个到表示我还年轻 应该能活到30集
清风拂杨柳，敢问是段友？
好看，就俩字。简单而又真实
我不管，我就是要和作者比一下谁的命长，我坚信我会熬死你的
7年更新了27集。我与作者比命长系列。
我等的起星游记7年，我同样可以等你7年。
（●▼●）这是比丢的原型
不一般是三或五个月更一级吗？这么久没更不会死了吧。
为小黑集齐520吧喵～～
当年翩翩少年已等到大肚偏偏
自从看了这个动漫我戒烟戒酒每天早睡早起就为了能活过作者
还在的都是钢筋混泥土粉
6年更新到27集，这个治愈系国漫是厉害的
有生之年能看到结局吗
千言万语，一个字，等
这都多少年了 总共27集呀 终于等到了 希望有生之年能看到第二季及结局呀
小黑更新完结时。家祭无忘告乃翁
天王盖地虎，滴。。。滴。滴
这因该没有了，27级全。（觉得我说的对，请点赞）
打斗、笑话、温情都有，是一个好片
我想要在死之前能出续集
良心剧啊，几个月更新一集
什么时候才更新…这都好久了
快手 第五人格来的 举爪
我和作者比命长系列，
27集就完了吗？我还是看呢
这已经是第二年了，下一集什么时候出？
小黑的遗产一
