我是真的觉得丰绅英德好帅！怎么办？
 每周更新五集，我给你十万，给我搞快点拍，十万不够，二十万。
一二季都看完了，第三季什么时候更新？
要是武庚纪。画江湖。斗罗大陆。能有这样长的时间那就更完美了。这部动画很不错可以点一百个赞
按这个长度，我觉得，三个月一更算是快的
我的小鱼你醒了， 还认识早晨吗？ 昨夜你曾经说， 愿夜幕永不开启。 你的香腮边轻轻滑落的， 是你的泪，还是我的泪？ 初吻吻别的那个季节， 不是已经哭过了吗？ 我的指尖还记忆着， 你慌乱的心跳。 温柔的体香里， 那一缕长发飘飘。
良心动画片，大人小孩都爱看
把第一部来回翻拍几遍有个意思么？
这是在看盗墓笔记的节奏啊。我的小哥，我的天真无邪，在一起可好！！！
很好看，比外国动漫好看多少倍
为什么我喜欢丰绅，太帅了
过产狗的片子 主角一般都是废狗
不都看过了吗？重播。。。
喜欢神荼，怎么还不更新
我有一个金娃娃 金胳膊金腿金脑袋，好可爱！
真没什么可以放的了，居然又从新放一遍，还慢慢更新。。
虽然已经看过了，无聊的我又看了一遍。
天啊我现在才知道更新了-_-||
两年了还没有更新，什么时候出来第三季啊！
各位同胞同意赶紧更新的请帮我点赞
我爱❤️神茶
好看，特别喜欢这类型的，时间还很长
和起来看好爽，太喜欢了
这是第三季么？看评论好像不是哦！现在都2018年了，还有第三季么？
我个人认为不好看，因为画风太差了。
好喜欢神荼啊 ，期待更新
哈哈
最后两只虫这姿势上天啊
这还是我所知道的国漫吗？
有木有觉得神荼和安岩很配呢？
我的妈呀，这第三季好几年了就是不出来
更新啊！！！！神荼帅我一脸血
很好看，好的动漫必须点赞，比真人版盗墓笔记强得太多太多了
这个跟另一个是一样的，只是多集合一了而已
喜欢
什么时候这个动漫才能更新啊？
挺好看，给个赞赞zan
""
真心好看诶，给个好评
最后的镜头，尺度好大啊！
强烈要求更新的请点赞
还蛮好看的，出乎意料
帅哥们，你好帅神tu好帅
坑啊 不就是把前几集合集了啊 卧槽 坑我捏[发怒][疯了][咒骂][吐][流汗]
神荼好帅！安岩好萌，傻白甜！
大家希望第三就出来快点点赞
我觉得不要老是催更新了，越快就越不精致。
一口气就看了三集。
好色
求更新 大家一起求更新 不错
太好了，看到这么晚都还想看，可是没有了，快快快快更新
1个小时22分11秒我有点不敢相信
良心作啊，时间这么长，完全颠覆国漫时间短的观念啊
为什么这么好却不作了
白高兴一场 以为出新了呢
赞\(≧▽≦)/我喜欢的类型，期望更多！！
哇哇哇超长的时间啊啊啊啊啊啊啊啊喜欢超级好看
好看！不知道还有别的没有？！
我想问问这是最新一季吗？求解
希望快点更新第三集#*#*##
快点更新呀!导演死了吗？
什么时候出新番啊。几年了，我还在等。
神荼很帅，很喜欢，一直支持勇者大冒险
希望快点更新，期待第三部的到了
希望快点更新，好喜欢神荼啊
好看，最喜欢冒险盗墓的了
帅炸了神荼。。。。。啊！
期待 希望快点更新 祝国漫越来越好
第一季和第二季的神荼好帅
第三季快出啊，等的要急疯了
嗯，不是放过了吗？怎么又从头开始更新了。
老子还以为是第三季呢，妈的进来一看这逼样[发怒]
亲们，快更新啊！等着你们嘞
"靠还以为有什么新内容呢,这就是第一季和第二季的整编啊，尼玛，我要新的冒险我要看神荼"
更新阿？这么好看的电视剧
神荼好帅啊
喜欢神荼和丰绅殷德
好看，希望快点更新哦！坐等
这是第三季么？。。。。
多久更新啊
神荼 真是帅死了 大爱神荼 喜欢神荼的点赞
挺搞笑的，不错不错不错不错不错不错
我觉得神荼就是现实版的杨洋，好帅
""
好看。快更新吧。良心好刷
神荼帅帅的小哥哥小姐姐的朋友，，
什么时候更新笫三季？
有点意思，小三爷，闷油瓶，胖子，支持国产
是不错，就是更新速度怎么说呢，算了还是别说了吧，虽然不确定啥时候发的，看了一下最早的评论，二零一五年的
给我点赞的都是帅哥美女
制作这个的人？不在了？
还不更新。。
有的看就不错了，不过神荼真哒好帅啊ԅ(¯﹃¯ԅ)
更新太满了，一礼拜三集都不够看
为毛感觉那么像张起灵
怎么不更新了，都等了好久好久了
到你家减肥的就是让你烦节日快人么可客人
三叔，王胖子，张起灵闷油瓶，无邪，还有一个女的叫阿宁，还有一个大奎！呵呵着就是盗墓笔记吗！
我觉得真的很好看，，好看好看好看好看
很喜欢盗墓类的，能更新快点不
