魁拔不是电影吗？众筹在哪里？我都不知道啊……魁拔绝对国产动漫顶级的
五年了，一直等着更新。等我赚到钱投资吧
魁拔动漫，我记得上次看是四年前了，居然还没更新
除了秦时明月，其实真正第二好看的是中国惊奇先生，魁拔只能算第三
真是尼玛太好看！不用多说。速度出来4啊。我不想等太长时间。
我们众筹支持魁拔！求出第四部，把我顶上去
作为国漫，魁拔觉醒太早所以不被人注意，真的是很悲！
你们不知道写魁拔那个老奶奶去世了吗？
如果海问香知道蛮吉就是魁拔，就好了。
魁拔3在2014年国庆出，期待啊。蛮吉加油！！“
我在等，一直等，等魁拔的到来
我都等几年了。真的几年了。此生不悔入魁拔
我是因为魁拔才进入动漫电影的，现在拔不出来了，我恨啊，我都毕业了呢
好想看魁拔，好难过，主编死了
2018.5.4魁拔还没出第4部！有生之年希望能看到第四部！.不会放弃的！
魁拔不是电影版的么？什么时候变成连续剧？
今年魁拔4希望大家支持
没什么可看的，不断害死为他卖命的人。着实看不下去
我认为魁拔是早年最成功的国漫，没有之一
我的小鱼你熟了，还记得胡椒面吗？昨夜你曾说过，愿炉火永不升起。你的香腮边轻轻滑落的，是酱油还是料酒？刚开锅的时候，不是已经放过了吗？我的嘴边还残留着，你鲜美的汁液。酥嫩的鲜肉里，那一抹淡淡的忧伤……
国漫就是由魁拔起头的，怎么魁拔却不更了
"一代魁拔一代神
代代魁拔杀旧臣"
最爱的动漫，看了几遍
小时候看着好玩 长大了看的是一种情怀咯
太扯了， 别人都知道是魁拔 ，手下居然不知道自己的主人！
快一点出轨把第四季。
支持魁拔，可惜亏本，是宣传，还是营销没做好
画风适合小孩看，剧情适合青年看。票房才不理想吧！
听说最后一部已经开始弄了，好像是网上募捐的资金
好喜欢，看过好多遍了，好希望看到下一部，祈祷祈祷
还是快点出4吧！等了好久了，再这样下去的话就看不完了
经典就是经典，是不可超越的
票房不好，是不是宣传没到位！因为我之前都不知道这个动漫！之后看到这个，已成迷
你的对手是神兽国游尾郡窝窝乡这就是电影剪辑，还没剪全。。。。
我一四年的时候看的，到现在都没更新完。可以跟自己的小孩一起看了。
我等星游记等了六年才出来第二部
我们等待了几千年你却还不出现什么意思
好可惜这么好的动画片没人投资
一步步把自己曾经的手下杀了
最喜欢的动漫之一魁拔，今年为魁拔准备了三张票，魁拔4等你
第四部与2019年7月上映大家慢慢等等吧
"魁拔制片人去世 魁拔武寒青去世
不会再有后续了"
我们都欠魁拔一张电影票！
再不把第四部更新出来我就报警了 害我等了八百多年了
这么好的国产动画电影，竟然没火起来
唯一国漫崛起的动漫，却没运营商能支持，可悲
都看了几年了！反复看了几遍了，还想看，超赞，希望早点更新下部！！
期待魁拔4，从看到魁拔开始已经等了4年，
什么时候出？等的好苦
魁拔得了国际奖你们可以收下，
好期待第四部啊！为什么每次一说奇衡三就会有脉兽啊！
作者死了大家别想更新了，是真的去世了
等她到终点的时候把，手下基本都杀光了
很好的这部动漫，希望继续下去，加油
第四部快点上映吧 好期待啊
怪不得这么久都没更新，无人跟手更新吗。
m的，每一集都不全，什么鬼
听说票房太差不会有第4部了，可是真的好看
我已经期待了4年了，
魁拔4最后的魁拔，6月1日上线，大家尽情期待
什么时候续集呀？希望能快点
等了几年了，我的第四季怎么还不出
啊，第四部吗？等好久了，快出电影吧！
支持魁拔！支持国漫！
魁拔还出吗？这么多年一直没忘。等你到天荒地老。麻吉
魁拔4啥时候出啊等了多少年了
第四部募捐我都花钱了，不出的话，简直就是诈骗！
快来吧，梅零落，魁拔四
魁拨回来吧！想死哥了！
中国动漫电影中魁拔第一
上一年就连载了，青青树发布了，可能今年10月出第四部，最后的魁拔
期待第四部魁拔圆我们的梦
好看个鬼，最难看的片
这么优秀的动漫既然没有人投资...
很好看，一直在等着第四季呢
我一直在追，就等着更新了！特别喜欢
这么好的动漫怎么就没人资助啊？纠结
从前还小，现在已经长大了，出4吧我会把之前的票补回去。
分这么多级也就罢了，这还漏点，蛮吉和那个士兵战斗去哪了？
很期待，都等了你好几年了，有木有和我一样的
几年前开的 还没有更新 失望
魁拔是中国动漫的一个标杆
什么更新4，等了好几年了，希望早点更新
魁拔到底怎么了一帮天神赶尽杀绝
国漫如果支持的人多一点 也不会这么慢 这么好的 不易
我看到网上有人说…作者好像是去世了，希望不是真的
你们想不想出下一集 想的话点个赞
表示魁拔这部动漫不知道等第四部等了多久了
我们都欠魁拔一个票房
真的想看魁拔4，说实话，魁拔真的太好看。
欢迎回来 我亲爱的魁拔
欠你一张电影票，快出魁拔四吧
听说第4部今年能出，好期待啊。
高中都毕业了，，，还没更新出来
4出了我就买票看 123部都好看
看第一集时是11年的时候，感叹时间如水
你的对手是神圣兽国，游尾郡窝窝乡独行族妖侠蛮吉
魁拔出生跟孙悟空惊人的相似啊！莫非是悟空的后代
魁拔4啥时候出来啊，都好几年没更了
很喜欢吗？那是当然的对不对，对。
