支持斗罗大陆拿全国动漫第一的点赞
中国国漫你们要用小说来做的动漫就应该时间长一点，不然的看到三十年都看不完，中间还要停更几个月或者半年以上，唉
我是王者荣耀的国服韩信
感觉是在看魁拔，你们呢
等什么时候国漫一个星期跟新两集且都是二十几分钟的时候，就说明国漫已经成长起来了。现在只能说从事这个行业的人还是太少，加油
我等魁拔等了4年了，魁拔粉顶
能不能说说有什么好看的动漫
主角该不会就是窟龙王吧
现在不敢追国漫了，更新太慢，还有很多只更新到一半就停更的，像墓王之王，斗罗大陆，斗破苍穹，全职法师，全职高手，我怀疑可能更新到老都没完，会不会导演都老了，都死了，所以不更新了？
人之初，性本善。作者不更是坏蛋，你不更，我不赞，看你以后咋么办。
有没有感觉是《西游记》改的？， 影子人曼影术
才发现男主居然和魁拔长得一毛一样😂
很好很好了，虽然我没看过漫画，但我觉得不错👌。形象像长大了的蛮吉。
把他当魁拨看好了，也算了结一个心愿
这这……这，一看主角就是窟龙王
我没有看过幻界王的漫画，但这部动漫个人感觉还是不错的。整体比较搞笑轻松，剧情发展相对适中，主角光环没有那么强大。虽然依旧保持国产动漫更新慢的特点，但相对来说还是值得追的。
就我感觉像魁拔吗？？？？
怎么就一集啊，人家导演都先出两集勾魂。
这和魁拔有什么区别？
大老远来看这个是因为我以为主角像蛮吉
又是几分钟的动画啊难道小说的国漫就没有一部是能有二十几分钟的动画吗
到底谁是女主看了7集也没看出来
这动漫如果是自己投资的，做成这样我不说什么，毕竟是自己的钱，亏了也没什么，而如果是有人投资的话，我就想知道做成这样，对得起投资方吗？以上纯属吐槽一下，无意冒犯，说的不得体的地方，请你们不要见怪。
废材男主又出现了啊！大家快逃，否则会被传染废才病的。
大家喜欢斗罗大陆的点赞
主角好逗。感觉主角逗逼的人给个赞。
"蛮好看
顶我上去，老铁可以不"
男主还是奇遇很多 但是这个男主有点傻 傻到我想打他
我宁愿等三五年看一整部也不想等一个星期看一集
更新太慢，慢也就算了，但是更新的集数太少！还有这个幻界王开界小的歌曲很好听，能出版让我搜索收藏吗？还有这歌曲的名字叫什么？有同感的兄弟们顶我！
哈哈，那女的怎么也没想到弱鸡男是窟龙王宿主。😂😂
这个太好看了，就是一周才一集不好等，可以一周出5集不，这样看的人一定很多。
有小说没，有的回复，对了快更新
老套路的出场，不过挺搞笑的男主，的动作让我想起了龙珠里的吉扭特战队
跟火影忍者一样，鸣人体内的九尾也是前期恐怖的尾兽。
这到底是啥！魔道祖师！全职高手！魁拔！？不过我能追你不！幻界
有些人说这部动画片不好看，我认为你觉的不好看那你就不要看呀，那是制片人辛苦做的，有本事你来做一部动画片呀，你也好意思说别人，真的不知道你们怎么想的，在这我知想说：爱看就看，不看滚蛋。
想你了未来的老婆 想你了想你了想你了想你了想你了想你了想你了 想你了
更新能快点就好啦 肯定会有更多人来看的
挺好看不过太老套路男主身上能力就是被附身了
人生有几个星期啊，你们却一个星期更新一集，斗罗大陆，斗破苍穹等到我老了还没更新完😂
更新的又慢又少同意的点赞
还行时间挺长，继续努力
更新也太慢了吧！能不能快点啊 慢的都有点不想看了。
魁拔貌似要出第4季了吧
我好像看到从前有座灵剑山的女主了
现在不知道为什么，感觉国产动漫都比较不错，
哇咔咔 男主好像长大的蛮吉你们觉得像么
现在更新到7集，20集完结，还有13集也就是13个星期，一星期7天，13个星期就是91天，91天等于2184小时，2184小时等于131040分钟，131040分钟等于7862400秒
终于出来了，等了好久
没事来笑一笑。生气了就笑。没有什么上过不去滴。笑一笑十年少
看一集动漫居然用了一个G
男主还是奇遇很多 但是这个男主有点傻 傻到我想打他
动漫不错能做成这样不错了，别喷了
能不能更新快点啊，哪怕一个星期两集或者一天一集啊！
窟窿王就封印在他体内，跟火影一样
知道为什么更新慢吗？因为这些都是自制的动漫，没有播放在电视台里面的所以才会慢，在加上很少人做的
更新只不过有点太久了
国漫就是喜欢吊人胃口，明明很早就已经有了却喜欢一个星期只更新一集，
主角体内封印着强大的万窟王也太刺激了吧😂主角就是不一样
愿你余生无波澜，敬我余生不悲欢。
我觉得第十集后面的比较热血，你们说是不是，是的话给我点个爱心🧡。
中国动漫就毁在更新和每集的时间上
漫画倒是有，但不建议你们去看，剧情不一样的
