怎么突然感觉，山鬼谣和弋痕夕这对CP非常不错也
2018年看的点个赞
不是吧，假叶没死，而男主失忆了？？？
一周只更新一集太少了吧一周至少也要更新7级啊
越来越喜欢山鬼谣。酷冷。稳重
为啥1部2部直接5部了。我想说3，4部呢
开始没看懂。辗炽还失意了。感觉没接着上一级数啊。
怎么就失忆了呢！
广告时间好长。赞同的点个赞
柏寒不是什么好玩意。可恶
一周至少更新2集，好不容易等到，最爱侠岚。。。。
好喜欢辰月，又漂亮，腿又细，同意点赞
有点讨厌千钧了，越来越烦人了
心疼山鬼谣
游不动喜欢碧婷，碧婷喜欢千钧，千钧喜欢辰月，辰月喜欢辗迟
好心疼山鬼谣，大家都不相信他
不知道为什么，我有点讨厌辰月
弋痕夕居然还记得自己的发型，哈哈
觉得辗迟帅的点赞
山鬼瑶好帅啊啊啊啊啊
有没有人喜欢山鬼摇的
第三季第四季呢，被吃了嘛？
你们有困难 七天更三级 行吗？ 同意的点我
越看千均越贱！tm人家山鬼谣好心好意帮忙，你还百般阻挠
导演，打架胸不会抖，这不符合常理，导演，我知道你在看。
被谣叔圈粉了。
又来跨年了。Ring
看第五季时，是不是感觉千钧很贱
挺好看的，，，，，，
山鬼谣真惨。他本应该能有更好的生活。悲伤悲伤
我都上大学了，还在看
陌名就是辗迟，所以别激动
假叶才是活到最后的人，比那个汰强多了
三四季怎么没有，没有接着，看不出个由来，不安逸
山鬼谣害了可怜的女孩
辗迟她姐姐是穹奇？不是吧
我最好山鬼谣，还有天净沙
哎，看完的感慨！就是男主求用没有，最牛逼的就是，山鬼瑶！
导演TM有病吧，接不上第四季
好久没有看见了。Ring
山鬼瑶做事都是有头有尾的 还不错
中国动漫崛起，顶起，为中国而崛起走起
第四季和第五季怎么链接不上。是不是少了几集
看了第四季和第五季怎么不一样？
爱山鬼遥的顶我
假叶，你是认真的想我谣叔了吗？每晚夜深人静时候想起来。
辰月，长大的时候可不是一般的好看
记得小时候特别喜欢看侠岚，之后电视没有播了，但一直记得那首歌。
个人觉得辰月配不上辗迟
我只是想说3-4呢？被吃了？
百寒是个王八蛋
妈的20分钟的中间还广告草
第七季啥时候出啊我的天啊，我不喜欢画江湖的侠岚啊
感觉断片了，是不是少了几集
好看好看好看好看好看好看
第三季四季为什么没有？
大爱瑶叔简单粗暴又不失温柔
山鬼谣又黑化了？。。
好看太好看了，你们觉得呢？
佩服山鬼谣，感觉他智商最高。
是画江湖的粉丝的，把我顶上去。
感觉千钧总是跟辗迟作对，是个老古板
辗迟喜欢辰月，辰月喜欢辗迟，都不说，干着急啊
假夜其实也不是那么坏 有时还有那么一点可爱
乱七八糟 从第一集追到第三季就乱了什么鬼
小年糕好萌
山鬼谣牛逼，，，，，
我讨厌辰月，经常让其他人陷入…………
画江湖之侠岚展迟没现在帅
第三季第四季在哪看？
晨月不能穿的性感一点吗
最喜欢山鬼谣，有勇有谋，忍辱负重，希望他有个幸福完美的结局
辗迟是穷奇的儿子，所以有零力
老师与学生心灵的交流！
感觉游不动是最聪明的
为什么没3嘞52级看过了就找不到了
我都看蒙了。和第四季完全对不上。
从第四季到第五季都接不上啊！怎么会这样，不知道怎么搞的，e有些小失望
穷奇为什么把零力分给展迟呢
有谁能告诉我到底发生了什么吗第四季跟第五季中间到底隔了什么片段
真心觉得山鬼遥好牛逼
这 汰是开挂了吧， 交手都是送人头， 看的揪心
超级喜欢这个动画片，小的时候就看。现在上初中了，我还回来看！
好喜欢游不动哈哈 最喜欢他
觉得山鬼谣帅多按1，觉得辗迟帅的按2，觉得千钧帅的按3
喜欢山鬼遥的顶我
卡就地解决啊经济学家是吗金卡妇科就发摩擦
笫三笫四季没有看了￣
我来证明还有人看，，
辗迟可能是三魂之一？
千钧恶心恶心恶心恶心
第三季和第四季哪里去了？好坑
突然喜欢游不动，这朋友够义气
真正间谍瑶叔，最佩服他，被圈粉了
额(⊙o⊙)…我感觉柏寒的侠岚术好像是关门开门
喜欢 辗迟 最喜欢辗迟
人生得一游不动如此朋友，一生无憾
哎，刚开始觉得千均还好，没想到变成这样了，有点讨厌他了
我估计要看完第五季全集我们都老了，
辰月长大的时候比任何人都要美
