一年不更新，更新等十年！再也不看国漫了！
妈妈咪呀，这张天启帅死了，这皮肤，小鲜肉啊😊
感觉好多国漫都是10多集没头没尾的，所以说国漫就是不行。唉
这个就不厚道了，我又没学过英文，你弄这么多英文我哪看得懂
超喜欢盗墓类型的国漫，跟勇者大冒险差不多，哈哈，必追！
怎么觉得跟老九门差不多呢
片子还好，就是女的做的胸那么大，衣服穿的那么少，煞风景，不走心了
一人之下真心不错，你们可以去看看
没有一个动漫好好更新的…一季一季的…
你看现在，把一帮挖坟的说的跟主宰一切的神一样
完成任务，求点五个赞。
穿着齐比小短裙进沙漠，脑子瓦特了吧？就算是动漫也不带这么玩的吧
这说的张家，指的是张启山的后代吗？！😂😂
国漫都是开头火，结尾在你有生之年不一定能看到
一顿饭吃五千，搞动漫的都是有钱人。
这个火了是不是也要被翻拍。搞不懂
这女的有点像王者荣耀里的阿珂呢
直接弃剧了吧，没诚信的动漫，爱你嘛恒心不更新吧，直接不看了。
国漫，难看就算了，还要更新那么久，每集时间有短，彻底服了。
这个毁在男主，看到男主我就想弃剧，特地进来留言
不懂英文的老司机点个赞你懂的……
剧情透露：楼兰女王醒了，只为见男主。顺带一句半年之内不会出第二季。
别等了，导演组在东莞嫖娼被抓，
男主让我觉得有点心烦
评论都是吐槽我还要不要看呢……
这是国漫 不是动画片 难得国漫走三D风格 顶
我去，盗墓笔记
山大王我爱你我爱你我爱你😍😍😍
朋友们，你们是不是把秦时明月，画江湖，武庚纪，锦衣卫，天行九歌，啦啦啦德玛西亚，等等画质还算可以的国漫看完了，等不上跟新没啥看的就来看这个了，然后首先先看评论区怎么说画质吧。说得对不对？这个画质没得说，也挺好。所以大家支持一下给我和视频点赞咯
怎么还没更，你马鼻的
又多了一部盗墓剧等待真人版
这动漫真的不错！支持下，期待下一季！
好看的国产动漫都有哪些啊？介绍一下吧，很长很长时间没看动漫了
国漫从来没让我失望过，开头结尾比正片时间长
一个大清皇子，用武士刀，还觉得自己酷酷哒，你妈咧隔壁，靠恁姨
流水的盗墓 不变的胖子
不想骂人了，都几个月还不出2，出了2一个星期一集，有意思没，
天启他爹吧 天启他爹吧。。。。。。。？
我花了一小时，从头看到结尾。客观的评价。说真的，这剧情放在这个时代，除了第一集以外，剩余的，还不如咱们小时候读过的《小蝌蚪找妈妈》精彩！
找亮点
第二季出不出了 给句话阿 就让这帮人这么等着啊！你们太不负责了！
好想把国清会那个女人的上衣垮下来看那饱满的胸部甩一甩的感觉
嗯。。。开头是来搞笑的？？？拼音！！！
中国的动漫就这样拍着拍着就没了
国产就是国产，更个新都比上天还难
鬼谷子不是只有俩传人吗怎么还广受门徒了
垃圾垃圾垃圾…………………………此处十万子～垃圾
男主的双眼皮割得真丑。最丑
才更到18级，我都看到21级了
人物模型也是老外的，没有中国人的模型
国产就是国产，更个新都比上天还难
国漫真是垃圾，追了多少部了，有头没尾，更新还特别慢
问一下这个恐怖吗？我看到首图大晚上没敢看，怕吓死自己
好看么？？
中国动画都他妈这个死样.片头片尾一大半.再来个上集回顾下集预告.
三月二十七号依然没有更新，签到！
张天启一点本事都没有。
中国动漫正在发展，支持加油吧
说实话近几年像不良人和这类国产动漫越做越好！真心不错！加油！
一百分画面，进步了。
好看，国漫人物比小日的好看多了，国漫雄起！
神经病电视，自己非说死也要闯墓。妈的一困住就说要回去
主角又是猪队友，成事不足败事有余。
垃圾 这人物看着都想吐 看了这么多动漫这部最恶心
穿裙子 高跟鞋在沙漠中行走，设计者真有才！
支持地灵曲，做好自己，会有越来越多的人喜欢你的
没女主吗？还是还没出现？
为什么有些人一直要以逼真来定义动画片～你还不如去看电视剧来的更真
好看……不喜欢看的可以不看啊，又爱看，又要说，真是贱的可以
男主角太傻太天真十足的一个二愣子不喜欢
20分钟一集，前面3分钟，后面5分钟，能看的就12分钟，这就是国漫
点穴太夸张，不朴实，不太好看！！！
鬼谷子传人我庄叔
秋水用的洗发水是飘柔
我去国产的就是慢 能不能快点 一点都不负责任 能对的起光大人民么
女主快现身啊，不然就不好看了
小四眼入伙了
这男主角是继 少年锦衣卫 来最垃圾的主角，要智力没智力要武力没武力
这猪脚在里面的存在的意义是什么，有卵用？
画面感很好啊，支持国产。
等我死后叫我后代把这部动漫在我坟前放给我看
开头警告为什么是拼音，叫我拼了老半天才拼出来[鄙视][鄙视][鄙视]
尼玛，这里面的头发好顺，好飘，
这个主角设计的太幼稚，比武庚记差远了
好帅
啥时候更新第二部？
更新时间都没写 你们真有良心
赞！国漫现在越来越好看了，制作的真好！
好久出第二季额？？？
掐头去尾的 我看尼玛个蛋蛋啊 真尼玛恶心。我呸。
一说鬼谷子我就要想到农药的形象
此乃大片之制作，受万人之追捧，只望及时出文
期待第二季，希望第二季快点出。在此为你点赞。
这是我见过最没创意的动漫
第二季 什么时候更新。知道回答一下。谢谢！
头发 看起 很难看 不像一个真正的动漫
2018.4.4报到，还没更新
垃圾中的垃圾，太垃圾了，没眼看，艹艹艹
每个关于盗墓系列的片里都有一个胖子
服了异次元杀阵都出来了
