就tm合起来的！！！！！就是加长版！！！！！
卧槽，我也是喜欢彦！！！！她才是我的理想型！女神啊！！！！！！！
莫甘娜:作为曾经的天启王 神圣凯莎的妹妹 她的左翼护卫 曾经的我是无忧无虑的 我放弃了权利 进入了超神学院 在超神学院 作为来自天使星云的天使 我不能丢姐姐的脸 在学院里 有一个男孩子 他的名字叫卡尔 我们一起研究 那个时候的生活真的无忧无虑 后来我发明了一种时空基因 我和姐姐提到过时空基因 姐姐认为 时空基因应该平均分配给天使 但我始终认为 分配的力量不如集中的力量 时空基因 我必生所爱 再后来 我和卡尔发现了足以毁灭神河宇宙的存在—终极恐惧 我想和大家分享这一成果 可是 事实并非如此 我和卡尔都被赶出了超神学院 学院的那帮老顽固始终认为我和卡尔的终极恐惧论是谬论 神圣凯莎也就是我的姐姐也认为我的学术论威胁到她的正义秩序 我和她谈过 但是 她始终认为我学术不存在的 是谬论 从此 我和她翻脸 从姐妹间变成了敌人 我们做了几百年的姐妹 但却打了几万年的仗 她把我驱逐出天使星云 让我自生自灭 但是 我凉冰就算不做天使 也要让凯莎过不上好日子 我要摧毁她的正义秩序 建立一个全新的自由国度 从这以后 我堕落了自己的信仰 我建立了恶魔的国度 而我凉冰 从现在起 成了这片国度中唯一的女王
等了好久！！这部终于不搞基了！！开始百合了！
我是来看女王和蔷薇的，希望女王早日把蔷薇拿下
该怎么看？这动画片儿特特么得出个攻略啊！大爷的
没有人觉得莫甘娜也挺漂亮的吗
我等一集我容易吗，没叫你们一天更新一集就不错了
我想问一下蔷薇是不是卡特琳娜，葛小伦是不是盖伦
期待女神彦的神圣归来
个人比较喜欢死神这个人，为了探索而纯在。为未知而痴迷。
最支持的还是蔷薇，真的希望葛小伦和蔷薇在一起
迷上动漫了，追了好几部，然而没一部更新完的，忧伤啊
信仰阿托
完全乱的要命，我都不知道该看哪个了，找不到开头结尾
凉冰就一奥斯卡逗比。。。。。
什么时候才出第四季，天使艳才能和银河之力在一起
强烈建议印象众筹！省的那些智障穷屌丝没付出过一分钱还整天哔哔
我怎么感觉超神第三季后连不起来啊
导演组辛苦了，现在都有投资了能更新快点吗？为了超神学院才开的会员！支持你们加油
我觉得莫甘娜还不错。
在第一部时候觉得镜头小伦看蔷薇美女的屁股很圆润，我们也觉得画的很圆润屁股穿牛仔裤。小蛮腰。在思考咋那个男主不上去被踹一脚刚哈抱住蔷薇的圆润屁股，总比想摸个手还是搂着都那么难。
什么乱七八糟的东西，东一下西一下的，没头没尾的
中国唯一的动漫经典，就是更新慢，原因可能很多，挺制作商！
我喜欢蔷薇，我行我素。
有谁知道，雄兵连，及黑甲，超神学院应该怎样看，顺序是什么
其实我比较喜欢凉冰！！！！！
莫甘娜戏一直很足啊 典型的戏精啊
一年多了，还不更新啊！
超神还是觉得黑甲有味道。
无论动漫和这些都有点编不下去的感觉，断断续续的，更新就更加慢了。结局也肯定就是到时候随机瞎扯了。
这bgm口哨吹得不错！！
片尾曲是那个音乐，好听，伤感中不乏进取
蔷薇和莫甘娜的画风一样。都认不出啊
超级喜欢天使：彦。漂亮
今年是看不上了更新的了，去看漫画吧
我都脱了裤子了！！导演你就给我看这个？？？！！！！！！！！！
我只想知道还更新吗，几年了这才更几集阿
什么时候更新 我都等了半个月了
什么意思？加长版？新的吗
女王若爱我，就不是我的女王了
莫甘娜的角色真有意思，很有魅力。
"主编17年三月评论更新
一年了该更新了！"
挺支持国漫的，但是能不能更新快点啊，等得人难受
漂亮啊
还不更新 我孩子都108岁了
雄兵连系列是这个的大概，这些应该加长版
加油，v导，加油，虚拟人，加油，你们很棒
真他妈无聊......
这么多版本都看不懂了
为什么还不更新，难道不出了？
玛的更新了几年了还没好
非常好看，真的真的很好看
hi哈哈哈哈哈哈哈
"主编第二部评论一年了
该更新了"
看到‘’的诶你摸摸
我们的后代有福了 可以看到超神学院的大结局了
都看过了，没新的了么，期待
爱看必看
黑甲加长版根本就没全，不靠谱，最后2集漏了，还是直接看1至10的靠谱
快更新啊，，，，，，，还有没了？？？
只有我感觉莫甘娜变成人类之后长得和雷娜一样吗
到底还有没有啊 直接来个大结局可好
阿托，超级喜欢。女王若爱我，便不是我的女王。
我就不明白了，蛮王就真的那么废？
我更想看猴哥 可惜猴哥戏份太少了
女王所爱，随我所爱。
我真的很想了解宇宙，就算舍去我的所有，包括生命。
一共多少集？给个回答
我只想知道封面在哪看
蔷薇是女神莫甘娜的
我们的生活：你
这冻饭炒来炒去。。。。。
人之魂，国之心，让人肃然起敬。国漫崛起！
"什么时候出第四部
什么时候出第四部我很想看"
超喜欢莫甘娜，不要问为什么吗？
我就好奇凯莎到底怎么死的？？？
封面内容在哪看。。。
卧槽，莫甘娜人装好性感
永远支持超神学院，继续加油
谁有V借来看看好吗[微笑]
这个虽然是瞎编的，挺好好看的。就是更新太慢
这更新的也太乱了，乱七八糟的
敢命令我的女王不想活了
最美是不是凉冰
爱上莫甘娜了，啊啊啊
雄兵连之后就黑甲嘛？怎么连不上啊，谁能帮帮我，
看久了，感觉很难爱上人类女人了。不管是女魔鬼女天使还是女外星人，都是清一色儿的蜂腰翘臀大长腿，清纯与性感并存，妖娆与妩媚起飞。
喜欢彦，彦最好看。。。。。
要是这个黑甲能给英雄联盟做皮肤就好了！真漂亮
都尼玛什么顺序？头都乱了
莫甘娜好有趣。就是老了点
这部电视，导演最自豪的就是女主的屁股设计的太好了。动不动就拍屁股。
我要看封面上的
更新太慢了。太无聊了。
沉迷于虐女王 求女王扑倒
看得好乱啊，那我大哥指点一下，一共有几季啊？
国漫现在的水平，按现在的发展技术以经很快了。支持他们
个人喜欢莫甘娜同意点赞
我希望导演你可以更新快一点
