哇咔咔总算回归了，终于等到狗哥和白菜啦
"良心国漫，第二季可是周更呐！
为玄机打call！为武庚纪打call！"
如果中国人和印度人打架，我会帮中国人，因为我是中国人，要是印度人和美国人打架我会帮印度人，因为都是亚洲人，要是美国人和外星人打架我会帮美国人，因为都是地球人，要是外星人和日本人打架我会帮外星人，因为都是人。
我最喜欢的武庚纪，大家多刷几次让国产动画火起来
动画《武庚纪》第二季热血回归！纣王不死之身，武庚逆袭成长，看人、神、冥几方势力如何展开对抗！ 另企鹅娘带来新年福利活动： 评论区留言点赞前10名，送《武庚纪》水木芳华笔记本1本（款式随机），快呼朋唤友来点赞吧！~ 1月5日在此公布幸运儿
求一个星期更新2级，兄弟们把我赞上去让制片人看到。！
第二季迟迟归来了，我可怜的王死了都不能入土为安，还要遭罪
我已经90岁了，在有生之年能看玩吗？
孔雀怀的是什么胎啊，看了这么多集，好几年过去了还是生不下来？？
"我现在存款将近有六千万，名下还有10套房，5辆车，无贷款压力，现在还经营着一家规模中等的工厂，年纯利润大概有7、8百万。
我就想问一下你们，根据我现在的情况，你们觉得我吹牛的毛病还有治吗？。我现在存款将近有六千万，名下还有10套房，5辆车，无贷款压力，现在还经营着一家规模中等的工厂，年纯利润大概有7、8百万。
我就想问一下你们，根据我现在的情况，你们觉得我吹牛的毛病还有治吗？。"
我觉得整部作品当中最精彩的是这段，当时武庚和十刑一起上去杀盘古，十刑对武庚说：“武庚，我们一起上！”然后他们联手杀死了盘古，十刑对武庚说：武庚，真正的战斗！现在才刚刚开始！十刑之后化成了灰烬，武庚发现周围已经被强大的无色界神力覆盖，他知道天终将回归！
我最不喜欢武庚，十刑我也不是太喜欢，我比较喜欢子羽，十刑就跟开挂了一样，武庚那跟充钱了一样而且充了好多好多的那种，只有子羽是靠自己慢慢修行练出来的
十刑那么喜欢强大的对手，为啥不是干 天 呢？
你大爷的，要么一次性更新完了再拿出来，时间又短！跟诈骗有什么区别！同志们顶我上去！让他们看看，哪怕多点时间也行！！
导演被我绑架了 为什么我会绑架导演只有他说要12月1号才更新，我就绑架了他 导演现在在我手上 点一个赞我喂导演吃一口屎 吃到他提前更新为止。😄
像这种一集比一集短的我们集体举报他，举报他恶意营销。把握顶上去让大家都看见，人多力量大，拜托了各位！
十刑真的是心月葵亲生的？儿子都死了，还有心情偷人。😁
阿岚喜欢上了武庚！？？
看过漫画的，有没有人告诉我，十刑大神现在恢复善良了吗
子羽兄 你在鬼城五年都是谁给你做饭的？小刑哥？
我第一部看到大王死了就没看了！实在不喜欢新猪脚！看看第二部怎样。
武庚纪原名封神纪！！！去搜漫画已完结！！！我是雷锋求赞！！！
什么狗屎 期待一个星期就是看这越缩越短 不追了 。。
阿兰和五更，白菜和追日，感觉好配的有木有！
希望白菜和追日在一起！在一起！在一起！重要的事情说三遍！
