18的我来看这个。别让我同学知道我来过这
这很好的演绎了这是美猴王不是西游记
现在中国都不怎么出这样子的动画片了。
童年真好的
那时候我还在上小学，现在已经大一了，回忆，童年的最爱
猴哥猴哥你真太难的五行大山压不死你。
感觉这个动画片好看的，在下面点赞。
这一部很好看小时候没有看完长大的时候看看
童年的记忆[愉快][愉快][愉快][愉快][爱心][爱心][爱心]
小时候看到过，好像又回到了小时候，好怀念
充满了童年的记忆，真的挺好看的！
《美猴王》讲述了在花果山上，猴群正在紧张的和混世魔王战斗。一块在花果山上蕴育多年的仙石突然崩裂，从里面诞生出一只石猴来。在老猴王的循循善诱下，石猴由被猴群排挤直至拥护为猴王。为了更好的保护花果山，在大家的劝解下，小石猴决定出海学艺。石猴来到了灵台方寸山向菩..
8年前看过的经典，小学看过的来回味
据我们已经八年了！
小时候很喜欢看，不过很遗憾没有看完
有味道的童趣，好喜欢呵呵哈哈哈
特别喜欢开头曲！！！！
给绘画美猴王的人一千个赞
美国有复仇者联盟 日本有奥特曼 中国有奇 天大圣
美
童年比任何时代者是都好，大人永远不懂的。
小时候一直都在追，楞是没追完，这次一定追完。
小时候最喜欢看的动画片
真的是童年啊，我找了很久了
我小时候看过的，好怀念，终于找到了。
瓯柑
有些片段挺催泪 经典动画
刚点开，不知道好看不
这个是真的，有味道！
这种片子又一次颠倒了我的世界观，吴承恩的西游记被改的越来越垃圾了。
好看。。。。。。。。。。。。。
哎呀，这个好看的啊！好怀念好怀念。我怀念小时候的。
好
2018年1月26日凌晨4点40分到此一游
回忆感觉真好！想起小时候的我
小时候看过一次，都不记得了，从看[微笑]
最喜欢里面的玉兔和人参娃娃
好久没看过了，让人怀念童年。
童年啊，来回忆下
"晒太阳挺多的
地产疙瘩汤"
一及棒
太经典了，儿时经典回忆
这是以前最巅峰的一部动画片
其实我觉得玉兔的耳朵很漂亮。只不过是他没有耳朵就有一点丑
小时候看的现在又看好怀念啊
玉兔长得太漂亮了，简直美哭我。
好看。有七年没看了。
我看了，这是一部徦假假版
回忆，好多年没看了。
美猴王是帅哥啊
""
老大王是六小龄童配音
七八年前看过的，现在又想看一遍。
最后的火眼金睛有这么厉害吗！恐怕是骗人的吧！
觉得六耳坏的人请点赞
小时候的回忆了，现在逗20岁了，来回顾
超级无聊 没事来看一下这个动画片 感觉还挺不错的
超喜欢片头曲，好听。。。
你tmd，这是我空间的太他妈，死。
好看，我想到了我的童年，难以忘记
这个我看到大的，好怀念小时候
他有金箍棒力气好大真厉害
我的故事，我的童年都是因这部电影
这个电视很好看，我非常喜欢玉兔和悟空
Nnnbbnnhbbhyyohjjvhhghggbbbbbbhnjhgffgfftffggggghhjkjj(vfrad3(l
以前一直没有看完过h h
反对我估分忽悠人而废
童年啊 小时候记得第一个动画片就这个
hjkkkmjiokl
小石猴好力害呀。
回忆呀
不错
童年呀！8年过去
哎！好没意思，还是小时候好，
世纪花园
第三遍了，，，，，，，
老白鹿和混世魔王最后死了没有？
人参果和玉兔很可爱。
今天天大地大古古怪怪放大发个刚才楚楚动人
小石猴美猴王就是他，小石猴厉害
我是来听主题曲的 真怀念
有点可怜孙悟空！！！！
歌叫什么我都知不道
 妈妈快看看妈妈们。
太死了看仔细
哈哈哈哈
不好看是咩？
后悔莫及的话就算你是个人就业服务质量管理
我超级喜欢大圣，大圣超帅
小石猴
好看…
高露洁牙膏，广告做的真恶心，有血…：没血
如果光头强出现在这里那光头强岂不是赚大了
还行，小时候看的现在回味一下
我小时候的经典，美猴王
山地车如此大学生活会越来越少的钱也许会不会有关负责人说你好啊呀？
这是我童年的回忆啊！
应该说是孙猴子抢了六耳的王位
反应非常富有和丰富的
教之前的来说，画面制作方面很美
