郭德纲是给老百姓出气的 赵本山是拿老百姓撒气的 能一样吗
因为郭德纲，中国的相声才没有消失！
每次想听着老郭的相声入睡，结果都在被窝里笑的更睡不着了
开森开森……这么多郭德纲的相声，够我听一阵子了！电视剧已看腻，听听相声乐一乐
心情不好的时候，听听看看挺好。
于谦厉害了，哈哈哈。瞎尼玛掺和什么。哈哈哈
德云社的相声
还是喜欢郭老师的相声，听着睡觉很奈斯
天啊2013年有的 我今天才发现 我太失败了.
烦烦烦嘚瑟的丰富的
挺好的 每天睡觉当催眠曲了
现在感觉不听他的相声都睡不着了手机下载的都是他的相声^_^
和刘宝瑞真没法比，不过隔现在还算可以了，以为没有比他好的了
动画的有意思，，，，，，，
概括啊
很喜欢郭老师相声。喜欢星爷的电影。本山大爷的小品
郭老师说的真好，不管别人怎么黑你都会默默地支持你
NPC搜啊破壁搜啊咯APP伯婆啊哈哈你拿伞搜啊撒泼热啊热阿婆阿达里面的世界我不懂啊
超级钢丝路过。郭大爷，见我说是观众最熟悉的面孔
动漫郭德纲咋这么丑呢[尴尬][尴尬][尴尬]
12年的时候用电脑下载的都是郭德纲的相声，最近几年没怎么听了。刚发现有动画版再来温习一下。
好废，以后都不看了，建议大家不要看。真的
看完后很是澎湃
哈哈哈，还好还好。我觉得就是语速慢
郭德纲是给我们带来快乐，而不像其他明星给我们带来悲伤
听了，都睡不着觉。（刚准备睡）
郭德纲的相声百听不厌，听得快乐
为啥就是没有丑娘娘呢
那胖子有点像王健林，
多多努力，发扬光大，
你~你在（哦哦哦：，磨……）
饿不饿村儿呢啊搜啊热啊热啊发了差额撒泼进车南北大可爱发热阿萨何不
真心觉得唐国强恶心，居然都做起游戏的广告了。
字幕错了 是撒豆成兵不是撒豆成冰后面的动画也错了
我TM直接来个订阅。
郭德纲的德云社曾经撑起了相声界的半壁江山
好全啊 是不是就少个丑娘娘？
我也是听着睡觉了
挺喜欢这北京腔调
纲丝
这个版本的老郭眼神好猥琐啊[偷笑]
郭德纲的相声什么有意思 反应社会 晚上睡觉听越听越有精神啊
天天晚上都听都老郭的相声入眠[强]
能聊天啊
喜欢这首主题歌曲。
我也是醉了
晚上睡觉必听，不然失眠。
挺不错的
相声的最高境界，就是大家喜欢听，不分什么形式，观众喜欢最重要
好看又好看又好看又好看又好看又好看
老郭啊
郭德纲的相声什么有意思 反应社会 晚上睡觉听越听越有精神啊
说的很好，赞一个
真的不喜欢郭德纲相声。
一直喜欢老郭，支持。
可以demo空军建军节啊你在干嘛呀
超喜欢德云社
真心的可以 消遣一下
实数不错
赞
哈哈哈哈哈哈哈哈哈哈
听老郭相声睡觉 5年历史了
捧郭德纲的赞我
难看死了 什么都说到底 傻叉
郭德刚也属于人类吗
""
快点给我打电话！我在我家！我等你！你晚上过来！好不好！我想你了
发一条2018的评论
没有郭德纲的睡不着的点我
不错
有人
看郭德纲太闷了.永远跟不上赵本山.
没有他的相声现在难以入睡，，
每天都得听着老郭的相声才能睡
有漫画的相声美美哒，希望多多加载
浪44
帅的人都点赞了，丑的人还在犹豫不决
你大爷，片头那么长
进来看看能不能逗我笑？！
老铁稳。。。。。。。。。
看着好开心哈哈哈哈哈
不要老顶郭老师，可以说支持么，老顶顶坏了，他不是苍老师
喜欢郭德纲于谦！对郭德纲是真爱！
什么玩意儿
他不是欢乐喜剧人的主持人吗？
一个艺人，不值得那么捧，还不如去给我们国家的科学家一点点鼓励呢！
4
剧情里声音有点小，开头结束的音乐太大。
一直没看，听着很逗，突然一看这姜昆画的真像
郭德纲相声非常棒，接地气生活经验非常丰富
"郭德纲最棒了！
同意的点赞哦"
一副小人嘴脸，满嘴喷粪，贬低别人抬高自己
郭⃓德⃓纲⃓是⃓个⃓人⃓才⃓
超喜欢郭大爷 天天听着他和谦哥的相声入眠 赞个
动画的样子像王健林，不像郭大爷！
郭哥，特喜欢您的相声，永远挺您，许迎不许输
一天不听老郭的相声就笑不起来。
他们说唱他们赚钱而已。我们想听就听。不用花钱就好！！[偷笑][偷笑]
"马蹄声 郭德纲 郭德纲 郭德纲 郭德纲 于谦
"
把我桃儿画得太丑了啊啊啊啊啊
