国漫更新就是太慢了，支持的给我顶上去
马良画了10个太阳，让后羿去射，不小心射破了天，让女娲去补，然后还有一个太阳，夸父去追，累死了。化了2座山挡在愚公家门。愚公开始移山。把土石运到海里，水位上升，淹死了精卫，精卫开始填海，然后有了洪水，大禹去治水了，太大了，淹死了马良
朱允炆没死在我们四川达州万源竹欲镇包台山出家当了和尚
[坏笑]很希望女主和钟鸣在一起，我觉得他们俩比较配耶
第三季什么时候更新，，，很期待
是从小说演来的吗？看了四集完全不懂，主角呢？
哎哎……又得等了，一年看一季，一季不记得一季。
所谓“注定”要么是马后炮、要么是压制的手段。呵呵
喜欢女主，同意点个赞啊，看看多少同道中人
有没有个日期，2018都三月份了，难道要12月
不知道什么时候才能看到第三季
这要多少年后出下一章
就喜欢这种玄幻的动漫而且里面的人又好看，N个赞
又来看了一次，还不出第三季，哎，求出啊
怎么还不出第三季到底还要等多久啊
有没有人和我一样的想法？希望女主和魔教那大师兄在一起？
人之初，性本善，作者大大是坏蛋，你不更，我不赞，看你以后怎么办。
期待第三季，等的着急
第三季为啥还没出？等到花儿都谢了。。。
管他魔道 正道 法术学了是自己的 想做好事就做 不想做 正道也没用
太久了吧有点过分了，
这个带面具的人是不是尸尊邓辰的师弟血煞子呢？
该主角上场了！是时候重现江湖了？
画风好好哇，受不了了
什么时候出第三季啊？这都4月了，我真的要发狂了！
国漫虽然强了，但想看完要带着孙子一起看了
第三季，威武，威武，威武，威武
什么时候出第三部啊。
觉得里面女的漂亮的就赞\(≧▽≦)/我
该说是老套还是经典，又是掉悬崖没摔死还遇，，，呵呵
第三季什么时候更新，期待期待期待，重要事情说三遍
这里面的妹子太漂亮，做为一女人都有点仰慕了
啥时候更新第三季啊？好看诶
感觉钟鸣对霜凝是真心的
一定要挺住啊！这么好的动漫，应该坚持做下去，一定会火的！
2018都要过了，快出吧。。。。。2088出的话我已不在了
为什么不出3季了？要封杀了？
就这样完了，好没意思啊，都没看到复仇呢
我只等着你们更新！希望有生之年还能看到第三季，
快出三季啊！！！急死了
导演叔叔阿姨，求你们快出第三季，其实你们也挺辛苦的，谢谢你们
我就想问句第三部什么时候出
哇了个女主眼睛好好看呐。我很喜欢这个女主喜欢的点个赞
每次女主一有事都是钟鸣出来帮忙，，，
第三季就等到19年吧，一年一季，跟斗破苍穹一个尿性
全程扑克脸…没有人物表情…
人物好丑啊，毕竟看脸的时代。走了，继续追一人之下
都等了半年了还不出第三季
第三季敢不敢快点出来
其实挺喜欢钟鸣的，而且他也不坏o
创作团队解散了吗？这么久不更新
我咋感觉 被附身士兵的那个人就是 血煞子
第一季和笫二季都差不多
感觉主角好弱，凡人刚修炼比她强
霜凝和钟鸣在一起就好了
觉得里面女的漂亮的就赞\(≧▽≦)/我
说实话，比有些电视剧的5毛特效好多了，真心点赞
第三季啥时候出
喜欢凌峦，希望戏份再多些，好可爱
钟鸣虽然是魔道，但其实并不坏
。挺精彩的第三部什么时候出呢
国内的动漫就这样，一个星期一级，还tm没有结尾，三季，呵呵
我就看好太乙仙魔录，武庚纪。天行九歌
支持国产动漫，国产动漫越来越好了
突然有点放不下了，快点更新第三季吧，要不然我估计得看第二遍了
哎哟喂，你说2018再见，这都过了大半年了，何时再见啊！
第三季什么时候上映啊
第三季赶紧啊
作者，这么火的动漫，若是不出第三季，那就非常可惜喽
为什么要加入日本的东西！放大招之前的结印，看着倒胃口
第三部什么时候出啊，都等的我手机都长毛了
钟鸣啊钟鸣，终是奈何明月照沟渠
有人吗，有的话就赞一下。
我想说 的是 在这个 第二季 里面前面十六集全是第一 部里 面 的
这个6了 评论还给删了
等第二季的时候忘记了第一季
什么时候出第三季啊？
第三季什么时候出？等太久了
不多好看，能不能快点更新？慢死了。
期待你的第三季
此生若能得一如小如般女子，则无憾。
不是说4月出第三季吗
求第三季，什么时候更啊？
之前看视频知道全职高手动漫一分钟需要20万成本，你觉得这片成本多少。
导演能不能更新快点，已经两年了怎么还是第二季我可没那个耐心
我觉得霜凝很漂亮，你们觉得呢
这脸不好分辨啊，如果他们一起洗澡就全是小皇帝了。导演咋办。。。
第三季什么时候更啊！！崩溃了~~~~
第三季呢？什么时候出啊
什么时候出第三部啊！这都四月了还不出啊！
为什么还不出第三部？
等了一年了！还没出第三季！是不是公司倒闭了
下一季呢，怎么没有？
不错，修仙时代才好看，游走世界，穿越虚空。
现在不打算更新了吗[疯了][疯了]
第三季什么时候才能出呢？真慢呀
一年啦 看来我这辈子等不到你结局
期待第三季
自从看了斗罗大陆的画质，这个真的就太烂了
哈哈哈哈好看不错加油
