喜欢斗罗大陆，我是斗罗大陆忠实粉，看几遍也看不够!
谁同意一天更新一集？
点一下右下方的大拇指会变红哟！
谁同意一天更新一集？
"其实王东，是个女生，他的父母是小舞和唐三
他就是他俩的女儿"
这个老师霸气吗？谁觉得霸气点个赞？
应该一周两集，大家说是不是
问一下，霍雨浩精神之海里的，那个老头子是谁啊，或者是什么来历？
觉得霍雨浩能重振唐门的给个赞！！
第二季完全是漫画！！不好看，比自己理想中差远！！
没想到王东是女的。
"有没有27集？我好想看啊，能不能更新快
点。"
看看霍雨浩的十万年魂环多么帅气
霍雨浩有三个武魂：1个是灵犀、2冰帝、3亡灵法师
诉我直言，不愧是动态漫画，果然只是会动的漫画。
真好听，顶上起
觉得霍雨浩是故意的人，帮忙点个赞。
我们年费集体说一下 一星期至少也得2到4集左右吧同意赞一个顶上去
王冬是女还是男？❓❓
你们觉得是斗罗大陆好看，还是斗罗大陆2的好看？
徐三石的武魂在全大陆魂师斗魂大赛中变成了神兽血脉武魂——玄武
好看!漫画我也喜欢看，是《斗罗大陆》的忠实粉丝!
一个礼拜更新一集，还只有10分钟 真够厉害的👎
一星期跟更新到两集那有多好？？？？？？？？
王东应该是女的你们说呢
王东是女的。你们说是不是？
说好的10点更新 希望更新两集 不够看啊
好想看王冬变成唐舞桐！谁想看 举个
还好吧，每个星期一，更新一节。
"唐昊喜欢一颗草，
唐三喜欢一只兔，
唐舞鳞喜欢一条龙，
你们唐家真的六……"
非常好看，好看就多点赞
霍浩雨不建议，我建议。
谁想看第十一集和十二集
王冬都不仅是女的，而且还是唐三的女儿了。
好暖心
这动画太棒了，什么也好，就是更新的慢，同意让作者快点更新的点个赞。
我可以免費看，免費看
王东是男是女？谁可以告诉我
请大家观察头发，颜色有什么不同
我家雨浩可是神，而且还是最厉害的神，蝼蚁都滚一边去
国漫为啥火不起？很大原因就是突然停更几个月！要不然就是刚开始拉开序幕就第一章完，继续等几个月！再怎么火爆的动漫都让人遗忘咯了！
要是漫画就好看了啦！
看过原著小说的举个手，我是05后。爱戴雨浩的举手🙌
我们中国的动漫太差了26集就没了没想好就别出，既然出了就保证一个星期一集，这样真没意思看
王冬和雨浩很 配，打个赞
王冬就是唐三的女儿——唐梧桐
霍雨浩（戴雨浩）最后得到二级神邸情绪之神融念冰的传承，打败了兽神帝天，前往神界，成为新一代情绪之神，现已认祖归宗，并和蝶神唐舞桐（王东儿）在一起了
孙悟空等了唐僧500年，风晴雪等了屠苏900年，宇文拓等了宁珂500年，龙葵等了龙阳1000年，易小川等了玉漱2000年，夕瑶等了飞蓬几千年，紫萱等了长卿三生三世，虽然你短，但是我还是在等你更新
霍雨昊，其实是第二个唐三，是的就点赞
同意星期1更新一集，和星期五更新一集的，送我上去
我也要举报这也太短了，去了片头曲都看不到多少了哎
同意每天更新一集的！送我上去谢谢！
唐家三少（张威）作品《绝世唐门》的女配角之一，实为星斗大森林的帝皇瑞兽——三眼金猊，幻化成王冬儿（舞桐被剥离神识后失去记忆和一部分能力时的化名）长大的模样（即为长大后的冬儿、唐舞桐）来到人类世界，而“王秋儿”这个名字正是根据“王冬”（舞桐女扮男装时的名字）所取的。唐三因担心舞桐受到其伤害便将从冬儿体内剥离出的神魂暂留在王秋儿体内以便观察她。使王秋儿拥有黄金龙的血脉、武魂和黄金龙枪以及更高的灵识。现已为霍雨浩献祭，恢复其精神之海而死亡（灵魂本源在雨浩体内、唐三从舞桐体内剥离出来依附在她身上的神识回归于唐舞桐体内）。
😁自信满满的等了90秒，结果我真的被电到了。太雷人了
王冬好像个女孩，哈哈哈
谁敢说短我让他看一天的妖神记
喜欢斗罗大陆的同学送我上去！
这是冰帝帝皇蝎变成人的样子
不愧是最强的10万年魂环
好像王冬，那个小女孩
你们有没觉得王冬是个女的！
"霍雨浩真名：戴雨浩
王东真名：舞桐"
一个星期更新一集就算了，我忍，一集就几分钟我忍不了，更新加速
好好的一部小说 成这样了
王东唐三女儿…………
估计又要更个一年半载了
这B浩挂，还开了个加速器，第一魂环就百万年的
给没看的看，看过的请不要吐槽。顺便再点个赞\(≧▽≦)/
好看，儿子爱看，还不错
"马小桃和霍雨浩干了什么？
在生猴子吗？"
对，我也想看到你成功的样子
更新快一点呗，不然等的实在辛苦，两天更新一集吧！
10分钟的动漫居然一周更新一集？你干脆回家睡大觉好了，还出什么动漫
我在怀疑王东是女的吗？
第几集是王东承认她是女孩子的
已经十点了，为什么不更了，苍天，你在折磨我啊，这要等到啥时候去？
唐昊一家的病:唐昊找了十万年植物，唐三找了十万年兔子，唐舞麟找了挺多年的龙，那看来唐三他孙子只能找海魂兽了😂😂😂😂
忍了三个月才看，一次性看完完16集，好爽
能不能更的时候时间长点，或者多更几集啊，太慢了
这么说吧。片头曲1分45秒，片尾再说。。。
这主编太不行了，欺骗观看者，送我上热门。我怼死他
这里面谁是唐三？ 谁弄告诉我 谢谢
你们都可以加我QQ，我分享给你们
我特别想知道徐三石到底对江南南能干的是什么？
一万年前，不就是唐三吗？天地变色，瞬间成神。
超级暴裂女
强烈要求一个星期两集，真的很喜欢看这部动漫，所以一个星期更新两集吧
在更新慢、都别看了、把人气拉低、敢不敢、有多少能做到的？举手🙋
哇！我想问一下都岀了多少了？？？
天生不是贵族，就用自己的力量成为贵族！
天梦冰蚕如果显真身，就好了，好想看呀
我看这部片子还没放完导演就升天😄
什么时候出27集。？？
一天更新十章，同意的举手，点赞。
确定放弃追剧了、太坑太短、我怕看到死都看不完
难看，拒绝动态漫画。喜欢第一季。
哈哈哈。。。蛮搞笑。。。这配音也很q版啊！只是这漫画。。。风格不喜欢
王冬是唐三的女儿那妈妈是不是小舞
神明之青，斗罗大陆，等等中国动漫都是到20多集就没了，能不能用点心，你们关心过观看者的心情嘛，中国动漫没一部成器的，都是有头无尾还不保证每个星期一集，作者好好想想吧！
你们猜猜王东是谁我大概知道他是谁
