就喜欢你的不守时¥ㄟ(´･ᴗ･`)ノ
"哇塞，第二季来喽[爱心][爱心]
最喜欢红小豆"
黑豆出来了，红豆还是没被吃，发霉了
终于更新了等了好久了，有生之年
哈哈，治愈小豆来啦。等了很久啦
那么快回来了哇塞可爱的小豆回来了耶开心😊来的猝不及防给我们满心欢喜，太可爱了吖
哭惹，我儿砸只有十七个热评😭
这个画风超治愈 超可爱
儿子！！！！麻麻来惹！！！*罒▽罒*
我是作者，你信吗？不管你信不信，反正就是我做了。
鹅砸，麻麻回来看你啦~
来了，小豆？噗呲～噗嗤…
哇哈哈哈 声音苍老了
第二！(｀・ω・´)
来看鹅子啦！！！新年快乐哦
萌萌哒，非常自愈，建议吃饭时看￣ ￣)σ更有胃口哦。
开心❤，期待，会一直喜欢的欧！
哇～终于等到这一刻了
超可爱的(ฅ&amp;gt;ω&amp;lt;*ฅ)
怎么声音老了这么多😂
耶耶耶耶耶耶终于。第二季出啦！
哦哦更新了！！！！！！！
真好，等到第二季啦啦啦啦
啊啊啊，考完试看到更新了好兴奋好兴奋好兴奋
哪来23个热评？请问？我一共就只看到5个
第一季好看吗我没看过诶
小红豆第二季开始啦 哈哈哈开心😊
请吃魏小豆吧。
居然有第二季，要不要太好
儿砸，妈妈来晚了，妈妈来看你了♥
有第二季啦，比心心～
回来了！啊！！！！！！
前排座椅激动哎哎哎哎哎
终于等来了第二季，啊啊啊啊啊激动⊙∀⊙！
哈哈 我来鲁 😜😜😜😜
终于上映啦!十分想念鸭!
爱辽爱辽！！！太阔爱了吧！！
萌萌萌萌萌萌，喜欢红小豆啊
瞧我发现了什么！！！
哈哈哈哈哈，年卡
红豆也要健身
(＾－＾)V，更新了红小豆
妈妈来惹！！！！！比心！
才5分钟都不用看了跟斗罗大陆什么比
激动！！开心，啦啦啦啦
贼喜欢这颗豆儿啊～😊
现在还有什么好看的动漫呀，求各位大神给神作😁😁🙏🙏
我又来了阿崽，我又过来睇你了哈哈哈哈哈
哦吼吼吼，终于更新了，等了好久
芦荟的自画像求原图啊啊啊啊！！！
第二季诶？！我的天，吹爆吹爆
哇哇哇更新了开心太开心了叭
哈哈哈哈哈哈大胃你号粉的
第二季终于来了啊啊啊
厂告牌上的是腾格尔吧
今天也要加油被吃掉
_(≧▽≦)/_兴奋
紅小豆好Q啊
吼开心
优秀
儿子！妈妈来看你了！
"emmm,稀饭啊！！！"
沙发
""
有人说话吗？
(o￣Д￣)＜起床! ※=○☆(＿＿*)Ｚｚｚ
崽崽，妈妈来啦！啊啊啊啊啊
呃呃呃呃哦哦哦哦哦哦哦哦哦哦哦哦
沙发 。。。 。。。。
"怎么办，爱上了吃红豆呢！[爱心]
我们家红小豆萌萌哒，还是不要被吃了好不好嘛，我们想多看看你呢[玫瑰]
治愈红小豆！"
红小豆，有钱人，年卡
超喜欢红小豆，红小豆可以当壁纸，希望官方可以发些壁纸头像什么的，我在QQ上正在大力宣传
偶然间发现红小豆又回来啦，好开心~\(≧▽≦)/~
哈哈，超可爱的红小豆，来啦~
前排！
沙发
来啦
超爱
亻
红小豆～
终于等到你惹（*＾ワ＾*）
好喜欢红小豆～小豆儿子妈妈来了
大爱红小豆🎈🎍🎍🎍🎍🎍🎍
啊啊啊啊建国，红小豆我来了。
我来看你了，红小豆！吧唧
94阿姨被红小豆撩到了
太可爱啦心动了
好可爱(*‿*✿)
😂😂😂😂😂😂😂😂😂😂
666
来啦！！！！！！！！！
"第二季来了
第二季来了"
期待好久了
等好久了
沙发
啦啦啦啦啦啦
