求求求求求求求求求第二季，玩命求求求
男主的声音好熟悉，是不是配过哪些动漫？
女主真是不可理喻，神经病吧
卧槽，现实世界中要是遇到女主这种人，我要是男主非撕了她不可。
女主有病吧，好犯贱的人。现实真的有，谁要啊？
什么时候第二季出来。
不知道为什么感觉女主好白痴 无理取闹
你们可以不要再说这个漫画的坏话吗？我相信我的眼光
这女主劳资想打死，，，，，
男主好帅男主好帅男主好帅
该剧逻辑有问题，明明是女主不好反过来怪男主……三观不正
请问除了这个王子碰到球和那个击剑的那个还有别的吗？难道就这两个吗？
有没有二季的，说实在的国漫还就最喜欢它了
什么时候出等二季？有头无尾的算怎么回事？
快点更新第二季，否则我就投诉了
对，怎么没有结尾，有第二部吗。
剧情，画面，人物，十分符合我的胃口
第二部什么时候出来
感觉这女主很没素质。。
毁三观的女生，提不起劲继续看了。最讨厌这种女人了
开头，不大好听.和看，你们现在几岁了，看这种动漫呢？
什么时候再出第二季啊？
动画片就是动画片不科学，穿个高跟鞋都这么牛逼，
唉
嗯，很好看，快出第二季快，出第二季。。。。。。。
这开头曲看的我尴尬症都犯了
我去还不更也不出第二季一年了
女主好历害啊，天真无瑕
第二集啥时候出啊？？
咋就那么好看呢。。。。。
行，挺好看。。。。。
我就不多说了，女主典型得了便宜还卖乖，不喜欢
从精神角度说，这女主精神有问题，恶心
我感觉这女的欠揍……
希望出第二季 好看 都看了好几遍
很好看，超赞的！人物很美。
说喜欢女主的最好反思一下自己的性格
怎么国漫都是这样的，有开头没结尾
啥时候出第二季呀？座等第二季
有没第二部啊?还好看，快点出第二部
祝15岁的刘晓生日快乐.
哎！剧情太短了结局更是无语
最讨厌这样的女的，蛮不讲理，一点都看不出来可爱，作死，倒胃口
都看两遍了，第二季不知道什么时候更新
完结了！好伤心好伤心好伤心
我们班同学有个人就叫王子轩，我无语了。
我想看他的地第二季不是一个系列，同意的点赞
这女主神经病吧，太作死了
看一下吧。还可以我就赞
烂 这女的脑残
有没有第二季好想看有没有
我估计丁煌是故意输给秦小路的☆这样她的命运也会改变
喜欢看的给个赞
女主挺好的，虽然喜欢钱，但是有原因的
三观都有问题的片还是有脸放出来，腾讯风范可见一斑
这就……完啦？？？？
什么哈，这样的女主没心思看了这样的女主真没心思看，不喜欢这样的人，
什么时候更新啊？好想看看
垃圾啊啊啊啊啊啊啊什么东西碰瓷的成了有理的了
什么时候更新啊！等了好久了
有一集看哭我
好好看，女主角是谁吗？
超讨厌那个人妖，凭什么这么说小路，最贱的人是你吧
广告怎么这么长，就不能减少广告么
好讨厌辣个校长 (&gt;_&lt;)(&gt;﹏&lt;)
疯狗一样的女主
都看到女主表面的不好，却看不到背后的辛酸啊！
好看
好好看，第二季等你播哦！
好看吗，好看的请点赞
这女主真是有个性，誰遇上誰倒霉
女主性格让人讨厌
你们这些牲口是不是都看完了？
"主题曲巨好听,在QQ音乐上搜一搜"
真是辣鸡
这部番要挺过第一集真不容易。我是没看得下去。
第一次这么讨厌女主角，，，这个女主角性格有病有病的
今年50被这动漫吸引
你们那个知道★和秦小路一起的那几个☆在网吧为了英雄联盟打架是哪一集
这个女主很好了，吐槽的我呵呵你一脸，不过好鬼畜啊(●°u°●)​ 」哈哈哈哈哈
男主角好帅，这是几部第几集不够看啊，再多啊要100就好啦。
还有第二季吗？
请问你们谁知道，好看不好看，好看请给我评论。
女主纯一智障，这动漫设定剧情人物都有问题
我说你们爱看不看 日本好看看去啊 谁强迫你看了 天天喷国漫
我是被封面引进来的……
没有下一季了吗？……
大好看了快出下一部巴
问一下？导演，为什么老是24如果再多27夜行啊，恩，生气就行了。
豆腐渣工程，哈哈哈哈
别说女主了好不好女主也没那么讨厌好吗！
求更新求更新
"“为了你，我愿颠倒阴阳，让一切厌你负你之人，坠入轮回地狱！”
"
这女主三观不正吧，看的我好想打她
什么东西自己碰瓷还赖别人果断弃剧
这个女主角的脑子有毛病吧！三观不正。
这部都没有结局啊。不知道还有没有更新？
我一年前就看了，一直没第二季看来是没希望了
我喜欢女主？？？？？？？？？
感觉那女主好贱呀！！！看不惯
