第一集呢！第一集呢！第一集呢！第一集呢！
其实三国没有谁是好人谁是坏人，相对来比我还是比较喜欢曹操。不说三国，单说这个兄弟之间刘小备本身性格就脆弱又像白莲花一样，曹小满性格坚强乐观，所以就会出现误会！有时候友情真的需要时间来证明，日久见人心！！
曹操胸不平，何以平天下。。。曹操不够霸气威武帅气。。。弃剧
找了评论区这么久为什么没有人问没有第一级？
鬼神无双，郭奉孝！！！三国第一谋士，喜欢的点赞！！
曹操这么莽的男人，被整成个不男不女的，会不会从坟墓爬出来吃了导演啊
我感觉这部剧有点弯，越看越弯
雕虫小技！我也来秀几个：猛虎孙坚，吴王孙权，霸王孙策，烈炎周瑜，矢志太史慈，弓腰姬孙尚香。昭烈刘备，七星诸葛亮，神威赵云，一骑ji关羽，桓侯张飞，锦狮马超，弓神黄忠。武帝曹操，苍狼夏侯惇，疾风曹仁，振威张辽，狼顾司马懿，驱虎荀彧。魔君董卓，鬼神吕布，倾世貂蝉，无双吕姬。
"十年可见，春去冬来，百年可证，生老病死，千年可叹，王朝更替，万年可睹，斗转星移。
愿用这百年寿命，来换取那千年的世事轮回。
只为主公君临天下。
天下只因我爱，世上唯有君知。"
各位美女帅哥你们好认为君临臣下好看的点赞哦！蒙蒙达！
曹操，不是汉子吗？……
郭嘉真心厉害~死的太早了！！可惜
还是很不错的，怎么就没什么人看呢。。。
曹操的霸气呢？？？？？？？？
奉孝不死天下归曹 啊啊啊啊
是我喜欢的风格哈哈哈
如果三国里郭嘉没死，他和诸葛亮谁才是第一谋士呢？
这也太侮辱曹操了吧。
诸葛亮预知未来一点事没有，郭祭酒为什么要被反噬。虽然，郭祭酒死几次都没死也很厉害刘小备为什么宁愿相信别人都不相信曹小满。按照回忆一直都是他杀的曹操吧。结局这样可能会有第二部吗。
主公为臣，君为天！！！
看得我起鸡皮疙瘩，曹操居然被人改成了基佬，被曹操知道了会死不瞑目的
“君若念，臣当不负往年”
三国里我最喜欢郭嘉了
来个人告诉我第一集去哪里了
这一世的江山我为主公拿下 用尽余生直至骨枯。。。明明动漫这句话很有爱
我看过漫画，超好看啊，超喜欢漫画里的曹操
我猜有三个结局，最大可能，因为还有下季嘛，所以应该是插地上。可能性比较大，以曹小瞒性格来说，自杀。可能性最小，气小备真的狠心下杀手，插死刘小备。
看得我尴尬症都犯了
唉怎么哭了呢
最后他是自杀了还是杀了刘小备
三国演义就这么毁，在了一部动画是动画上
麻蛋，这是腐女文啊，我特么一个男的看什么？
曹操即便名声不好，也不应该被这么整，好歹也是历史人物
好垃圾，这动漫打历史脸呀！若干年后人们心中三国人物可能就它这样了
第一集是被吃掉了么
为何没有笫一集。。。。。。
小备应该不是之前的他了
ヾ(●´∇｀●)ﾉ哇～搞不懂一件事，第一集去哪了？？？
发个有饭吃鬼吹灯还有刚才_UR次行吧
第二集插曲为《君不归》
双荀什么时候出，想念我大荀帅气的中分绿头发和霸道总裁攻范儿了。。。
好感动。
