这么弱智的动漫也看完，剧情啥也不知道，就这样挂彩
梦塔，雪谜成》 不多的的好国漫 好看也帮忙传播一下，
一直三集？怎么回事，天玉传奇，千年寻跟这个一样，一直从未更新过
为什么同样的游戏，你能拍出大片的感觉
12年的时候这动漫3集，现在还是3集流弊
深深的勾起我对剑灵的回忆.
不好看不好看不好看？？？
一年多了还是3集还有没有下文
这样劣质的动画片………！也能上！中国的人才都死光了么！！
觉得难看的赞一下
跟国漫比简直不是一个级别
这里面的歌名叫什么啊？谁知道呢
这个跟国产比起来。哎！
决得好看的点赞
14年的游戏做出了04年的水准
好丑呀，好丑呀，不好看
我九年级看的第一集 现在我高二
觉得无聊，很难接受的赞，
一点都不好看，剧情太假了
这个是我看过的最烂的动漫
你们知道娜可露露吧！知道的点个赞！
画质好差，太垃圾，没劲
还可以666666现在是不是快点更新。
还不如看去枪神记好呢
坑害我等了那么多年啊啊啊啊啊啊啊啊啊啊啊啊快更新
一点都不好看，人物表情木木的感觉没有人性化
就3集吗？真的没有了吗？因该不会就这么少吧？
P图片
没人吗。。。。。。。。。
更新太慢了，能快点吗
好丑，好丑啊，真的好丑，，，
真他妈难看，丑死了，这是什么东东
不好看
男主角好丑，看不下去了。
国产动漫终于开始崛起了
什么时候更新啊。。。。
难看，丑的一批，还满口脏话
这个是不更新了吗？什么时候更新
不好看哈哈哈就回家斤斤计较
这他妈是哪个山村做出来的动漫啊？人不像人，鬼不像鬼的……
不过片尾曲是真的很好听
、啄一你好要做手术吗好的好的
导演韩国的吗?不看了
什么时候更新呀？我都等了很久了，为什么还是三集呀？
这个动漫不是中国大陆的？？？
超级难看什么破画质剧情也太垃圾
有没有 好的动漫 我想看
给100个差差滚滚滚滚滚滚滚滚滚
没个意思，还必须够十个字
"这部动画片,画风我也是醉了."
这种动漫不会在更了。
这剧太差劲了，人物，配音，效果，剧情，没一点意思！
加油加油！，男主，有点不好，女主，不咋色
没人发评论我就知道我的机会来了
居然不更了，哎，真尴尬
几年了不更新，别重播
这么丑啊！我去韩国动漫吗？如此丑的动漫不看也罢
每一段背景音乐都好像哭 唉剑灵
有谁看过，白蛇缘起，龙猫。电影
太短了，哥
好看有感情为什么女人全都现出来美
美人出浴是唯美！居然没人评论[惊讶][惊讶]
为什么不更了呢，我觉得还行，还想看的说，快更新吧，我一定会支持的，我会一直追下去的，不是有22集吗，这才三集啊，快更新吧
好看
"韩国的动漫和电视剧就是弄不好，哎,,Ծ^Ծ,,"
我的貂蝉在哪里？贱人，放开我的貂蝉！
哇。这AV画质。哇绝了。
流氓 情侣 色彩不好 剧情不好 两人乱搞 摆明儿说 不好看 同意赞！
还要10个字才能发出去。。恶心
第一个评论会不会又人给赞啊
没评论啊！.。。。。。。。
这部漫画是不是不更新了
为什么不更新呀，我想看
It&#039;s not pretty at all.
这不能算是动漫，知道？这是关于剑灵剧情的。
怎么没人评论?
我的天呐！！！！！！！
居然没有人看
第一了哦
人物的脸不好看。。走了
好看66666666
视频怎么就3集网又不好
一口一个劳资 素质呢
最后好感动呀！
这个动漫我尽然是第一个评论呵呵第一次耶好开森
。。一个人都没有→_→
不像是国漫啊
剑灵的剧情是真的好看，不过这动漫……
这绝对不是国漫，和国漫简直没法比
太难看了
沙发
留言
你能
师傅我不能在守护洪门了……
主角不好看，没意思
当然不会更新了，本来就是补充剑灵南素柔缺失的游戏剧情
这什么啊
为什么这个动漫还不更新了都两年了
还行还行！！！！！！
这什么跟什么呀！你们就管这玩意叫动漫？？
