感觉日语的梗没那么多hhh（他们能理解军训这种东西吗hhhh
感觉日语比中文的感情投入的好多
"不过日音的配音要比普音好一点，表现的感情要好一点，普音有点太板了，只是个人意见，不针对任何一方，个人感觉
谢谢，勿喷"
中文看得我真尴尬，日配听起来自然
请问这是国漫还是日漫。如果是中国做的。为什么要有日语配音。。。
""
国语的没看，画面提不起劲。还是动漫日语的好看。搞笑
减肥这方面，减肥是不可能减肥的，这辈子不可能减肥的 。炒菜煮饭又不会做，就是吃外卖快餐这些东西，才能维持的了生活这样子，进烧烤店和肯德基的感觉像回家一样，在肯德基和烧烤店里的感觉比家里感觉好多了！里面个个都是我喜欢吃的菜，煮的炒的炸的烤的我都喜欢吃，我超喜欢吃吃吃的，减肥这种事，吃了在算。
不知道为什么，总觉得日语听的蛮习惯的，国语就很别扭，总觉得没有那个味道了，有点僵硬，还不如开心超人这种动漫的配音好听
翻译成日语我没意见，可是我们不是中国人吗？这个漫画本来也就是以中国生活习惯画的用日语给国人很奇怪吧？？就像我们明明都是说同一个语言偏偏要用外语交流。真的希望你们能够从各个方面支持国漫，
讲的是兄妹两个有着说不清道不明的关系
我想说的是，动漫永远比真人好看一万倍。
其实不管是谁制作的，主要是文化传播，以前看动漫咱们脑子里面第一反应就是榻榻米，忍者，日本的校服，日本的问候方式，交流方式，日本的文化，现在就算这个动漫有日本人制作又怎么样呢，传播文化是咱们中国的啊，
怎么就三分钟？是我的打开方式不对吗
感觉还是日语版的好看一些
一集不到3分钟，一周一集，会不会太狠了？
都听得惯，但如果有的选肯定还是中文
真人版的感觉越看越不怎么搞笑了，动漫虽然短但是好看
明明是中国人自己画的漫画，干嘛要搞个日语版的
突然想到他把煎饼果子摊子买回家，天天做煎饼果子还要给万幸吃，笑死
这是日本出的 还是中国出的
可能看管了日语的动漫，听中文的有那么点不习惯！
这到底是日漫还是国漫
日语之前是听多了，初看国漫是狐妖小红娘，觉得有点别扭，但越看后面就觉得挺好的，再看日语的反而有些别扭，大家各有各的好，何必争来争去？
日语版时分配音是中村悠一吗，如果不是算我耳瞎QAQ
还是喜欢日本话的配音。。。。。
日语好听还是国语好听？
我说怎么第二季还不演，原来是接着第一季演。。
动漫真好看，但是太短了，还没过瘾就完了，希望加长点。加油！！！
本来是去看中配的，结果瞄到一眼声优，看见肉村就进来了
只有我觉得日语版的更有感觉吗
可能我没有看过国语 所以日文版搞笑哈哈
好像拍了电视剧了是吗
哈哈，第三。感觉电视剧的时秒性格塑造没有动漫好
这打的太夸张了，太惨了
喜欢这对兄妹，我很向往这种生活，可惜我只有一个很皮的弟弟
还是日语感觉好啊啊啊啊啊啊啊
明明国产动漫要配日语版 国漫就是这么被日漫比下去的
"中文配音比日文好！
～"
还是日文看着舒服，中文版的配音跟口形不符合。
时秒要去美术班 时分去武术班 但是搞反了
日语版是中国配音演员还是日本声优？有点好奇而已
我还是喜欢看动漫。真人真心看不来
本來就是日本的中國只是翻拍
反正我不管国漫我就喜欢中文版，但是也来看看日本版
如果时秒知道了真相……可以想象时分的下场有多惨
看这时间就没诚意，哎！！！
感觉日语版的好看点。
普通话版和日文版都看了，觉得各有各的特色！都好好看！
哈哈，时分太狠了，这样就夺走了好友开心的初吻，
觉得日语版好是因为日漫看多了吧？
但我觉得比中文版好点
妖怪名单我表示女主很强
明明是国漫，为什么配日语，整的好像是日漫一样
没办法，泡面番就是这么短啊，一集看一遍中文看一遍比较下，嗯，都不错，国漫加油！
小野贤章和中村悠一都是日本非常出名的声优，两个我都很喜欢
中国的声优不如中本的
日本声优还是厉害
还是动漫版本好看。电视剧的辣眼睛
蛮搞笑的，应该叫快把我妹带走，老打他哥，哈哈
为什么就三分钟，为什么
日文版和中文台词略有不同呀
还是日文好听点 是我看日漫看习惯了吗 还是呃。。。。
笑死了 这一集
漫画更好看，还是日语版的
哈哈哈好的好的就地解决苏
这么短，更这么慢，居然还分几季啊啊啊啊啊啊啊
"国语和日语都是泡面番啊！
两部的配音都好赞啊啊啊"
感觉日文版的配音没有中文版的好些了
小野贤章是黑子的声优喔
普通话版和日语版感觉都很好，没啥可争来争去的。
为什么都第二季了，还有人问日本动画片为啥里面的字写中文
为什么觉得听日语比较舒服
感觉时分国语配的好听，时秒日语好听
只有我觉得特别的违和么？觉得国漫配音日语特别难受？
好短，也很少，希望有第二部
特别喜欢漫画版本的，现在又出真人版电影了
真人版网剧的女主会武术吗
笑死我了！如果有一个哥哥也不错
我虽然不是，第一但是我的赞数要比他高
好好玩，中国的动画还是国语的好听。蛮好玩的。
笑死我了！如果有一个哥哥也不错
感觉日语配音好听点，emmmm
快看里的诶，看过漫画，挺喜欢这个
为什么一集三分多钟的动画要一周更新一集啊
你们想不想让这部动漫再出第二部？反正我是超级想的。这么一点点根本不够看！
2，3集呢？2，3集呢？
我觉得声优贼棒！董香的配音，金木的配音，几斗的配音！！！
本来就是国产的，作者是幽.灵
日语cv配的比国语cv好，更生动
是睡觉睡觉思思我上课世界上
emmmm，时秋还是原声好听，原版原声更好
哪里可以看漫画般的啊？
中文好难听阿 还是听日语版感觉正常
哥哥太聪明了，可就因为太过聪明才懒得用。
专程来听花江………~~～
好看是好看但是有一集vlP
3分钟多？没钱制作？？？？
第十六集差点没笑死我
艾克斯奥特曼声优 中村悠一～
