希望出第二部的点赞！
中国的动漫就是这样，有头没有尾
哪位朋友觉得好看，就请个点赞
为什么还没有更新第三季啊，我已经等了三年多了
支持，导演大大，赶紧更新啊
强的人已经点赞了，弱的人不敢点赞
我觉得这个国漫挺好看的，为什么评分这么低
什么时候出第三季啊，等了几年了
"国漫在进步,要赶快出第二部,让我想起欧米咖，不错！"
好看有路大和杰大，不错的
从初中开始看，现在我高中毕业了，还没出第三季
为什么，2014就开始的，现在2018了，四季还没有出来
第三季，你什么时候出来啊！
奇游第季4迹
喜欢看的人已经点赞了
为什么我喜欢的动漫都更新这么慢。
还有没有第二季？收到请快回答。
快点出第三季
怎么不见第三季上演，太气人家了
"等了快四年还没更
？？？？？？？？"
可以第三季还不出来。
就是的，我都等了几年了，还不更新第三季
等不及了啦，再不更新了就要生气啦，好不容易国漫比日漫强了
第三季为什么还没有出来
导演，你能快点更新吗，我都等了三四年了
赶紧出啊！作者死了吗
不要急，如果你们不想等可以去加，又有没有出就全面升级和画面等等。
出第三部和第四部快点啊
我等着多久了，第三季还没出，等有三年多了吧，有头无尾我真的服了
谁能告诉我第三季在哪里可以看呢？
天啦，都几年了，到底有木有第三季啊，没有就不等了。
为什么没有第三季呢？
第三季为什么还不出。
第二季在看看视频能看到
我希望第二频出来！
什么时候出第二季啊，我现在就想看了
这里没第二季，别的有第二季的
为什么还不出第三季，都等了好几年了
怎么还不更新，难道不想更新了？
好看的动漫怎么还没多少人看呢？
为什么一直不出第二季？
为什么不更新了？一直等阿
官博爆出今年6~7月会出第三季
等了这么久，等了都几年了，第三季什么时候更新呀。
都已经两年了，为什么还不更新第二季啊？
水善，土强，火烈，气和？？？？？？？？？？？？？？？
更新好慢好慢
可以啊很好看
好想看第三季呀，快更新呀。
第4季什么时候出呀谁知道
第三季什么时候出啊等了好几年了
怎么没有了，快更新啊
歌好听
古古怪怪古古怪怪方法
亲爱的，周末什么时候更新第三集啊。2018年3月份儿吧
感觉这首歌好听
我记得第三季当年初二的时候就说要出，现在我都高二了
快点出第三季支持国产
我等不下去了啊！快更新
没意思不好严重差评
从四年级开始看，到初一还没有第三季
我都不说什么了，真的是怎么还没有出第三季？
第三季神马时候出啊！
记得这动画片名字以前叫锦绣中华啥的。。。
磐正的星耀之力是磐古虚影，可能因为他的祖宗是磐古吧！
这个和魁拔都好好看，可是不出。
虽然只是找回童年但是还是希望第三届能出来
第三季怎么还没出啊不会这样就完了吧
猪脚呆子吗回转寿司
第三季好期待
这也太慢了？我等两年了。
还有还有啊，等了好几年了啊
怎么还不放第二季，都快二年多了
第三部什么时间开播，
第三季什么时候出来啊
第三季为什么还不出呢？我可是等了几年。这么好看动漫可惜了。哎！
这部电视没
为..什么没有下一季
这部电视还没玩到什么就没有了唉
回忆童年记忆
很好看会打死等我我回去就是拒绝我
好看特别好看真好看什么时候出来，第三季呢？
那么久了都没更新
期待第二季赶快出来！
什么不更新啊？是不是不出了？
"不能看个痛快吗？
"
第三季什么时候可以出啊
第三部什么时候出
第三季呢，还不出来吗
会不会好好规划和哥哥哥哥
更新更新，快更新啊？我等了一年了
我都等两年了都还没更新 什么时候更新啊
为啥没有第二季啊，好期待呀
嗯！这个太好看了。有没有第二部
我去四年级看的我都要初三毕业了还没有第二季，
快来第二季。 支持的请点赞。
第三季啥事出来啊，，，，等那么久了还不出来太太太太太慢了
我等6年了
第三季一直没出来
好看，我还记得几年前看过
