我把伺灵府看成何炅府了，抱歉了何老师，不是故意的
觉得不错，但是一看有五十四集，一个星期一集，要一年多才完结，直接不看了
本来这个动漫就已经见血了，你还希望用人，能审核过吗？只能用动物来代替了。还有说这是少儿片，请问你的智商够了吗？先去看喜羊羊与灰太狼再过来评价吧
真的很不错，，，要是人物不是动物就好了😊
中国只能这样玩动漫了动漫全部做成三d剧情还是少那么点东西
这还能不能更新了这都两周了我也没看见更新啊还是那么一集啊怎么搞的啊
本来是很期待终于要更新，可是还没更新生气😒😒
都有这个水平了就不能做成人吗，人比动物好看多了
一曲《相知》琴瑟起，余音绕梁救全剧！
继虹猫蓝兔系列的部分人物造型，动物形象活灵活现。
这动漫倒闭了？ 几个星期一了都不更新？
各方面都很不错，如果动物是帅帅的那种，就更好了
很好看啊，我以前都不看动画电影的，可是现在很喜欢看，感觉是自己也来也年轻了吗，😂😂😂
哎，这不是动物世界吗？难道我看错名字了！
给少儿还能算一下，真不知道看点在哪
藏书阁做错了什么一出场都要被烧掉，少年锦衣卫烧了，魔道祖云深不知处也烧了……
不是说一周更新一集吗
看到一猫一兔，还以为是虹猫蓝兔呢
留个记号，回头在看😂😂😂
还不错，欧美很多动画都是以动物为主角的
动画下功夫了，只是如果做成人物就有的一拼了。
祝大家中秋快乐喔 还能看期待已久的灵邪记 棒棒的了
现在的卡通片比电视剧好看多了
"wfzxh
我非常喜欢这部动漫"
追了！！！！！！！！
一个月看4集，54÷4=13.5个月😒
嘁这个都不应该跑来动漫区域，一不可爱，二不好看，三老不正经
这部剧不错，至少武打方面比玄机的几部好太多了，玄机的几部剧放大招还要先表演一下，还有文字。😇😇😇
太不更新尼玛我就去投诉你，妈朵
内容 剧情 配音都很好，就是人物的形象上在加强就更完美了，加油国漫
很好，可以一看，不错不错，希望更好
能不能更新的快一点 😤😤
怎么都是动物脸，看不习惯
驴的配音是星潮。。。小绿的配音。。。
一曲《相知》琴瑟起，余音绕梁救全剧！
我还以为是虹猫与蓝兔呢
业界良心啊！！中国动画的希望
这明明是动物世界好嘛😁
不错的片子 看好你们 加油💪
54集，一个星期才一集，太慢了吧！希望一个星期两集。
我还以为是七龙珠的破坏神来了呢
把人物搞成动物瞬间感觉低了个档次
更个毛球啊，老子等了那么久还没更新
不能用人物，审不过的。。。。
我叫韩小布，我大名叫博爱，小名叫真爱，
"，我不开心了
为什么不更新了，只是显示着更新，
但是并没有更新过一次。
求更新。
求更新。
求更新。
求更新。
求更新。
求更新。"
特别喜欢看动漫，好看
好看，气氛渲染的超级棒
刚刚出2集就停更 果然是资金不足 可惜这魁拔的剧情喽 惋惜
给我个赞赞赞😭😭
更新慢，看着改错啊，剧情可以
欢迎收看黑猫警长盗版系列。😂
怎么久了都不更新估计凉了
"剧情不错，人物刻画到位。
但不知为啥看这部动漫感觉怪怪的。
所有的人物咋都好像是人身动物头。
感觉觉怪怪的。（但也很不错，加油）"
良心作品 支持 棒棒哒🎉🎊👍
很不错的66666666666
更新啊伙计
好看，画面非常出色。希望可以火
牛逼啊！喜欢这个片子！哈哈
模型很6，很搞笑，哈哈哈哈
支持国漫不易。希望能🈶更多投资
不错哦，国漫加油↖(^ω^)↗
？今天不更新吗？？？？？
停更？了不会吧～～～～
我感觉很好看！特效不错！
还没人评论吗？还没人看吗？看着不错，顶一下
如果人物不是动物是人的话，这动漫火的几率很大，坏就坏在任务形象没搞好
还不更新，奶奶的
人物形象设计有点难以接受，而且还一周一集，感觉没多少人看
做不出来就不要做了吧 丢脸
几个月都不更新搞笑了吧
什么情况半年了
剧情跟场面特效上都还不错啊！动作上也流畅干练！
好看 良心之作 希望快更
力顶感觉 很好 很别 动物做主题 很大的勇气 真好
来支持国产动漫加油💪
总感觉动物主演有点奇怪，因为我们会默认把动物的性格赋予到人物身上，这样人物性格就跟单薄
有么有和我一样的快30了还在看动漫的。 举手🙋
国漫崛起66666666
29个评论 可见一斑
很久没看动画片了。这个片子好棒啊，喜欢~
的确很不错。很喜欢特效都很不错
把动物变化成动漫人物那就太好了
能不能长一点。为什么国漫都这么短！短！短！不得劲啊！太短了不舒服
会火 站个前排
中秋节快乐🍸🍩🍪🍬🍭🍫
不是说周一更新吗，简直在骗人哟
不错不错～～～～～～～
那个小风车看着碍眼……
牛逼了，好看，国漫觉起之作
值得入手的动漫，特效动作都不错。结尾曲也好听。
觉得火不了，为啥是动物啊
我都等了几个月了还不更新
怎么都那么久一集都没更新
免能杀羊吗？大家认为呢？
好失望 ，为什么不更新了
动物为主角，感觉过审容易吧
还不错 制作 剧情挺好的
歌好听，我去搜了下载听听
片子很专业 感觉像是真人版电影的错觉
