比我小学的老师 还要猛嗨啊。同意的顶
有一种暴躁叫石妙娜， 有一种严厉叫张岩， 有一温柔叫于甜甜，有一种自恋叫黄易斌 ， 有一种屁叫艾凤莲，有一种抠搜的叫孔祥德，有一种帅气叫王强，有一种漂亮叫刘若琳，有一种淘叫贾淳，有一种呆叫马泽平，有一种伪学霸叫徐小明，有一种绅士叫高伟，有一种喜欢沈思琪，有一种吃货叫奉翔，有一种队形叫“ZHY” 战队，有一个班级叫初二3班，有一种青春叫《茶啊二中。
着马泽平从一到四季总这样全是上厕所……看的心里着难受
你们玩过迷你世界吗玩就有回话
你们都上中学吗？我才六年级
校服看得：人物也喜欢：
""
这女老师的声音也太粗了吧
我挺喜欢的，不赖，可以，你呢
太好看了好看的不得了
"真是太棒了
u s h sh sh b s"
我去，弄半天是茶啊冲
好看，我都看了好几遍了，这些我都看过
求赞求赞求赞求赞求赞求赞求赞求赞求赞求赞求赞，，，
:有一天，上帝对我说：“孩子，我能实现你的1个愿望，你想要什么？”我说：“能毁灭地球吗？”上帝说：“孩子，先考虑一下其他的吧！”我说:“那能让这部剧没广告么？”上帝说：“孩子，我们还是考虑一下毁灭地球吧！哈！哈！哈！
给我10个赞行吗？谢谢你们
只有我是看抖音来的吗，
三分钟的内容一分钟的广告
我有一个比我大一岁的姑姑也叫刘若琳，字都一模一样
我们班主任，第一次把我们班俩犯错男生交到教育处后在晚自习哭了。
太好看了，就是集数太少，同意地点赞！
给我点赞行不行点五个也可以呀
这老师的配音也是没谁了？有根我同感的吗？
求歌名 没人想知道吗
属于我们自己的动画，比起宫崎骏很喜欢茶啊二中，继续fight～
还可以啊，挺好看的
喜欢看茶啊二中，嘻嘻
"求给我五个赞
谢谢大家了"
也许你当初开了口，也许跟你走...
哪的方言啊哈哈哈笑死我了
从抖音里一路寻来的，支持王老师
牛逼哈
我很喜欢看你们给我五个赞好吗？
好怀旧啊，有没有，麻烦帮我点个赞
真希望再上一次小学，
无语
"喜欢看
回忆了在校园和青春"
特别好看 石老师太搞笑了
这么短的剧，广告这么长
看的我想回到学校上学了
这个班主任和我们班主任好像
一半我喜欢谁是王看高二高20喜欢看。
青春不老，我们不散♥
新的分分亲上的雪认错爱今生
那一口方言说得还挺溜的，蛮搞笑的
王老师的卷发呢，神还原真人
特好玩，老师的损话不带喘气儿
这电视真累是神还原了自己班
每一集都是自己的回忆，都像是在看自己，哎，
茶啊二中的老师那么厉害
就我一个人觉得看着很尴尬吗
茶啊二中，真的很不错
原来还有茶啊冲这样的地名～
求第九集集最后的bgm啊！！
""
我们老师是孕妇状态，不过很温柔。
"大家好有人在看吗
"
和现在的我们很像，简直就是……
茶啊二中 系列合集 第1集 茶啊二中：那些年被老师耽误的放学时间
在美拍上看别人截的那些小视频，我看着挺好看的，特地过来看一看。
怀念以前我们在一起的日子 还想你
茶啊二冲原来是这么来的呀
好看，搞笑，就是太短，
这个挺逗的，特别是老师，对吧
茶啊二冲太搞笑了喜欢看
我们语文老师也和她、一样样的[呲牙]
我现在上初中了，其实还是很想想念小学的时候，多么的无忧无虑
歌名是什么，有没有大神知道？
好的我去你来我家打牌
我28了，竟然来看，是不是我幼稚了
太帅了，还有这样子的，但真的看着好无语啊
好怀念初中那时候的童年。
超级喜欢看茶啊二中的
还可以，前面的有教育意义
好逗哈哈哈
顶起！！给个赞\(≧▽≦)/
太好看了。太好看义义义
特别搞笑，笑到肚子疼
哈哈哈哈，感觉那就是我班主任一样
我现在才知道，原来叫茶啊冲。我一直以为是茶啊二中
每一集都能让人回忆起一段美好的时光
好看，我都看了好几遍了，这些我都看过
这个动画片真的太好看了
这样的剧 不应该都是差评？
那个老师好凶啊，让我想起了上学的老师。
喜欢六年级的时光。好怀念
"那个老师太高
那个老师太搞笑了"
你能把广告免了吗？不想等3O秒
这是我看过最好看的，也是最搞笑的视频。
这部动画片让我想起我们上学的时候
妈的 这么短 广告还要这么久
石妙娜老师的配音咋没来
真好看，校园的日子。
我第一次见面了好大劲爆点，
我看过，特好看同意点赞
觉得挺好看的的我赞一下哦
好看。。。。。。。。。。。
我挺喜欢茶啊二中的。
高中时期，也许你还在校时，你会对自己和别人说，我不会怀念现在的高中生活，因为一点都不快乐
一半我喜欢谁是王看高二高20喜欢看。
