支持一集二十分钟以上的请点赞。
刚脱了裤子蹲在厕所一根屎还没拉完就结束了
制作方说他们是认真制作每一集，所以剧集很短。意思就是经典的斗罗大陆，斗破苍穹，武庚传，雄兵连，等等很多都是不认真制作的，所以剧集很长。
我希望导演的命和这集一样短，小伙伴们同意顶我上去
哎怎么知道你们怎么想的，这是想让人看呢还是不想让人看呢，本来也就七分钟刚进入主题就完，我在想你你们小时候是不是缺营养脑子不好使，要不然怎么能剪出这样的片呢
什么玩意 别拍动漫了 每次到关键没有 真有意思 我说这动漫怎么不火
打开手机终于更新了，忽然想撒尿，赶紧去尿尿，回来一看，尼玛放片尾曲了😂😂😂
编剧你脑子有病吧？减去开头跟结尾的序幕每集只有五分钟，这特码不是耍人吗？还认真制作？真的无言
我要给作者寄刀片、同意的给我点赞
这一间屋子能做40集
编导你一年出一集120钟的就行了 别吊胃口 一级 3分钟 你怎么不去申请吉尼斯纪录
星云莫不是要把自己的什么修炼精华元丹之类的渡给影杀救他吧，这集我能看一百遍，求快点出第二季，多点宗主和影杀的剧情~
小导，我不是说你，一次了，每次你都这么短，你是☞真☜78短，和片段一样，五公分，你们说这不是不真的
"我有个朋友，跟这编辑差不多，也是爱编作做，去年走的，走的时候并不安详，尸体在太平间抽搐了三天，火化时烧到一半还停电了，拉出来晾半天再烧，烧得滋滋响，居然还诈尸了，喊着没有死，嘴里还在嚎叫，烧了一整天才烧完,烧完以后上了灵车，出门就翻车了，骨灰洒了一地，还被风吹走了不少,刚想把剩下的扫起来，迎面来了一辆洒水车，并且洒水车一边洒水一边还播放着今天是个好日子..家属坚强地忍住没有哭，甚至还有一个人笑出了声。后来只埋了一个衣冠冢，家属还在坟前跳了一段c哩c哩，走后一个雷把墓碑打碎了…"
你们剧组就继续伤害吧，我们克已经被伤害习惯了，斗破一年更新12集，你这就来个每集都是预告片，让暴风雨来得更猛烈些吧，我都能忍受。
就跟看预告片一样 什么鬼
这些个拍动漫的人就是个畜生，尼玛一个星期才一集，一集才两三分钟，还他妈更新到一半就断了，猪狗不如的东西，你一开始就别拍，拍了不给人看完，拍个屁啊，回家拍你妈去吧
嫣然打不过，千钧一发之际，被星云救下，星云对炎枭下毒，炎绝要杀星云，家主和黑龙急忙救下，引发炎绝要灭青羽世家满门，发动绝招想要杀光所有人，家主为救门人子弟，接下绝招受重伤，星云带着美女远遁走了，嫣然后面跟着，完，待续
