现在国漫就两家好一些。一个是玄机的秦时明月系列。一个是画江湖系列
无论如何，张某都会支持你们，请继续做下去，国漫崛起，张某之心甚慰。
请问。为什么打架前都要大声说出功法名称？？？
奇怪，怎么日漫一点也不吸引我
太乙仙魔录之灵飞纪
看第一集的时候以为是师生恋
我忘记看到几集了，笑死我，第二机季是去年播的吗?
很好看，而且还是国漫很好，我喜欢支持国漫！支持国漫的人顶上去
男的全是一张脸！！！！！
男主角不能太废，不然不好看，主角要无敌的那种然后秒人，才帅
跟斗破苍穹没办法比
看第一集的时候以为是师生恋
这师尊是整容失败面瘫了吧
人物的脸和眼睛能修好点吗？
看完天行九歌之后看其他动漫都觉得不是那么好看了。
不良人的张天师都来客串了？？好。支持国漫。现在国漫越来越好了
多年以后 我躺在病床上 看着这部漫画 “我都要死了 它还没更新完 ”闭上眼睛都不甘心呀
好看诶，我都被粉了，只能用四字评“妙哉！妙哉！”
莫名感觉钟鸣好man哦
这眼睛画过头了，亮瞎我的眼了。难看死了，看着都不舒服。
人物这么丑 是在看不了啊
这是我见过最丑的女主~没有之一！
眼睛差评
第一集背景音乐是什么
因为忘了片名，苦苦找了一年的动画，今天终于找到了，满眼都是泪
能把眼睛换的自然点不，看着别扭啊
哎！国漫往往死在更新上！要么一开始就别出
导演是死了吗，还不更新
大眼睫毛根根见肉。眼神迷离得让人分不出是谁
这是我看过动漫之中 人物最丑的了 太恶心了 棺材脸么 那么长
很正宗的仙魔剧 加油
女主好漂亮啊你们说好不好看
我觉得的挺好看的，人家要时间制作，我觉得已经算很好的了
都是一个妈生的，男女同个脸
穆王之王的人物比这里的好看多了
人物我已经分不清男女了。。。能用心点画吗
什么时候有第二季。。。。。。
我怎么觉得只有第一集可以 其他剧情狗屁不通
看着他们师尊怎么像情侣
画的也太丑了吧。。。
画风不错，就是眼睛有点太吓人了。
觉得拍一个真人版，可能会更好看
开头片有点不怎么好看啊……
不太喜欢这些人物的风格，脸型跟眼睛不对胃口
这画风！表示非常的无奈！！
这美瞳也太难看了些
眼睛确实很奇怪
第三季什么时候上演呢？我都等的睡着了
其它各方面都不错，就是这人物太丑了，尤其是睫毛，也是醉了
好像男的都是长得一模一样，
主要是眼睫毛太难看了
21集 看不起了 错误代码 （30251，1710404）
感觉龙易好呆又好傻，只不过和霜凝在一起还挺配的
那眼睛恶心死了，还说好看
支持太乙仙魔录，赞！
好是好看就是更新太慢了
好看，只是有时后看到人物的眼睛好怪，单中国的动漫满好看的！
我总感觉钟鸣和冷霜凝是一对
男的都一脸，傻子。。
钟鸣对冷霜凝好像是真心的喜欢
女主制作也太丑了吧感觉有点老相
第一集有点辣眼睛，但后来的剧情真的好好看
感觉这动画这么怪怪的，画面有时候有点僵硬，是不是就我一个人觉得
超好看！一天把第一季追完了！为了它充会员！
好狗血，呵呵。。。。。。。。
太喜欢了，有没有壁纸或海报？
女主画的太丑，不好看啊
怎么男的都长的一个样啊
怎么突然就晕了，这画风不是我爱的
实在看不下去，刚开始就看不下去啦，眼睛比脸都大，剧情刚开始就没兴趣
好看是好看只是我感觉长都一样一样的，同感的有没有
人物眼睛直接就笑喷，这种渣还拿出来？
不更新了吗？好期待啊。。。。。
啊咿呀一哟。咿呀嘿嘿嘿。
被夏磊的声音炸出来的啊
垃圾片子，都不知道作者怎么想的，真心觉得垃圾。
师徒居然没在一起。。。。不看了
期待第二季～
希望快点出第三季，～～
这女主还穿高跟鞋嗄，还是坡跟的……
画风 我勒个去………………
师徒恋，为老不尊，跟徒弟眉来眼去
这人的长相也太假了吧！
红日初升浪漫出行
"我要问下导演,这任务的脸是怎么回事,好好的一部动漫圈毁在这脸上了."
画面太差，人物都一张哭脸
人物长的好好看，一看都想吐，没法呀。
你你你，想对本大仙做什么？
什么时候播出啊希望能够快点
开始我以为是师徒恋，就像花千骨白子画一样
哈哈
话说林芝不是菌类吗怎么会头上长草
好看吗？不知道你们有没有看过妖神记
为什么男的都长的一样？难道是葫芦兄弟？
主题曲的名字叫什么呀
""
画面做的好漂亮，喜欢
推荐你们去看《墓王之王》，也是国产动漫。很好看哦
第三部到什么时候出来呀
是很好看，就是好久没更新了，啥时候更新呀？
