大家知道有什么好看的国产动漫，推荐给我看一下。
麻神和辣神是一对好朋友，他们的组合叫麻辣豆腐皮！
谁和我一样不玩麻将却喜欢这个动漫？
虽然那个队长是激将法，但也表明了这个**的肮脏
这是胡三六九。我不会打麻将你也不要骗我。
快出第二季，快出第二季，快出第二季。
奥斯卡不是做火腿肠的吗？
什么时候能有个乒乓球的动漫
这动漫反映我国内部情况非常明确，事实如此
中国无所不能，样样精通
，，，看个动漫还得先学下规则，，，呵
不更新，我连麻将都不知道怎么打了
麻神漫画都好久不更了
我不打麻将！
有没有动漫可以推荐的。
还有什么好看的动漫吗？回复我。谢谢
……只适合这样的动漫
快出第二季否则我就举报了
配音.......好熟悉
这配音团队...我甚至以为我在看爱神巧克力
奥斯卡？不是斗罗大陆里的……
我喜欢名侦探柯南，因为一集死一个日本人，我喜欢海贼王，因为一死死一船日本人，我喜欢妖精的尾巴，因为一死死一村日本人，我喜欢世界末日，没过几秒，日本岛没了……
麻将还有比赛66666
这动漫不想说剧情 就说时间吧 太短了要不你两集放一起播吧 
說事話我從一開始就沒有看過日本動漫，不喜歡日本話風動漫不喜歡日本話的話風，日本鬼子話風太TM難看了
还有人看这个吗？真的想问还有人看吗？
打麻将能导致很多身体上和别的问题，可以的话，不为为好。
最近才发现的动漫，原来早就出了，为什么现在还是不出第二季呢？
中国的强大，麻神继续努力
""
麻神是什么，这个好看吗？
这是不是亚索呀
这个剧情真的迷 要我就直接回H国了 无语看的
这比那个天才麻将少女好看
""
为什么不更新了呀。？
居然还有这种操作。佩服佩服。
第二季什么时候出呀呀呀
搞不懂，打个麻将跟混个黑社会一样
哇都是几年前的评论，没有18年的吗
劫持飞机，600人。什么权限可以放了李全
不是说让方若接麻神之位的吗，怎么现在还在与别人打没在联赛打
第二季多久出
厉害了，我的哥。。。
沙发
多久才出第二季啊，我都等的不耐烦了。
恕我没有看到国外的选手，我只看见了几面国外的抹布
瞎编醉了，麻将还有比赛。
宝宝要和它一样的集数
woc 这声音怎么这么像江浩一的声音啊……
这第七集的九条有多少张？？
麻绳？对不起。我看错了。
你为什不叫赌神啊还麻神
应该有有第二季。。。。。
好看吗？？？？？？？
其实我是冲着封面进来的，大家相信吗
时间再长点就更过瘾了
还不赖嘛！……………………
除了短点，还是很好看的。方老果然是麻神啊，超厉害有木有
国产的还真差，如果换成别国的就不同了。主角太浮夸。编剧脑袋太网。
被打的感觉
还有第二季吗？。。。
人之初性本善坐着不更是坏蛋你不更我不看看你以后怎么办
国漫越来越厉害了
"有什么好看的动漫
回我"
一集很快就没了
5438，，，，，，，
算了我也说两句吧他那个音乐缩短一点内容弄多点
""
支持国产
快点根新好吗
我最爱就是麻将，好期待这部动漫
有什么好看的动漫
应该还有第二季吧，很好看的，快出吧
这不是应该叫雀神？1111111
那个日本妹子漂亮，是不是
飞机上还有疾风剑豪。
哈哈哈麻神球神，国漫还要再来个什么
感觉还不错呢
我非常喜欢，很好看。希望有下部
这部动画有女主吗。。。
什么鬼啊！2018还没更新？
还行，虽然人物外貌有点丑。
这国漫虽好看，但更新太慢了
看入神了，可是一集太短了
国漫就是国漫，和日漫没得一比，动作迟钝，画得不好，好像。。。。
日本动漫有部天才麻将少女画风做得还可以，所以国漫加油！加油！打麻将的时候感觉还是很帅气的
她们是在凑十分钟
配音，台词，剧本都太俗气了。。。像菜市场买菜讨价还价一样感觉，动漫就该有动漫的幻想风格。。。。配音，台词，剧本还是纯情点好，现在的国产动画感觉总是向现实草根方向发展，还老是加什么现在的流行语啊什么的，感觉脱离了动画的本来意义。。。。应该朝想象中的生活发展，给人们展现一个不同的世界。最后这动画估计是参考过天才麻将少女，但看的感觉完全不同。。。
中国麻将，博大精深。
把广告用来看吐槽的我感觉很好
评论和弹幕少得可怜
麻将爱好者
看主角受气的，直接去日本发展算了，中国人坐上日本第一的位置也不错
奥斯卡哈哈哈哈
第二步多更新？？？？
扣扣麻将什么梗？有大神知道么
我觉得戴九铜面具的是顾丹阳所说的K。
麻神第二季什么时候播放呀
第二次看了，什么时候第二季啊
