有谁跟我一样是看了漫画再来看动漫的吗？
好吧其实男二是留给我们观众的， ，最讨厌男女主秀恩爱了，就是可怜电灯泡们，不过就是喜欢男二，高冷又帅
假如拍成电视剧的话，我希望是郑爽拍因为郑爽拍过类似的就是微微一笑倾城我感觉那个微微和林素素这个角色很像，假如她在还会火一把演的话也许还会火一把赞同的点赞吧！
这个还好了最起码还是动态的，之前看的《猫妖的诱惑》和《通灵妃》那才真真是只加了配音。喜欢明月大大的声音是从喜马拉雅有声开始的，动漫里听到明月大大的配音很是意外呢，不过希望女主是念汝来配会更好听😘😘😘
配音挺好的，情感比较到位，但是感觉画面还不够流畅，看起来挺怪的，希望国产动漫继续加油呀！
素儿到底跟谁在一起了？要是不跟太子在一起😭😭我就弃剧！
这个动漫版的处理的没那么流畅，画面还可以，细节处理没那么细，女主的配音可以换一下吗？😂莫名的别扭，应该再甜一点的。总之还是抱了蛮高的期望的，还有冥儿的声音跟我自己心里的感觉差的还是有点多。😓😓
素儿明明很爱你老公，为什么不早一点觉悟呢，当然那样就不会有后面的发展，漫画也可以完结了，就是可怜了修烨要被虐，唉
个人不太喜欢素儿，也并不喜欢瑾瑜。除了他们，大部分的都特别喜欢。心疼太子和二皇子，喜欢其他皇子。
我怎么看相遇和结婚都是同一男的啷个一开头女主喜欢的不是这个了糊涂中。。。。。。（没看过漫画版）
其实漫画里面的殿下都挺好看的都挺帅的，不过我还是最喜欢太子了，真希望女主早点爱上太子，心疼太子追了这么久
女主的配音有点不配女主的性格，女主的性格特点为开朗活泼，应该配一个声音轻盈萌感的吧。
要是《怦然心动》也有动态版就好了
每次听见那句终于等到这一天了，都会很心疼男主。女主既然都想嫁给男二了，又怎样才会转而喜欢男主呢？
我是玩游戏过来的，第一次看动态漫画，挺好的，一直期待下去
素儿声音不好听…修烨声音好听…
《帝王侧》里的颜值好高(✪▽✪)，爱死了
帝王侧太棒了，不仅出了漫画还拍成视频，作者太棒了，粉丝加一
这么巧，这个动态漫画也是刘明月小哥哥配的音，超喜欢他的声音
其实修烨很喜欢凌素儿，瑾瑜你哪里来回哪里去吧
种出来的媳妇儿
素儿的声音有点失望😔，应该再软糯点吧
皇上有七个孩子，大皇子林澈，二皇子林睿珩，三皇子林修逸，四皇子林瑾瑜，五皇子（太子）林修烨，六公主曦公主，七皇子林冥
怎么是这个？弄成真正的动漫那该多好啊，这样看着好累的说，，，，
偷偷给你们一小惊喜 ，你们想要的大皇子在我这里……………大哥是不是很帅 ，有种汪叽的既视感有木有
都说女主声音不好听，其实还可以啊，听着 还不错啊，你们要求是不是有点高哈
更新实在是太慢了啊😭😭 求速更
"太好看了,帝王侧凌素儿和林修烨他们是天生一对。"
想象中女主声色应该是比较少女的，谁知道这中性声，，，，哎，，男主声还是不错的，，，╮(╯▽╰)╭
欢迎大家去QQ漫画里找帝王侧 很好看的漫画呦 比动漫进度能快点 刚到快一百话了 有瑾瑜和素儿的故事
结局是和皇上在一起吗？（求解答😁😁）
你们有没有其他的漫画，推荐一下。
是时候该叫出超级飞侠了，他们是我的好朋友，每当我抢不到一楼的时候，他们都会来帮我。总部，接通。你好，这里是总部，独秀发生什么事了?我在素儿的视频里抢不到一楼。哦，大钊，你去评论区里帮一帮独秀。
只能说还是喜欢男男cp好
我也只想嫁给瑾俞 太子总有一天要纳侧的，有意思吗？
有点没看懂 素儿嫁的是皇上 皇上是谁
我想说一声 什么鬼 动漫动漫动漫动漫 难道是会动的漫 画风是很美 但是…… 好好好好好别扭呀
