坐等第二季，但愿不是一死就几百年不更新，类似死灵那种。
支持国漫，这是属于我们自己的动漫，难道五千年的文化会没有素材？打死我都不信，只要我们认真了，日漫什么的也就是个小虫子
这个更新速度。。。。我希望我50岁之前能看到结局，我今年20多岁了。。
说好的休息一年然后回来呢 人呢 人呢 人呢
全职高手第二季什么时候放
第二季 什么时候 什么时候
叶秋和韩文清谁厉害啊！
什么时候出掉第三季啊什么时候更新啊？
我已经重看三遍了，还是很好看啊，帅啊😍
苏沐橙加油，把叶修追到手
叶秋沐橙他俩好有爱......
第二季何时出啊，我都反复看了3次了。都一年多了，怎么还不出第二季。
我想看第二季，😭😭😭太他妈摔了，
坐等第二季，工作人员辛苦了，同感
什么时候是第二季？我有一点期待
2季什么时候出呀。都看了8-9遍了。很痛苦的呀
那个战队叫兴欣 有叶修 唐柔 包荣兴 乔一凡 魏琛 莫凡 安文逸 方锐
第二季啥时候能出啊？？？[抓狂][抓狂][抓狂]
官方不出来说说什么时候更新么。希望画风不变。最不喜欢改变画风
希望一直更新
"这第二季呢？？？
这第二季呢？？？？"
希望不要像斗罗大陆一样 超级短 更新慢 希望长一点 不要毁剧
爷爷爷爷 全职高手第二季出来了
在百度上，说第二季在2019更新，好坑
好像是8月份就会更新第二季。
我要看第2季
第二季啥时候更新呀 给个日期呀？
快点出第二秀 希望更新快点
希望还有下一季，永远不会停
什么时候出第二部.......
什么时候出新的，🤔🤔
这么久了还不出第二季吗？
说好的休息一年，一年复一年
第二季什么时候出来呢
还不出第二季，好急呀
这么久了还不出第二季吗？
2019年。忘了几月几日。
不错，好看就是跟新太慢了
第一季都完结多长时间了国语版，英文版，第二季什么时候出啊
听说是不是要出电视剧了
两分钟，真心短，厉害
我看出来了，叶修回职业圈大部分就是黄少天提醒的
我想知道什么时候更新。可不可以快点哒，为了看这个电视剧，我开了一年的会员啊。😭😭😭😭
不好看。你们说对不对
手速疯子加心脏战术祖师爷上线了
第一季和特别篇看了四遍了，四遍了，大神们，求求你们出第二季吧，等的快死了，快死了，可怜可怜吧，都三十四了还再追动漫，大哥，快点吧。
看的我热血沸腾啊，太精彩了
还可以，挺好看的，啥时候出第二季
支持国漫，希望以后国漫可以出产更多更好的动漫。希望全职高手越来越火Come 国漫
还更新不，不更新太可惜了
有点坑，一集漫画要一个星期
好有爱
快点快点更新
4月27号更新特别篇
快点更第二季啊，才三集
快出第二季！！！！！
4月28第二季😍😍😍😍😍
第二季等
叶神太过于强大了点吧！
为什么这个不能更新快点
要看叶秋横扫荣耀。快出第二季
叶修说休息一年，全职高手的小说全看完了。，
2019了 快出第二季 啊啊啊啊啊啊啊啊啊
2再不出，真人都有了，杨洋饰叶修，哈哈期待中~
根本不够看啊
第二季 什么时候出啊
不是说今年出2吗！！
我总感觉是为了更像真人版所以改了画风
快更新第二季
什么时候能更新下第三部啊
到底什么时候更新啊！，
第二季什么时候更新啊
我想问一句 中国的动漫是不是都是 12级
在那看小说，我没找到啊，这个确实好看
老韩的对手，永远都只有叶修
明年才出[流泪][流泪]
网游不充钱买装备吗
等的好着急啊，快点播
杰大声音好听爆啦啊啊啊啊
什么时候会有新的啊好想看
2019年定档第二季 我等你
十分十分的好看6666
好无趣的国漫，特效倒不错
什么时候出第二季好着急
全职2大概今年会出，不必太着急，据说制作方换了，还不知道出来后咋样
超级好看，😂想想别的动漫，什么喜羊羊灰太狼。
有这个小说，我是看过这小说才看着动画的，可是为什么不更新呢
赶紧出来几集吧，好着急啊
靠什么时候更新呀？吗的能给个时间吗？
沉默寡言黄少天，废话连篇周泽揩
全职高手第二季什么时候出来呀？？？？😭😭
提个意见，能让叶修洗个澡换套衣服么，不会从头到尾不换衣服吧
快点出笫二季
没有钱，过来看这个。
知道一集要花多少人力，才力吗？
还没有出来呀？💔💔
现在19了，都是更新差不多完才看的 不知道能等到不∩∩∩∩∩
第二季19年出，等不及的可以去看同名小说
其实挺喜欢网吧老板娘呢，不喜欢扭扭捏捏的女人，
头发都等白了，还不更新，
