我靠，兄弟们，自己国家的片子能不顶吗？
吕布太直了，不过历史上他挺帅的，迫于时代要找大佬，形象化了
啊三国演义最爱，我最喜欢吕布了方天画戟厉害啊，就是命不好啊
三国武将排名，一典二吕三关羽，四张五赵六黄忠
曾经，我是五年级，如今，我大二
还有人记得这动画片正火的时候，学校附近有卖5毛一张的三国人物卡的吗
我感觉三国演义没有真正的正与邪 对与错。角度不同而已
大河向东流啊，谁是一楼谁是狗啊，咦嘿咦嘿单身狗啊，永远没有男朋友啊，对着一楼一声吼啊，飞起一脚踹他头啊，咦嘿咦嘿踹他头啊，把他狗头当球踢哇，还好一楼不是我哇!
可惜赵云没有和吕布打过
讨厌刘禅的点赞蜀国都应为他耽误了
宁教我负天下人，休教天下人负我......
赵子龙我偶像，我觉得三国里最厉害的就他了
三国里面的没有好人只有各为其主还有为了生存的人
为什么 日本。评分那么高看的人少评分高。 中国动漫 为什么没有那么高啊。还看的人还多
童年呀 那时候最喜欢关羽了 他死了我就没看了
快10年了 太快了，当年天天7.30准时看少儿中国动画。才两集 哎，
动画比电视好看多了，不废话
我觉得这个可比最近出的三国演义好看多了
能不能尊重一下名著，这样下去名著都被你们毁了
小学在电视上看，现在大学了，又来看，感觉很好的一部动画
刘备，还真是的。兄弟如手足，妻子如衣服，什么话呢…………
"貂蝉是1,2,3,4集
大乔没出现过
小乔是22集27集和30集
孙尚香是28,29集"
记得之前看过，影响特别深刻，一直以为是日本拍的，妈的，我的个智障，
诸葛亮的老婆黄月英呢？
三国最喜欢的武将赵云！！！
都是满满的回忆 想念小时候
上小学生时候就看过了
谁能想得到，十年前的动画，居然有金篇木篇水篇火篇土篇5个主题曲
还是这个版本的经典，好看，比新动画版好多了
诸葛亮真是太帅了 小时候看过这个 最喜欢诸葛亮了
很不错呢动画版，三国演义赞。完美演绎角色。
最喜欢关二爷和常山赵子龙
我喜欢刘备，关羽，张飞，黄忠，马超……蜀国的人
动画版三国画面非常精致，但全被人物塑造毁了，人物性格形象脸谱化极为严重，说到底还是摆脱不了“动画片是给小孩子看的”这种思维。
第一次看 动漫版的 2018.4.19
小时候看过一次，那时是觉得好玩，而现在却是为了考试
哈哈哈哈哈哈哈哈哈哈哈哈哈
很多年前的动漫，片尾曲好听，平时也会哼哼
我小时候看过 片尾曲觉得特好听 动画也不错
记得最喜欢以前买干脆面，集里面呢个卡，然后看里面的小故事了
"Chicken （鸡）
Cow（牛）
Horse（马）
Ocelot（豺猫）
Pig（猪）
Sheep （羊）
rabbit（兔子）
Bat（蝙蝠）
Mooshroom （哞菇）
Squid （鱿鱼）
Villager （村民）
Cave Spider （洞穴蜘蛛）
Enderman（末影人）
Spider（蜘蛛）
Wolf（狼）
Zombie Pigman （僵尸猪人）
Blaze （烈焰人）
Creeper（爬行者）
Ghast （恶魂）
Magma Cube （岩浆怪）
Silverfish （蠹虫）
Skeleton（骷髅射手）
Slime （史莱姆）
Spider Jockey （蜘蛛骑士）
Witch（女巫）
Wither Skeleton（凋零骷髅）
Zombie（僵尸）
Endermite（末影螨）
Zombie Villager（僵尸村民）
Guardian（ 守卫者）
Elder Guardian（远古守卫者）
Chicken Jockey （鸡骑士）
Snow Golem（雪傀儡）*
Iron Golem（铁傀儡）*
Ender Dragon（末影龙）
Wither（凋零）*
（*为不可自然生成）
以下通过命令方块生成：
Giant （巨人；巨大僵尸）
Undead Horse（僵尸马 ）
Skeleton Horse（骷髅马）"
以前每晚7：30少儿频道银河剧场追剧呢
主题曲，好好听。记得以前还专门下载来单曲循环呢
基本就是按照唐国强那版翻拍成动画片的 无论是里面的人物模样都跟那一般很像
喜欢三国演义 从8岁一直看到13 喜欢三国演义 的顶起
新版的三国还不如这个好呢！那画质……兹兹兹……
卧龙凤雏得一得天下，后边还有一句
简直乱拍，张飞都这么有才，这么会说话，语出成章，乱拍
刘备什么东西都是哭出来的
赵子龙参见陛下 阁下的首级我收下了
喜欢曹操喜欢曹操喜欢曹操
我是大人了，还是喜欢看动画片哈哈！
刘备的配音是谁，太经典了
这些比现在的内些3D的好看多了
有小乔吗。
童年记忆，2018.5.10，回顾。
说真的 这个应该9.0的评分
还是动画版的好看，刚才看了那个真人版的，说话慢条斯理的，看的我心累
去别的网站看真人版三国，结果都看不了，只好来看动画的啦。
""
我发现曹操的眼睛发过好几次光
喜欢三国的请点赞关注
大家站在自己的立场，坚持正义，谁都没有错，错的是这个乱世吧。
一捧江山在掌握
书上的根本看不懂，还是手机比较好
我像说只要能诚心相待，在这一场乱世一切都是撤蛋
吕布这个没有主心骨的家伙
出师未捷身先死，长使英雄泪满襟
这曹操命真大
貂蝉高兴坏了
不是平原县么，怎么成安喜县了
最好看的动漫版三国。
我最喜欢诸葛亮，特别有智谋
我乃常山赵子龙是也！
好看，歌真的好好听啊
当然是赞了
《三国演义》是小说，《三国志》是正史。
请问蜀国五虎上将，分别是谁？
"极端哈日乱打分？？？
这部动画是中日合作，但是基本是中国制作完成的。
这部算是名副其实的国产动画片。别不看就乱打分啊？？？
这都什么人啊！国漫就打低分，日漫就给高分？？？能不能理性一点啊"
国漫做的越来越好了，支持国漫
我认为，动画版的三国演义还挺好看的
这部动画三国有字幕吗？
时隔九年我有重温了一遍
记得小时候吃干脆面集里面的卡片，从此就喜欢上看三国了！
貂蝉好美
第一集就看不下去，百年不见的乱世？大汉800年好不好
原来貂蝉这么了不起，
多少年回忆了，想当初看才上五年级，
到时候在求丁原向王允提亲娶了丁原岂不快哉
王允是谁?为什么要帮曹操，是不是那个司徒大人，是不是董卓的内奸
张飞和关羽，赵云，最喜欢的是赵云。
那个，大家，我想问一下，这个动画版的和原版差距大吗？
诸葛哥哥才是最强的，哈哈
我觉的吕布有点可怜。
儿时的回忆，每天放学都在等
我只是奔着主题曲和片尾曲来的
三国中我最佩服曹操，我觉得作为男人就要像曹操那样
这个版本全啊不过这是日本人做的动画。。。。。。2018:11:7第4次看三国系列 新三国两遍 这个动画2遍看完准备看唐国强演的诸葛亮
剧情太仓促了吧，见面不到几分钟，就结义了。
演得太好了，真是武术高手
