学学，画江湖，全职高手，全职法师，斗罗，狠西游类似等等嘛。。
我敢说，看这个的动漫的，没有女生，男的多，而且个个都是人才！说话又好听！！是兄滴！！！都来砍我吧！！！
目测会火🔥。。同意点个赞
什么鬼 这种都拿出来放
感觉挺不错的 关注了
潇如姐姐的漫画耶！我追过，可现在好像搜不到了呐……
你说错了是妖神记好看的
太慢了，加油啊！快点加油啊！
好像《自来水之污》里面的一节，简直一模一样，女主名字都一样，结局发展也都差不多，现在好像改名叫《李泰和方小甜的平行世界》
好好制作的话 会火 都是大男主的武侠动漫 目前没一个属于女强的 期待
国漫正在进步中，实属不易，支持一下！
十几分钟的也配叫动漫 简直了国漫真让人失望
这是什么鬼画风啊，能学学妖灵记吗
表示看不懂，，，，，，
漫画叫暴力女王
眼睛白长了，人家都说了动态漫画看不懂？？？
斗罗大陆，一个武魂的世界，我都听了800遍，吐了
妈的齐小草根本为了钱女主瞎打人，女主是大反派
国漫，还能不能出点七分钟以上的了？求解！！！！！！！！！！！！！！！
什么鬼！看书么？骗老子进来
这动漫看到我好累，无语..........
"封面骗我进来的
……"
分享你们的照片最喜欢的
我看到主演是女的，我直接退了
就不能出点好看的吗?
虽说国漫要支持，可是就算是动态漫画画风那也太差了点。如果都是这般模样就拿出来，不如重新制作。
去看漫画吧，都更完了
还带一帮女的做反派
这是动态漫画，不是一人之下一样的动漫，类型不一样，没必要喷吧……
有人说国漫不易，不做到完美不如不做，要做就做好点，除了剧情可以，其它的什么都不行，这动漫真心觉得次，麻烦要做就做好点
国漫不思进取垃圾中的垃圾
粗制滥造啊，影响收视率呀
不喜欢可以不看，没必要拉低别人，这样并不能体现出你的优秀，相反，这会让人感觉好一只狂吠的星星！
做成3D的应该可能会很好看
做个默默无闻的废物挺好
女主方小甜，男主李泰？等下剧情是不是女主又喜欢上炫童
画风也太有线条感了。加个美颜
现在的漫画都是这样偷工减料的吗？看着都不知道怎么形容了！😶😶
哇 这么小都不放过..十年后也才十七啊。。
封面想我的英雄学院的八百万
国漫时间段，级数少，第一季完了半天不见第二季！
画面感差了点，其他的还不错了，作为一个动漫迷，支持国漫加油。
不管如何我都会支持你，不论别人认为你有多不好……潇潇潇潇如
看不懂 名字吸引我进来了
谁有好看的动漫介绍一下 谢谢
又是李泰与方小甜的故事，，
导演是傻子吗？这么恨男生？我看女生才是傻子
李泰和方晓小甜的平行世界中的暴力女王
垃圾，简直无力吐槽了，国漫无望阿
虽然我知道是动态动漫，但是感觉，做成这种风格就是垃圾
这画的太少了吧，看不进去啊，一点动作都看不出来
看这种类型动漫我还不如自己看漫画呢
污水肌肉发达，真够傻必的理由
哟，带配音的连环画，厉害了
太劣质了？？？？？。。。。
这种风格，一时半会接受不了，可能是刚出来的缘故吧！剧情很好！值得一看！
这是图片快进好么、别给动漫墨黑
"我昨天还在看它的漫画，今天一觉醒来，它居然就出版电视了
😱😱😱😱😱😱😱"
12分钟的动漫 有5分钟的歌 都不知道你们在想什么
咋这么多杠精啊。。。。。
动画？我不看，还是算了
做这种漫画不亏本吗？
国漫的武器。为什么要有日本刀，不觉得奇怪吗，画的是国漫。武器却是日本刀。
不咋看得懂’而且不喜欢这女主，别人守护你家10年，而且不是他，女主可能早家破人亡了结果最后居然恩将仇报。
评论里说不好的，眼睛如果不用可以捐给需要的人
跟风其它好动漫。。这么呆板看个毛线。。
emmmm我去这画质，告辞
兄弟 你们这是在毁了了部漫画 做好再出来 应该不错的 这样就放出来真的 太毁了他了
这个太随意了，不喜欢，人都是线条，学学斗罗大陆动态版，我比较喜欢那样的
2分11多的片头全长12.34在加片尾，口水开头。
国漫感觉都没有几分钟啊！前后太长
都说是动画片都不会动的算什么
这个人物画风1分 不给力啊
这漫画吧！就嘴巴动两下
编剧没学好，谁都别怪。
有意思，看不下去了。
没VIP真不好玩哈哈哈
国漫？别出来打脸了行不行，要么就别发表，五分钟的剧情有意思吗？垃圾
真的不知道怎么评论这种动漫，是另一种独特的风格呢，还是粗糙呢
果然，我们的国产漫画已经开发到天峰了，不错不错
監督人付費不復讀的:的厚度還發忽然辦法還發hi嗯西大你把出發居然能還發i惹怒發哈扶額哦就等哈等哈人哈ID雞肉卷方法恢復恢復蝴蝶年紀大就超大hi等級分減肥減肥就放假就服你方法，就飛機飛;超級粉，就飛機放哪小捲髮就發不急飛機飛機飛機方法哪哈超級人機超級粉飛機方法急急急飛機，飛機雞肉卷發酒瘋那你參加從哪相機第幾集，你刺激分;ifi鵝塊，你發居然;飯卡日系額快遞發i自己，
找不到投资人吗？这玩儿，勉强接受
封面是抄的《杀死比尔》？？？
我看过漫画，潇潇潇潇如大大的
推荐看看，纳米核心第三季
这种动画？也出来？停止吧
自来水之污？现在不更了？
做到一个动漫水准再拿出来
哎，完全是看漫画书。现在的动漫就这样了吗
小甜和小染是百合吧……
我了大半天都没看懂说啥
难看，垃圾动漫，一失望
进平静的心想耍刀就刀。
难道我穿越了，70后版本
不好意思不是我家具店
只有我喜欢片尾曲嘛？
这不是李泰和方小甜嘛
大家觉得怎么样呢？
这特么是ppt不是动画
太单调了，......
