6的一匹，地丑对应（天美），哈哈，沙发
孙猴子出来了，同意的。顶一下。
终于看见猴哥了
没想到你是这样的莫甘娜哦⊙∀⊙！。已被哭死了
地丑😂😂天美的兄dei😂
猴哥出来啦，顶上去，
猴哥终于要付出了嘛，
蔷薇确实被男女通吃哦~~
只想问，第五集末尾的歌是什么？
"终于看到猴哥,让猴哥会话他们"
盖伦终于放大招了，激动了
更新续集！！！求更新，同感点赞！求更新，之前也挺太长时间了，不过还挺有意思的，求后续能快点
猴哥出厂，次次烧经费啊
"卧槽，小伦大宝剑都出来了。
天下无敌了"
草丛三基友就差皇子了， 他什么时候出来
银河以北，吾彦最美。
花毛钱，神马都好，就是要你钱
时候更新 想看一千年后的银河之力和吾王彦的生活😊
别出游戏了😂😂😂
银河以北，我彦最美。
想用科技来解说神力，结果说半天也没说清楚
镇魂街的主题曲
不要问我什么时候上线？因为都是我瞎编的，笑死我了哈哈哈
为什么不更新了 好像知道结局
可以 😂 期待下一部 小轮该崛起了
你己瞎编到巅峰时代！
我居然傻乎乎的，去找了游戏。😂😂😂
666，支持一波啊，大宝剑屌屌的
好想好想给你一巴掌 但是我下不去手啊好像
皮一下很开心⊙▽⊙哈哈哈
雄兵连OL怎么下载😂😂
愣是把lol的动漫强行搭在刀上，刀的粉就这点出息，靠lol博出名
还走老套路！！！估计出来也没人玩。。
第一个幽冥 第二个头号玩家 不谢
能不能更新雄兵连了，丫的啥破第二季根本不搭噶好么？
地丑😂😂天美的兄dei😂
不错哦，挺好看的！！！
预告啥呢！！！！！2！！
厉害了老铁，特别喜欢你吹牛逼
人在塔在电脑在的集合了
这部电影叫啥？。。。
花了几千块，没啥意思
完美解说。老铁没毛病
乾坤完了是啥，大家谁知道
""
我就呵呵不说话，你继续啊，不要停啊，你要不更新你tm的就瞎了啊，😄😄
大爱剑魔阿托，有想法一致的吗
结尾的歌左右耳朵来回转
为什么雷哪刚开始喜欢加文现在又变成大圣了
"好帅，好喜欢
支持哦，加油。"
猴哥要来了
这就是你放了三分半钟的前情回顾的理由
火钳刘明。。。。。。
银河以南，彦最好看。。。。。。
这他喵的不是玄学 是他喵的科学
明明就有手游啊叫超神学院
那精神文明体！？？？
揍他！！！！！！！！！
ho猴哥 出来了！
说来讽刺联盟上的角色做成动画在根据动画做成推塔游戏整半天不还是联盟
小空空要出来了
我在想如果拍真人……哎，算了，我怕……算了算了，不敢想。
还不更新呀，什么时候才能更新吗？
我去我差点以为是真的
那日语怎么说啊？“汪”。哈哈哈小编666。
可以举报嘛？不存在的动漫
天美……地丑，哈哈哈，真皮，蔷薇男女通吃，任性，莫甘娜大翅膀子，真香😂😂😂
哈哈哈哈，可以啊 😂
我要告你造谣，诈骗罪
我服，好一个（都是我瞎编的）
地丑对天美，666，我服
见了猴哥就跑，也是怂货
50级的葛小伦为什么能打死80级的饕餮 是主角光环吗？
你只配问我神卡尔的屁
我家之绝唱，他家之离骚啊
猴哥就是神，雄兵连中的老大
希望雄兵连尽快更新！！粉丝啊粉丝啊！太喜欢了😍！！
我想知道皇子什么时候出来
我天美再出几个皮肤直接把你工作室给买了😁
片头曲什么歌？？？？？
音乐响起 想起了于禁许褚
这就是英雄联盟，葛小伦=德玛西亚之力，刘闯=德莱厄斯，瑞萌萌=瑞文
估计已经倒闭了吧！去年就开始就没更新了
末将于禁愿为曹家后代赴汤蹈火
dicou 好魔性😂
牛逼牛逼 一本正经的胡说八道 九就喜欢这样的
我看过超神学院之雄兵连
"挺好看的
求bgm"
"求新篇可好？
弄得人心惶惶的。"
一定能火，我要入股。
改得我看不懂了！很早就没看了。好好的，改来改去
这个游戏在哪下载谁告诉我
背景音乐是什么啊？？有人知道不
雄兵2 1月24更新
"吾彦霸气回归
我是你们的天使女王彦！
国漫崛起，就算等到老去也希望超神学院一直更新下去直到盖伦和彦有一个好的大结局，各位并肩作战的兄弟姐妹都在！"
剑圣剑姬vn似乎蒸发了
拉倒吧竟然不存在干嘛乱说真的是
我就是想知道100万跟数十亿哪个重要
什么时候更新，快点更新
我在想卡尔放出的那个大招到底会怎么样
