声音一出来就知道是张杰
喜欢，但是希望不是兄弟，不要毁原著啊
这片没有女主吧。有女主的话，就心塞了。
最喜欢没有女主的动漫了。
可怜的梅树，种了挖，挖了种。也经活
为什么我会觉得，西南王跟皇上是一对……
不要再问女主是谁了！！这是“兄弟情”啊各位！
"这两天听到一首歌，惊鸿一面，觉得挺符合月渊的
年少初遇 常在我心
多年不减你深情
江山如画又怎能比拟
你送我的风景
史书列豪杰 功过有几许
我今生何求 惟你"
第一集没有铺垫直接讲故事，应该介绍一下世界观什么的，加强带入。
原著党觉得很好看了，大白对奶渊真的超级温柔！画风还是很细腻的，人物都细致啊，尤其我觉得瑶儿超级好看的好嘛！这种陪伴、守护的感情真的很好！
越来越喜欢这部动漫了，我现在开始期待下周一的到来了！
看着吧皇上一定是个女的
小奶渊和小白月真是相亲相爱，好甜啊😄😄 青梅竹马的感情真好～～ 怎么还住隔壁呢，与其隔着墙相思不如住一起呐……
双男主，兄弟情，少说两句吧，知道就好了，别问女主了，没有女主，问女主真的很烦，我是多磕一天糖是一天。学学镇魂女孩。
这都是怎么了，动漫一个个的，都那么爱意浓浓，真是让人羡慕，有那么一个信自己，爱自己，帮助自己的又不背叛，处处为ta着想，真难得，好喜欢皇上和西南王呀！
表白制作组，穷却很用心了
"那棵梅树种了又挖
挖了又种
这部动漫就这个梅树最委屈了"
没有女主的吗？怎么没见到
你们都是看过小说的吧 哈哈哈哈
怎么说呢？所有的动画片感觉都比人演的好看
充满着浓浓的贫穷味道。。。。
终于知道皇上是怎么弯的了
个人感觉拍的不错啊 毕竟小说很长 但是剧集不能太啰嗦 个人觉得拍的不错
啊我看到好多人说画质，人家资金穷也没办法，已经很好了。起码可以看出虽然穷可是很用心吧?可以说这是中国第一部那啥的漫了吧?改剧情也没办法不然过不了申。。。现在国内的情况就是这样，但是在不久后肯定会变好的，现在大家就都忍忍吧。它的热度真的有些低。。大家可以都帮忙宣传一下。
没有女主吗？要是没有女主就太单调，不喜勿喷。
刚看完原著，希望不要改动太多，白月超宠楚渊的
大白是皇后命，哈哈哈，错过的情节呀！！！
人物配音都很好，就是场景环境配音太弱，还得加强，支持加油
要高考的我，决定追了，不要问我为什么，因为我喜欢😂😂😂😂
有谁能给我推荐几部好看的动漫
不知道为啥，感觉看着有点恶心。
敲黑板，这是danmei，主角是他们俩是皇上王爷，是奶渊皇后，但是男女也有，不是男男才是真爱，而是，恰好，恰好是他俩，无关性别，男女也是真爱，对的是人不是性别！
没女主，不是一部正常的动漫，目测不火，拜拜。
哈哈哈哈哈哈皇上这是吃醋了吗 好有趣啊
求别在这个动漫里刷无关的动漫，别给自家招黑了，恕我直言，你家黑粉已经够多了
皇上，王爷在你心中当真是娇艳吗？！😂
终于等到了，我还特意看了原著，超喜欢奶渊😊
编剧，你要是不把楚皇和西南王配一对，姐们要给你寄一箱刀片😏
这是男男主还是男女主啊？
和我一样每天跟踪看这个动漫的有木有。😍
好看，期待持续更新，人物情节都好棒，颜值也高
特别喜欢看这种拜把子的兄弟情深
这动漫我怎么感觉gay里gay气的
西南王这么帅，为什么小锦总是说他秃顶呢
可以说我很喜欢这小说了，动画能出来，我是真的很开心
就问一句话，这动漫有没有女主，，，，
皇上王爷你两这是易容嘛😏😏😏
哇拍成动漫了！！！！
国漫我贼喜欢！现在国漫崛起了
没看过原文，能告诉我，谁上谁下呀。
只有我看到开头曲的雨滴石想到了灵契么
小皇帝和西南王真是天造地设的一对啊，好甜蜜
大家都忘了么？我西南王段白月可是皇后命啊hhhhh~
为我笑语阑珊大大打call！！！！表白楚皇楚渊。表白我们王爷段白月！表白我们的遥儿！我们的九殿下叶谷主叶瑾！表白我们的武林盟主沈千枫！表白师傅南摩邪！表白温大人温柳年！表白赵大当家赵越！表白我们的第一美人七月山庄小公子小花妖沈千凌！表白我们追影宫秦宫主秦少宇！还有并排第一冰山美人吟无霜！表白我们的连城孤月！表白七绝国王慕寒夜！表白七绝国皇后黄大仙黄远！还有萌萌哒少宫主小凤凰！威风凌凌哒雪狼王！高冷哒雪貂！和我们的鬼手神医师父和星斗真人师父！还有我们的吉祥物追影宫影卫们！！
没有看过原著，不过是男男我就放心了，现在我已经看不了男女主的了233333
那棵梅树老是移了种，种了移，不死真是奇迹啊！哈哈哈哈……
"挺羡慕他们之间的感情，不是兄弟却胜过兄弟
他为他守护这江山。"
今有友谊的小船说翻就翻，古有爱情的小树说挖就挖。😂
可怜的瑶儿，又被当劳力了😂😂😂。心疼一秒钟
确认过眼神，是我gay的人
难道就只有我一个人，希望他们两个在一起！
"可惜了，这么好看的男主角,却没有女主角（ˉ﹃ˉ）口水"
敢问导演、女主何时出现 ? ? ? 最后一集出现吗 ? ? ?
为什么我感觉这动漫是男男……
太棒了，超喜欢这个画风，大爱啊
剧组是很贫穷，也很需要大家的支持鼓励，小伙伴们到微博@七灵石动画，给他们一些鼓励吧
是腐剧吗？，不是腐剧我不看，封面挺有CP感的😊
这部动漫的名字是什么
神医会不会是蓝姬？希望皇上和西南王在一起
哎呀等不及啊 啊啊啊啊 好想看他们想见啊啊啊啊啊急死我了😭
男生很好，我很喜欢，男生和男人在一起恋爱好看
好看呀好看呀，无怪乎瑶儿是团宠呢，画的俊美配音也好听，再去翻原著看的时候脑子里的瑶儿就是这个形象了～～～就是大白和小渊再多些宠溺的片段就好了……
明人不说暗话，我喜欢腐剧
歌是伦桑的山有木兮，表白老大
难道你们就没个发小啥的。为什么男男关系好，非得想成gay啊！
我就想知道这是不是木有女主，是的话我就看下去了
截的几张图。
西南王皇帝是一对，原著如此，不要一进来就找女主，抱歉，没有！！！
这个皇上怎么看也不想个女的啊！哪来的感情线？我去
好看的为什么都没有女主，也是醉了！
说句大实话，喜欢看有暧昧的 有肉的😂
这两个主角怎么看着是谈恋爱一样！断袖吗？还是有一个假扮男人
我只是希望段白月取下自己的袍子裹住楚渊那一段不要删啊
更得慢能保证质量就好，总比有的4分钟一集的要脸，我都想不明白那些4分钟一集的渣片制作人要有多厚的脸才敢往出拿
"这可以看成男男吗
（ &#039;▿ &#039; ）ヾ(❀╹◡╹)ﾉ~"
"奶渊最让人心疼的话：
1.谁先死，算谁赢
2.这西南府却不要我了
3.带我回西南"
这剧没女主，都看到这么后面了还有人提女主，，，故意来恶心人的吧……
这种男男的也很好看的啊
特别希望这种中国风的国漫越来越多，一直觉得古装特别美特别好看😊
段白月和楚渊是主角吗
都快一半了，皇上和王爷还是没有相遇，俺表示很心累啊😭😭😭
为什么下雨天还要天干物燥，小心火烛……
大白好帅，愿他们的感情天长地久。
我觉得不喜欢的人可以直接走啊，又没有人逼你看，要不你就自己制作呗。
舍不得看啊，怕看完了又要经历失恋了，魔道才更新五集，刚把狐妖和灵契看完，还有什么什么好看点的动漫吗？各路大神推荐推荐呗
我也好拿去哄皇上开心，大白绝对实力宠妻啊
小王爷是女的多好😍跟男主一对
西南王段白月狼子野心，总想当大楚皇后
这两个主角该不会基吧！
不是兄弟胜似亲兄弟，值得一看，世间又有多少亲兄弟可比?
