啥时候看到第二季啊。
听说B套瞎子海博伦可以换一个不锈钢脸盆
有没有玩地下城的，朋友们
其实这只能算同人动漫。正版猪脚是冒险家，是出现在各个时段地方的人，一起追逐着任务和自己的看法(有点类似赏金猎人)，当然现在谜题还未解开，但是剧情偏向于同情使徒把赫尔德列为一切灾难的黑手。现在来说说强者，卡洛索第一，卡恩第二，普雷第三，(本来是卢克第四的，但是和冒险家太早遇见没看出海伯伦君主的厉害)第四卡西利亚斯第五巴卡尔(这个真的是，曾经和几大使徒做对，到打本这么弱)，第六卢克，第七赫尔德(这个虽然在背景都说只是威望才排名高，但是要知道巴卡尔也怕她的魔法)，第八安图恩(安图恩也是削弱版的，我们打的不是安图恩，是他身体里的生物，安图恩早死了)第九罗特斯(这个大家知道在60版本被25级的时候搞死，极度削弱版)第十真猪(削弱版，但个人攻击没那么强，造成后果挺厉害)第十一悲鸣那位(同样是效果厉害，个人不强)，还有就是卡恩(以现在剧情绝对是个不好弄的人)死神(这个在背景是可怕存在给他接受提案的都媲美使徒，但是这货会不会成为玩家敌人还难说)还有就是吉格(这货在地底修炼不知道有没有出场的机会)索德罗斯(算是被淘汰了，剑神便地走)
是不是编不下去了？。。。
伊斯塔战灵会不会加强啊
还有人看这个吗，好冷清呀，我一个人怕……
你们觉得那个帅那个美
还有什么好看的动漫，希望大家可以给我推荐一下，谢谢了！
许愿万世启明星，荒古巨剑
这么久没更新，估计是编不下去了吧
赶快出第二部啥，支持地下城，爱地下城
好不好看你们自己心里没点b数吗？
白色头发的那个男生是白月初的同一个配音啊
在来个第二季就好了这样就可以一直陪伴着我们
这动画这么好看，为什么好多人总是批判，而且配音配的也超棒！
什么时候出第二部啊？
一贯的主角光环，，，呵
没写好有一些地方
瞎子下水道，
第二季多久出。。。。。。
多久第二多久出第二部啊？？？
许愿清泉流响。。。。铁马衣
许愿，只要我能用的史诗就行
格斗家的身材这么棒的啊
等第二
果然是国产一贯尿性。开场结尾去掉 就7-9分钟内容。
感觉看完这个我整个人都被侮辱了，老实说喜羊羊都比这个有趣
这就是我玩红神的信仰。
就感觉第一集鬼手觉醒的时候好帅的场面。后来就特么变逗逼了
感觉红神爆发虽然不过瘾但是看着挺爽要是在爆发大点就好了
请把女枪变成主角之一谢谢
还行
添财的哥哥叫添丁？都是狗狗的名字
"xuxuay
许愿万事腰带，万事裤子"
什么时候出第二部。。
这不就是地下城嘛
请原谅我说话这么直，动漫不咋地，关键是还找祈殿下来唱主题曲
二十集的少点儿啊啥时候能更新呢该有第二部啥的
好看好看，真好看，太太太太太好看，随便都是最好的。
他们三个就是全职高手里面的配音。叶修
好看吗？你们感觉如和
超喜欢，非常支持。
失望 或许有人喜欢看但是不合我胃口
希望多多制作地下城这样滴视频动漫
即使剧情怎样，毕竟是国漫的起步，800万勇士在哪里？顶起！
主角这么废物？也是服了
剑魂1111111111
第二季什么时候能到？
主角变狗的时候是不是很可爱
啥时候出第二部？……
太帅了
觉得帅的点赞
这就完事了？你这是在侮辱我们的智商吗
