我以为是 尸兄 我叫白小飞 同意的点个赞
江小白也不务正业了啊，不光卖酒，还卖起动漫来了。。。
其实吧，只要看过《你的名字》，就会发现有丝它的影子
有多少人是因为云烟成雨来看剧的
👂因为一首歌《云烟成雨》来看这部动画片👀
希望国漫努努力啊。这个是帧数低的原因吗，看着太别扭了
画质很棒，剧情不错，配音到位，音乐优美，非常好看！
感觉这集的结局很完美了，后面还有好几集肯定很虐人，真的不敢看
"中国为一,一部神作可以跟日漫比了"
因为云烟成雨来看的，你们呢？
因为一个人分享的一首歌，看完了一部剧，期待下季！！！！
我是听了云烟成雨，然后来看这不动画片的
国产动漫也就一人之下，《全职高手》，《画江湖》系列，《少年锦衣卫》，《秦时明月》，《天行九歌》，《斗罗大陆》，个人觉得斗罗大陆漫画好看，动漫拍的一般
都别争了小白喜欢的是小离不要问我为什么你们去看封面
这是想表达什么，第一级就让人没有看下去的欲望
一颗玻璃球！一张纸！一颗心！
默默喜欢一个人 ，当看到他和别人在一起有什么亲密互动，也回有点点的 就酸 吧！ 邂逅过后一定很美好！相信自己不差！（情感分析梁QQ2265771249）
抖友啊……因为一首歌，爱上一部剧。
我猜听多人都是听云烟成雨才知道这部动漫的吧，
江小白这酒，我是真喝不习惯，但每次去到超市路过酒架时，会情不自禁把所有江小白酒瓶翻过来看后面那些触动心灵的文字，而且总感觉这些文字是写给像我这类单身狗看的，记得有一次因为翻江小白酒瓶，居然把计价塑料条给扯了下来，捣鼓了半天才给装回去。
听了“房东的猫”的歌云烟成雨才来看的，歌好听，动画也好看😊
我叫二锅头，江小白兄弟加油！
我大重庆～就是好啊
因为这首歌，来看剧了。
看哭了，仿佛感受到了，对自己最重要的人离开的伤痛，心如刀绞，痛不欲生啊！如果现实中遇到了我该怎么办？难道只能哭泣吗？
看到最后心很痛………小离的性格安静怯弱，要有多大的勇气才能变成后来活泼的性格，我懂！我都懂！因为我就是这种性格…命运从来都是不公平的，雨汐看似阳光却很为朋友着想，雨汐没有错。谁都没有错，只是命运给小白开了一场关于性命的玩笑！小白和小离一定会很幸福的，一定…我祝福你们，我叫秀丽，永远是你们的支持者，加油！
"流泪的人有多少呢
期待下一季美好的结局吧"
因为一首歌，爱上一部动漫。
恋作苦雨思，只感目背离，怆寥相思，三年同寒窗，极思六月，更断肠。
都是谁是看了抖音听的歌，来找的视频
我也是重庆人必须给给个赞
好吧，夕雨五岁就喜欢小白了，追画的时候导致小离的父母出车祸，然后高中时候小离喜欢上小白，所以夕雨鼓励小离追小白，总的来说，都没有错，小离父母的死也不能全怪夕雨，小离有点报复心，小白其实最喜欢的是夕雨，从五岁开始，只是他一直以为五岁送给他画的人是小离，因为小离去美国前送给小白的画是五岁时候夕雨送给小白的那张画
还有不有像这样的动画，我还要再看几部才能弥补我的😭
看了一夜的江小白，故事真的好感人，我感动的都想流泪啦
很平淡但又很感动，打了许多字，但终究没有发出来。
你知道有种不能表达的爱 不能言明的爱 不能说出口的爱是什么感觉吗？
因为一首歌又再次红的动漫吧
江小白有点熟悉啊 好像在哪听过
不知道会不会有第二季？
通宵看完，真好，相遇不易，随遇而安。
这个故事告诉了我们珍爱生命远离货车
听了云城烟雨过来看的
有第二季吗？要出电影吗？
爱你的终究不会离开，时间擦不掉一切
观看这个故事，就像在疲劳工作之后，走进一家深夜书店，随手拿起一本，却发现在字里行间中书写的尽是自己的一整个青春，猝不及防……
听到云烟成雨过来的，喜欢。
潜意识看成我叫白小飞的举手 我看看有多少人跟我一样啊
还好我昨晚没有一口气看完，要不然结局会让我睡不着觉的
江小白，这个名字我喜欢
第一部让我落泪的良心动漫，好看，真的好看
"为什么 我一大男人会湿润眼眶
是因为 我把你弄丢了吗 丫头"
青春是自己太小 忘了一切。 长大后。 才是新的开始。
小白你啷个不说重庆话耶
因为一首歌，爱上一部漫画.
江小白不是白酒么
这不是重庆嘛，支持重庆人
我多想再见你，哪怕匆匆一眼就别离😔
我来帮你破亿，第5451.4732万个
好看好看好看 赞赞赞☺️
这部视频很好看，太伤感了，很好看的视频，我喜欢，以经看完了，心里感到很悲伤，看了很难望，很期待第二季，很感谢制作人，
哭了，感动了，才能慢慢长大!小白，小离，夕雨，他们其实就是现实生活中的每一个人，我们永远也不知道未来会是什么样，现在的每分每秒遇上的每个人都要我们用真诚对待，我知道自己的眼泪是为了什么，从现在起为了自己，为所有人，尽最大努力，勇敢地去追逐！
听了房东的猫的《云烟成雨》来的，超级喜欢。♡
因为镇魂，喜欢上了朱一龙，又因为朱一龙，喜欢上了云烟成雨，又因为云烟成雨，喜欢上了我是江小白。
云烟成雨☔️啊！！！
什么时候出第二季啊，表示还想看呀
懵懂的青春 本就是冲动和脾气暴躁 并不能因为某人就说另一个人的错 爱没有对错
三个童年伙伴从小就有自己的情感 两个同年同月同日生的小女孩因为一场车祸交换了各自的人生 从此踏上不同的旅途 上了同所学校的她们成了彼此的知己好友 她们同时爱上了一个优秀的男孩 一个活波勇敢以友谊的名义爱着 一个安静怯弱以闺密的朋友的名义爱着 命运总是作弄人 安静的女孩要奔赴美国了 男孩有很多话想对这个女孩说 我其实…… 这个活波的女孩也有知道了真相 都想留住她 不幸总是来的这么快 一场事故夺走了活波女孩的生命 夺走了男孩的记忆 十年后 他（她）们相遇了 女孩以小说的形式描写了她们十年前的生活 一步步唤醒了男孩的记忆 其实在我认为 胆怯的女孩要是勇敢一点点 勇敢的女孩要是再胆怯一点点或许会是另一种结局
为了一首歌看完一部电视剧 到头来才发现喜欢的是电视剧
看到标题（我是江小白）第一个想到的是我是白小飞
好像一部国产《你的名字》，你的名字是佟离还是穆夕雨
房东的猫应该就是这个女主吧！猫指的应该是男主
片尾曲好听！云烟成雨！
就只有我是因为片尾曲《云烟成雨》来看的吗😂😂
看完了，有点想哭，生活就是这样
重庆主城 江津老白干 （江小白）满满的回忆
片头片尾包括插曲 没有任何动漫能匹敌
江小白是江津的白酒江小白嘛~哈哈哈
我是刘镇江 世界上的另一个我
我来到你的城市，却没有见你的勇气！
文艺青年 小清新 大重庆 都是大爱
"这个小离太可怜了，
觉得可怜的，
网友点个赞。"
哎，哪有这么容易说出口，现实也不过如此吧
每个人都会做错和错过一些人，如果有缘份还能在一起，请好好珍惜，或者遇见下个她，他，请用心去爱，失去了就不会在回来
先听得歌 然后来找的视频
佟离才是最可怜的人，她为什么那么惨
片头曲和片尾曲是什么？很好听的感觉
听了云烟成雨来看的，词曲很触动人心，想起曾经的高中时光，美好又遗憾吧……
作为重庆人的我认为这个非常好看，希望大家来重庆玩
最后如果小白和佟离没在一起，我要给小编寄刀片
在玄幻作品充斥的今天，很难得有这样一部小清新
期待第二季，11月我们不见不散！
就我一个人站雨离嘛😊
这是我看的唯一不跳过开头和结尾的国产动漫
云烟成雨☺☺☺☺☺☺☺☺☺
文化程度不够 想不出诗情画意的句子，只能用 好 非常好。
好人难做，活该被人赶。做自己就好了，何必管别人的闲事。
感觉全场最佳，玻璃球。
一口气看完了。接受了这个结尾，也狠狠的虐了一把自己的心脏。
负责有什么用？夕羽用生命换得你的原谅和爱情，呵呵
因为一首歌来看的……
