喜欢男博丸和朴正喜的点个赞或给个评论
出无影！出无影！把我顶上去，让他们出无影
灵台方寸山，佛祖和玉帝也有资格去，菩提一巴掌拍死他俩
没钱拍片了吗？？？？
你死后就更新了，你听知到了吗
觉得第三集最好笑的点赞
我都看14遍了好没更新到12，作者你是不是树懒
作者快更新，要不然我投诉你
哇日说停更一段时间这都这么长时间了还不更新
更新太慢了吧。
为什么不更新
什么时候 下一集啊！
这个孙悟空怎么这么傻呀？而且为什么贴的是罚单？
葵花宝典
都觉得好的好的大喊大叫金额嘟嘟额u呃呃刚放假 复古风有人要的要的要的韵达爷爷 动画电影答应我，电话好的好的都好都好度，
还不更新🔫🔫🔫
这么好 怎么不火
作者死了吗？还不更新
一对海胆。😅😅😅😅
笑到肚子都疼了，爆笑
我会变头像相学地达到100个站就交
好久更新一哈。希望快一点更新。
谁喜欢我
好搞笑，就是一集太少了
下一集什么时候出来。
谁能推荐一个很好的国漫
我问我哦哦哦哦可惜卡卡卡啊啊求 uu 呃呃呃额
这个动漫还不错
估计是没钱了。。。。
孙悟空好色
你们有病吧，作者更新视频也得用点时间呀，创造视频又不是不用脑子。
他们干嘛呢？！金角大王的角不是钱啊！
这么久了还不更新是认真的吗？
好好看
这我小时候看的漫画啊啊啊啊 突然间好开心
sudchsaudsquxhsauxhsia;hxichxiz hichiChsciCsichKChskckjcsakjckscjskc
ZB尸尸体派对动物
好就才更新吗？😭😭😭😭😭😭😭😭😭😭
好看
灵台方寸山，佛祖和玉帝也有资格去，菩提一巴掌拍死他俩
灵台方寸山，佛祖和玉帝也有资格去，菩提一巴掌拍死他俩
为什么不火
还是第一季的主题曲好听
把我顶上去，让他们看看
以前我手太搞笑了，尤其是稀有版的。
为什么这次紧箍咒没有用呢？
"点点滴滴次会议
更大的幸福生活"
这个动漫可以啊，唐僧厉害啊
求音乐。。。。。。。。。。
只有两集，太少了。
咋不更新啊！是忘了吗？
爱。。。。。。。。。。
男博丸虐的好爽啊！
额 好以前吧一一样啊
小卤一句话也不说
💫📱在不快更新我干你！
看是蛮好看的，太少了快点更新
怎么不更新啊！！气气气气
板凳
井j
地址学校VCD
好好看
终于沙发
快出第三季不出了呀。
的父西
不像话
推作者这都已经好几天了，还没有更新。
非常对！太卡了！会要人命的。
弟4
24集
不更新了。。。。。。。
这个星期几更新
牙套妹，何奈美色
""
其实这个动画不错👍
来看第二遍，太搞笑了，
呵呵呵呵呵呵呵呵呵呵
好看
估计是被六小龄童告了
这么久竟然还不更新真无语。。。。。
没了。倒闭了吧。?48
为什么不播出了啊。。。
你就不能说的秘密你记得黑敏雷击地方
我是刘锦祥我是一个愚蠢的人
"好久更新
多久更新"
这个电视很好看也很搞笑
刚才是三，咋就到五了
老子怕几，广东省、😭😭跟然分得出？？？
网络差，更新慢的要命
城隍人历史加入立立石大队酒席个！当猪朋狗友！🎉🎉🎉🎉🎉🔔🔔🔔🔔🔔
朴正喜都不戴眼镜了
紧箍咒都不起作用了
",p (gfoudhyf ki ml hu"
好色啊马上😁啊哦哈哈哈
我还是觉得以前的爆基枪手好看
99那我没猜错吧，有18级
女孩们一起分享快乐
不好看。一点儿不好看
更新敢不敢在慢点。
为啥小卤发技能的时候画风变了？
