最近被这类题材吸引了！无法自拔
这是漫画心跳300秒我看过漫画
这个漫画很多是依据真实事情改变的，反映的是现实.
追！新年追追追！太好看了
第一局那个男的已经死了，那个柜子的尸体就是男的的，女的只有打伞才能看到他，
我咋没看明白呢。。。。
在男主说了打伞会见脏东西，女主还打我就知道了结局😂😂
这种漫画现在越来越少了，好不容易有个优秀的不容易
哎呦我去...真心感觉这种男的真心不咋地
部分章节能联想到东野圭吾的小说
我超级佩服这个背景音乐，惊悚片用动漫来表示，后背一身冷汗
突然想起了暴走恐怖故事
编剧功力深厚厉害了啊
这个漫画一直在追 很多故事的反转看的头皮发麻 但是动漫有点像配了音的ppt 有一点小失望
这是惊悚片👿👿👿不可思议
恭喜作者，喜得动画 。
看了之后表示，有点兴奋
题材不错！会一直追的
这个我看过😓😓😓
根据同名漫画改编的漫画
萌新被吓到了大爷真的有点吓人。
鬼不自知！人又何尝有自知之明！
开头：我不看！结果：真香！
来了老弟。。。。。。。。
啥意思啊...没看懂..
腾讯动漫里面的心跳300秒
自从看了民间鬼术，我就对这种类型的动漫深深吸引了，有时候故事并不可怕，可怕的是人心耶
墙裂推荐心跳300秒，作者画的不是漫画，是现实的人性。 ​
暴走漫画
不可怕
我现在还在看漫画呢，这么快就出动漫了
居然出了动漫？？！！！支持。😁
这个……好像有漫画😣
话说，这个漫画我看过
从腾讯漫画来的，一直在追漫画，很不错，喜欢！故事内容很让人深思。评分再高点啊
