同意出第二季的点赞吧
老夫撸了1000多局，坑了900多局。精通各种辱骂队友方式。卖队友高达3万个，熟练抢人头时机。老夫的尸体躺过召唤师峡谷个个角落，练成极限送人头1000多种，拥有挂机理由900多种。老夫文能挂机喷队友，武能越塔送人头。进可孤身一挑五，退可坐等20投。前前飞脚就惨敌，后能放墙堵队友。静则半年不见人，动则千里送超神。英勇闪现送一血，卖起队友不回头。
超游世界快出第二季，希望不要完结啊！要不我们这些漫迷怎么办呢？
呵呵。可以告诉我，为什么第4第5集看不了第六集又可以看
主角为什么不回到现实世界
为毛这主题曲是日语，不是国漫么
我想没有第十五集呀可以告诉我一下吗谢谢
这醉了，啥时候出第二季啊，漫画要付费，看不起啊
一口咬下去，异形不就成食物了吗？
我想问男主角真的是什么？
是啊太无聊了呀没有第二季吗
""
现实与虚幻交替，那个是真那个是假，看不清也想不通
本是漫画的，然后变成了动画片。
主角是个屎人，，，，，
不是我说，那个思思的声音太恶心了
好想看第二季，什么时候出啊？
快来第二季吧，来吧。你们希望第二季来吗？
不喜欢看就别看别说不好看喜欢看就别看别说不好看
大家都觉得结局会团圆？
奥特曼？我的天劫女友？铠甲勇士？尼玛这是什么？结合？不过还可以
我怎么找，都找不到第二季好象没有，我狠难受
沙发
老五哥哥哥哥哥哥哥哥哥哥哥哥哥哥
讨厌思思点赞。。。。
为什么我的4 5集看不了啊
怎么是日语？ 有中文的吗？
卡一卡广告都没有了哈哈哈哈哈
我终于出来了我困在游戏里五年了
好看吗？
好好的中国人，把歌唱成日本调，一看就是解放前期中日混血儿
最烂的国漫只是我看过的
女主角漂亮，我喜欢这种女主角还有这种女主角的动漫介绍一点来
好看！好看！好看！超好看！
我希望诺伊和女主永远在一起
这个就结局了吗？有第二季吗？
什么时候出第二季啊好想看啊出不出啊
第一集天煞好像CF的泰坦
好看不？有别的好看的吗，推荐几个
这不就是动漫版那个啥
我去，这是什么鬼啊！
以前看过一遍，这是第二遍，感觉唱主题曲的人变了
哈奇？哈士奇？
这个女主角在现实中座的是轮椅这最后男女主角在的一看就不现实
太好看了，非常好看。我。
有什么好动漫吗？速求。。。
好无聊呀!
"四五集看,干嘛呢？,"
第二部那时候出
这个感觉不怎么样啊，不是多好看，但是勉强可以看看
求介绍好看的动漫
吃好吃的呢现在是小孩子脾气好友
谁知道她们去公会的那一集在哪个
这个动漫太好看了超好看
希望超能世界出第二季，我会一直支持的，还有这个动漫宣传不够好，我也是偶尔找到的，我很喜欢这个动漫，希望有第二季
嗯，我觉得还挺好看的，不过这……
国产为什么要出日语版
第4，5我看啊 第四季就是少年击败了啦游戏玩家就是开挂了
作者算个鸟，还没开始就结束了。
小青眼白龙?我的天哪
刘景观等于刘警官
有没有第二季啊！ 太好看了
這部片的男主好沒用。
动画版的铠甲勇士？。。。。
也不是非常好看比起我看的15个更新动漫还有点不行
希望还有第二三部，好看，真心喜欢!
感觉跟奥特曼打小怪兽差不多
男主还没回现实世界啊
你们觉得思思讨厌吗？
这是黑客帝国类型的，但不是抄袭，这是漫画改编的
四是加强和改善宏观
我认为这些很好，作者继续加油！！我支持你。。。
哪一集
好卡
莫提诗 死提莫
真希望会有第二季
日漫风格中文配音，此终国内配音...
这个剧情不行呀！感觉像在看奥特曼打怪兽似的！
15集呢？？？？？
难看死了，我都不想喷。还是老套路，而且，主题曲真的好难听
更新啦[奋斗][奋斗]
这男主好像我的天劫女友的男主
这不是动画版奥特曼打怪兽？
男主为什么不回到现实世界？
中国版奥特曼
有什么好看得动漫吗，最近没什么可看的漫画了。
什么情况阿第四第五看不了，我要投诉了阿
自作主张在赞赞赞哈呵呵
帅
""
说白了这个大多还是日本的技术，大多都是日本人
蒙斯特
什么时候才能出第二季
奥特曼打怪兽？是吧？是吧？
那里不行 小姑娘该不会在做春梦吧。
那个疯女真坏
。。天启之门？？？？？
不错
QQ普通考虑考虑途径腾
呵呵6666666666
