国漫真是越来越好了，觉得对的就顶一下。
中国动漫总改不了色色的尿性，直男癌没救了
狐妖小红娘也很好看，看到了国漫一点点的进步，支持国漫！[呲牙]
制作人们，关爱关爱勇者大冒险的难民吧，第三季神么时候出啊
这个这么好看，为什么不火？
国漫有头无尾，有个好结局就好了
导演死了没第二季了。
期待第二季，一部不错的动漫。
这也没有第二季，我都搞不懂为什么放第一季
没戏了，出不来了。我都等了1年多了
第二部什么时候出呢？想问一下。
喜欢这部动漫的点个赞
我爱看着个，导演求求你快出第二部
什么时候出第二季啊啊啊
第二季怎么还不出啊，我都高中了
能快点出吗？ 好想看第二季，可是你们就是不出太气人了。
第二部要等到多久啊，是不是还要等到几年？
哈哈哈哈哈哈哈
下一季，，，快快的！！！！！
我都从16年侯到18年了。还没出第二季，没戏了
这歌多振奋精神，比以前的动漫歌好听多了
这辈子是看不到完整的国慢了！
好看是好看，就是为什么还不出第二季啊？？？
宣传不够啊，这么好的作品之前都没听说过
这里面的CP到底是钟研和魏死死，还是小蛆和魏死死
唉
还好。 有第二季吗？
这个要污了多少少年的心理健康！^_^
好看，希望第二季能早点出
没有第二季么？，，，
只有动漫里才能见到如此性感的女警察
这什么年代还有公用电话亭？不喜误喷。
快点更新了，超级好看的
导演干嘛呢 傻啊 不出第二季
国产电影 电视剧越来越垃圾了！幸好国漫起来了！！！！
这种的国漫都会看，可为什么这部我今天才知道，不解不解。
什么时候出第二部啊。
很棒耶，，，，，，，
好事成双出现
慢慢的更新等死人.
第二季什么时候出啊？
第二部什么时候出呢？想问一下。
"喜欢国漫的就竖个大拇指（顶一下）
！！！！！！！！！！！！！！！！！"
这太好看了，看了又看
《双生灵探》也不错没看过的可去看下
第二季更新的太慢了。
觉得还可以呀，为什么老是有人贬低国漫呢
力挺，出第二站，加油
第二季什么时候出？?
""
第二季希望快更新，急死人了
有点恐怖，怪吓人的!
这个主角脸型和武庚纪那个人阿狗基本一样啊
不知道要等多久，为什么没第二季？？？
没有第二部吗，什么时候出来
死亡回放第一季。魏死死刚开启无惨之眼，上帝模式还没进化。
很好看呢，很期待二季
国漫顶一下，还是镇魂街最好看啦[憨笑]
对啊。第二部好想看看
弟二季囊，快点更新呀
光说有什么用 看不到 怎么办
第二季
还有什么好看动漫请介绍一下。
剧情不错！但是这是2016年创的作品，这画质是不是有点儿……
生死回放 
什么时候更新第二集？
更不更新啊
？？步出了哈哈哈哈哈哈
哎 这个团队怎么了 勇者大冒险也不更了 这个也不更了 说实话 挺期待的
片头歌名叫什么？？？？？
我就只想说为什么，只让我们看到腿，难道就不能上一丢丢吗
开始看着好懵逼，现在还是有点没看懂，我理解能力差了吧. . . 
挺好看的，就是有点恐怖
好可惜啊 楼主 后续就这样没了
晚上看，好吓人，卧槽[衰]
这个好看吗，你的感觉怎么样？
死都不出第二季的啊，等的心累
导演用点心名字这么不吉利双死
主角能稍微厉害一点啊，也太菜了吧
小蛆做的汤里竟然有勇者大冒险中的毛蛋
为什么美团外卖非得要？输入手机号
第二季快点出啊，真他么的好看到爆！
中国这几年的动漫挺好的
(￣y▽￣)~*捂嘴偷笑
国漫在崛起我个人感觉已经超越日漫
你这个还要多久更新哪
结局是什么啊，？？？？
快出第二季
我看见了，画江湖之不良人的贴单
支持国漫
第二部什么时候来呀！！
不是我喷 但是死死不就是写轮眼吗？写轮眼就可以窥视别人的记忆吗？
歌名是什么谁知道说一下
挺好看的……希望第2计快点
怎么还不出第二季？？？？？？
gioejrbb4idhbeugvdvvvf
感觉没第二季
有没有第二部啊
有没有第二季？
哈哈哈
