好几年过去了 高中看的 现在都快大三了
都等了四年了，还不出第二部吗，不开心
我写了一篇关于这个的小说，来看看吧！叫《红师之旅》
重温一下一晃又好几年了
我儿子喜欢看～我觉得也挺好的～
什么时候有第二季，好期待
说什么日本动漫好看的 都它md日本本狗 中国祖宗白生你们了，md
开始正义红师第2季
那里是国漫，明明是日漫风格
哎，一晃就几年，好怀念。
坐等第二季，坐等第二季
我就说名字好熟啊，小时候看过?
超好看，从小看到现在。
第二部什么时候出，有没有第二部
第二部什么时候出好期待
这才是国漫，现在那些动漫动不动就日风，这动漫不就很棒
还行吧，虽然有些剧情不太喜欢，不过整体感觉很好
好怀恋啊！小时候喜欢的动画片之一了！
一直很喜欢，很良心的国漫了
说这部动漫不好看的人都是垃圾
第一次看的时候还是三年前了，今天过来回忆一下，感觉非常好看
有第二季吗？如果没有出来干嘛
童年，装甲好像光环中的士官长的装甲
天宝有预知未来救落水的人
好看的动漫永远冷门
更新更新更新出第二季就好了这么好不应该暂停
我表弟喜欢看，他己经四年级了。我也喜欢看，我己经初一了。
第2季什么时候出，，，，，，
挺好看的，小时候好像看过
看了很多遍还是很喜欢
很不错的国漫，加油
大家好
这个动漫找很久了真的好喜欢
这部片子可以的，虽然在配音方面还是有些不足但是可以看出国漫在慢慢提升，进步的[得意]，这是我小时候在电视上看见的
怀念 从前真好阿
""
第二季呢
中国版的钢铁侠。。。。
真的很喜欢！由衷的喜欢！小时候就追这个，长大后忘了名字，好不容易找到了！一定要好好看！
正义红师太好看了，给个赞！！！
第二部什么时候才出啊！ 都这么长时间了
第二季我等你，希望导演你快点出第二季，因为太好看。
有点假，天明明已经黑了，但是天宝的手表却显示14:01不合理。
要是我了我也会去救人的
四年前看现在再看，好怀念
真是一部好片子，我都看好几遍了
希望第二部，，，，，
说实话，国漫进不了，也就10年前的秦时明月，现在画风配音需要跟上，要贴近人物色彩性格，这些不说了，随便看看还是不错的，这个不能算机甲，充其量算是单兵外骨作战铠甲而已。吐槽。。。机甲的装甲大小，动力系统，武器系统雷达系统，各种东西，都需要极高的动力输出，而规划动漫当下背景我感觉弄不出各种类似核反应炉或者各种牛XX的动力系统，武器还停留在燃烧弹药供给阶段，如果是极光武器那就不科学了因为能量哪来，其次。。就算是实体弹。。。这射的那么密集。。都没看到子弹储量。。反正别较真随便看看。
最爱天宝，可爱*^o^*，萌萌哒
大结局有点不喜欢，过多少年了还没有更新第二季。第二季，也不跟我，大结局，就别跟我们联想了。
太好看了！
这部电视真的很好，支持国漫，加油，我已经看了N多遍了，求赞哦。赞了的是帅哥，美女哟。
配音听着好难受啊！！！
太好看了可是可能有点坑因为只有最后他们装备才帅
中国的 就是好的 我爱国有错吗
我觉得。突勒一点都不恨。不像是个大包死啊，
""
第2季什么时候出啊。。。。
QQ：哥!
哈哈哈哈哈牛逼了给我发
好看，正能量！支撑你，多多益善！
第二季什么时候出，都四年了！
666666666666太太太太好看了
真是太好看了
小学时看过，之后一直在找
告诉大家一个好消息 正义红师第二部将在2019年5月推出，我好期待啊，我希望剧情不要太狗血就行，我更希望集数多一点，少说也得40集啊 真怀念我一二年级的时候坐在电视机前看这部动漫，那时的我寸步不离电视机啊！！！ 现在想起来真怀念
童年，我的童年~~~
片头曲很好听！！！！？
密密麻麻吗
天宝是光明使者，他的预知能力不是巧合
。。
熟拣的太好了，特别帅。还定时间
第二季，快快快，我等了3年
小学看的，大结局还没看呢，没想到能在这里遇见真的高兴
国产动漫的最帅的，
天宝就不能放聪明点吗？
结局狙击手死了吗？挺喜欢他的
还说我小时候看到，本以为会出第二季
啥时候出第二部
哎呀呀，终于看完了，怎么没有第二部？最稀饭小龙和桑杰
他们从来不撒尿的吗？
超喜欢看的！之前天天坐在电视前等更新，到现在至少看了几十遍了
，
好看好看，御武甲真的是帅的飞起
喜欢小宝
魔星人很讨厌
我看5遍了
勿忘国耻，中日甲午，南京……支持国漫，也希望国漫再给力些
哈哈
好看，一个不错的电视剧。
哈哈回家
好久没看了，以前一家人追
好好好好好好好
原本以为到后面很难有什么奇迹了的，还以为是水晶负荷太大就失败，能源就回到地球，没想到来了个大反转，冒出个光明使者（想知道编剧是不是想不出咋样才能有好结局，才……
太好看了我喜欢看前天我才看见
小宝这表情
这部片子还不错。[呲牙]这个小孩真可爱。
求第二部
我觉得桑杰是五人中的颜值担当
小时候就喜欢看，喜欢雷鸣和胜男，真希望出第二季！
