为毛，么有第一集，直接从第二集开始了
我就想问一下 到底有没有第二季？ 大家是同样想法就把我顶上去，
我的大结局呢？我的大结局呢？我的大结局呢？我的大结局呢？我的大结局呢？我的大结局呢？我的大结局呢？我的大结局呢？我的大结局呢？这都几个星期五了啊，这是第几个了？这么没信用啊！！！！！
有什么好看的动漫推荐一下，，谢谢
怎么感觉有点像 《刀剑神域 》了？ 都是游戏里面真人样子
第一集被吃了吗？第一集被吃了。
我这第一集去哪了，一打开都是第二集。
第一集跑哪里去了？
我只知道东方月初爱涂山红红
第一集去哪儿了？导演？
快点更新啊，你如果不想更新了，开始就不要发这动漫啊。
""
什么东西哇，第一集神秘失踪？
第二季快点出来。。。。。。
妖怪名单终于要出第二季了。都等1年了。
都几个月了，还没更新。
之前第一个游戏里不是白身还珏的天下第一？ 现在是什么鬼 新手？
不是说有特别版么 怎么没看到
好吧！玩个游戏可以爱一个人死去活来的，我无话可说，[抠鼻]
好久跟新啊，很好看，跟新第2部啊，要不要我们看了
我猜导演变穷了，没有钱来出第二季
漫画改编成动漫，男主怎么都变成了俗话中的ZM
虽然和漫画有点不同不过我挺喜欢的支持一下
第一级在哪儿去了？？？？
我这里居然没第一集。。
没钱了，不会出第二季了
这种游戏都有真牛。听到我说的对的点赞。[强]
第二季啥时候出来，作者快更新呀！同意点赞
这和狐妖小小红娘差不多
第二季哪？？
喵(^･ｪ･^)喵喵喵喵喵喵(^･ｪ･^)
这是国漫？我就呵呵了，为什么最后出的全是日本人的名字？
真是佩服这些做动漫的 居然已经做了这部动漫为什么不做完 你让好多人期待又让好多人失望 你还不如不要出 所以你这个做动漫的注定永远是失败者 有头无尾的失败者
虽然和漫画有点不同不过我挺喜欢的支持一下
第一集让你们吃了
没有第一集？？？，还有日语版和中午的不一样？
画面太劲爆了。，，，，，
算了，不知道从哪里吐槽了
为毛没有第一集啊啊啊
刚开始的红发老太太是谁啊？
走着六亲不认的步伐，，，
游戏搞了半天原来是游戏。
动漫不错 但是更新太慢了 只能说制作人这是脑袋进水导致短路了
请问谁能帮我讲解一下我没看懂？
第一集呢……无法，，，，，
我想和银做一件永远记得的事……原谅我污了
一点都不好看。难看死了。
守墓人刚为什么开始第二第
这个动漫我等了快三年了。一集都不给我更新。
才14分钟
动漫区撕的可以和B站比了
什么时候出第二季呀急死人了
不就是个游戏吗
好深奥啊！！！！！！
我他妈就想知道第一季去哪儿了。
我已经等了一年了还不出第二部
同意一天更新10集到点赞！
感觉还可以
第二季更新快更新我看
第一集去哪里了我的没有
还有第2季么？请回答一下
过了几年了，这第二季呢
中国动漫越来越好看了
同意时长最少25分钟的点赞
第二集是什么鬼？？？
实际才11分钟而已
如果馬雲給我們每人一個已他還是世界土豪
"国漫只喜欢银之守墓人,狐妖小红娘,超有世界,妖怪名单,全职高手,王牌御史."
太短了 根本没看过瘾[疯了][疯了]
这应该是银之守墓人，漫画的后续吧！
怎么开始从第二集开始
为什么这样呢？我的英雄
2017放的现在2019了为毛现在还没出第二季
和漫画差有点多，不过还行
第二集就成14分钟了 ，咱们能不能好好的做 ，还有片头曲看着好难受
片尾曲叫什么啊
还不更新，而且还短，气，气，气
第一集到哪里去了！！！
很想知道第一集演了个啥？
终于出来第二集了，感觉度日如年啊
不会有第二季了，是吧？
为什么还不更新下一季
我也希望有这样的游戏
第二季呢等了好久了一年了
看来国漫，在我在有生之年是超不过日漫了。
都这么久了，作者你打算什么时候出第二季
你们发现第一集没了吗？
不知道什么时候能将，龙墓和斗罗大陆，整成动漫？
没第一级真坑。::。
片尾曲好听，有一种梦幻而又想突破幻想的感觉
看出了一个道理，玩游戏比谁充的前多。
为什么还不出
♥♥525767755
哎，吐糟的的话一大堆，赞美的话一大堆，这到底是好是坏
趣头条！
第一集去上厕所了吗？
作者大大第一集在哪
为啥我没有第一集？？？
就是更新有点慢
呵呵→_→哈哈(ಡωಡ)hiahiahia
