很赞，细节很美妙。比斗罗大陆的画质都要好。亲爱的我决定追你了
为什么刷新了还是没有，必须要搜索才可以找到，这部动漫，多久出来的。
这6d.做的可以啊画质很清晰为什么没人看啊？
我好像看到点儿什么，，，
《梦塔·雪谜城》每周五中午12点更新，欢迎观看（づ￣3￣）づ╭❤～
每出一部动漫。玄机必然躺枪。哈哈。别的就不说了。
说剧情拖的人？火影算什么？能这么好看的又不用大家不花钱。支持支持，起码以后做国漫的公司多了我们也才有的看。别一天觉着凡事理所当然
这个好的动漫不能独享，希望大家多宣传
有意思 成功收货一枚可爱的迷妹 男主蛮帅
西山居是不是要出新游戏
这个动漫我很喜欢。
好看，好喜欢那个小猫女，好可爱
画面效果无可挑剔，动作细节还有服装一些效果非常专业，就是很少有人知道，我也是意外看见这部动漫！推广还是不行。
明人不说暗话，老板娘好看！
我去，看了一半视频卡了，声音正常，我以为我手机坏了呢，制片组坑人呢嘛
没有推荐而已 动漫可以
这么好的动漫，居然评论那么少？？？
中国动漫看着实在，不像日本动漫那样，傻了吧唧的，看到日本这种动漫我都想吐，还是国漫好，好看，细节清楚，日本的都没多少细节，支持国漫。
挺好看的 为什么这么少人看
给大家推荐几部动漫，一人之下，万界仙踪，斗破苍穹，斗罗大陆，这是打斗类的。恶作剧之吻(日语爱情)，我的天劫女友(爱情加打斗)，狐妖小红娘(爱情加打斗)这仨是爱情类的
明人不说暗话，我喜欢老板娘
"怎么评分？
我不会啊 为啥分数这么低？不可能啊"
这么好看的动漫，画质也好，怎么会这么少的人看
是啊，怎么卡屏啊？制作组这么不用心。
刚看 觉得蛮好的啊 人物 特效什么都蛮好的
我去😓你这第六集我上星期就看过了
看到我弟弟的名字，第一次出现在荧幕上，老弟加油！
不管是画质也好，剧情也好，都是高分。我就不明白了，为什么不火，而且评分这么低才七点多。国漫能拍成这个样子已经很棒啦！很喜欢。
中国的动漫真是世界顶级制作！应该推广全球！让全世界都是中国动漫迷！
很不错，就是少了宣传，祝这部动漫大火。还有就是这部动漫建模都超好的.
第8集怎么看到10分钟就卡了，还以为是网络问题，重启手机，换几个wifi都不行。第一次在腾讯视频发生这种情况
不亏是游戏公司。能转行做动漫。画质一流没得讲了，
宣传不够，看剧情了，剧情好相信能火。
