已经两年了，作者不会把这部动漫忘了吧。
怎么说呢，有的时候画面很不错，有时候就很糟了，感觉不是很稳定画面
牛逼名著改成这样子，我也是醉了，同意的顶起
一集动画片而已，需要加那么多广告吗？我是男生，用不到高洁丝
这部动漫佷好，如果增长到20分钟就好了。同意的点个赞
领带，，，没小辫子也要给别人留个小辫子抓？，，，哈哈
看到15级就不想看了
男主就是渣，没有悟空你早就死了
我们应该多支持我们中国的动漫
想看第二季吗，想看就把我刷上去，让作者看看，好更新
什么时候第二季，等了一两年啦！
第2季什么时候出，求作者告诉一下。
这个好久了，不看预告片都忘记了
男主太恶心了。。。。。。好好学学唐三，萧炎，武庚，霍雨浩
男主角走了，心头有一种莫名其妙的感觉
现在的动漫广告长，更新慢，感觉这样出没意思。
猴子才是主角，才对，。
什么主编吧我猴哥弄怎么弱，怎么有看点
这是第一个把主角写死 然后男二上了女一的动漫。。
金箍棒哪来的，而且那个时代有西装？
0分 再见 配音和画面都是低一圈同期作品
男主角还还不回来，好欺心，寒心
同意付和是撒比的点赞
国漫是国漫 但我想知道怎么给差评？
好看，啥时候出第二季
青青树?魁拔好像也是青青树的。
男主角就是个懦夫，就是男主角害了丁小雨
狠西游有第二季吗吗？
孙悟空一点猴样都没有！＠(￣-￣)＠
主角就是懦夫，上错身了，越看越想看了
想看第二季的就点赞。
快来第二部，我快等不及了。
怎么干成生化危机了？
多久更新啊我差不多都等了一年了
好看是好看，就是老穿裤衩
不会再有第二季了……
二郎神就算是穿越都那么那么霸气
啊啊啊啊 我忍不了了 想打死男主
你知道他们制作过程有多辛苦吗？请大家不要喷。
支持支持，要一直更下去吧
国漫画质做成这样，真心不错了。国漫的崛起一步一步提升，我会一直追下去的。
男主这么扭曲的心理，怕是编剧有问题，导演没脑子才会放任这么拍吧，
好期待出第二季同意的点赞
最后一集太感动了！！！！
好评，超赞的，剧情弄得很好
出第二季 速度好不好
我给满分，这个太好看了，太喜欢了第二季快点出来
本来好好的，因为男主，果断弃剧！
白痴男主，不想看了，
开场这男主太好玩了，还有就是这孙悟空画风太难看了支持的点赞。
差评，差评，差评，重要的事情说三遍。
只有我发现了他的开场是纯属画的，然后翻页
男主就是一个废物，辣鸡没一点男人的样子
出不出第二季。真想看看。
特么直接许愿和校花结婚不就得了
好恶心的男主，这样的视频还不如不做
希望男主死的点个赞吧
主角怕不是脑残吧告诉我他的智商
你（孙悟空）要是不出现，你和丁小予也没机会
为什么只有20集，一下子就看完了。
看着真费劲 什么玩应的剧情。真心要骂你们
觉得狠西游好看就赞一个
根这个裤衩杠上了，每集都有恶心的裤衩
这二郎神一个手下就把孙悟空打残了，有点坑比呀！
耍我们啊？明明音乐里面有第二季的视频的为什么没有第二季呢？
叫孙悟空当男主吧，这个男主看着就吐
齐天大圣不可能这么弱
历害了我的哥
谁能告诉我最后的付贺，是不是齐天大圣？
等了这么久，有没有第二季
什么时候出第二季？好期待啊！
好看，好看的点个赞。
期待第二季的到来，虽然已经猜到了第二季大概会演些什么，不过，还是好期待。
唉～都2年了。估计不会出第二部吧？除非榜上一二！
丁小予配音《魁拔3》里的海问香吧
到底有没有第二季？！
男主角设定也是醉了，辣鸡男主
为什么没有唐僧猪八戒沙河尚
第二季呢？等了两年了
骂主角的 我想说 你们谁没有和主角相识的地方 你被附身了 会怎样
好看是好看，就是太短了。
还不错，挺好看的。有没有第二季呢？
什么时候出第二部啊！
雅美蝶。是要笑死我呀
"希望尽快出第二陪。主角
能在度复活"
小予与付贺就是一对，一个是蓝发红瞳，一个是红发蓝瞳
有什么好看的一点意思都没有。
快点出第二季。。。。
黄色喜欢觉得就觉得就到家打击打
孙悟空居然穿西装!我勒个去
!
我现在觉得付贺好多了，但我是不会收回前话的
这剧情 我服 太难接受 打个妖怪男主还那么娇气
我都比男主角厉害
"这个故事有很多缺陷
第一，他和他女朋友还没开始，他就在世界里消失了
第二，猴子是铁心，如果是因为他附身的人而救他女朋友的话可以理解，但是后面孙悟空因为他自己而产生感情，不应该
第三，他消失了，他女朋友，猴子肯定无法应付，所以付贺肯定会让猴子救回来，并且恢复记忆
第四，整个世界一直在打斗，也不留点空间给付贺跟他女朋友相处，刚接触的时候，他女朋友就被附身了，建议留点空间和他女朋友相处
第五，最后连BOOS都没出场就准备开始第二季了
还有就是看场面，这应该是个圆满的结局，可是这一点也看不出“圆满”，建议让结局不要失败告终
第六，第一季应该让付贺重生，然后结局的时候展现一点点是让孙悟空不再需要附身的身影，然后第二季应该让孙悟空完全不需要附身……
希望小编改进…………"
很期待第二季，几年前看过一次了，现在在看一遍还是好看，支持国漫
你们知道还有第二部嘛，
唐僧也有母兔子女朋友
编剧垃圾……主角都一点魅力的没，这动画要废了
就结局好点，付贺真辣鸡
