有第三季，讲的是5年后的故事。8月2号开播把我顶上去让更多人知道
一次性更新了10集吗?[右太极][右太极][右太极][右太极]
喜欢瑞的打1，糖心打2，罗阻打3，海拉打4
30岁还在看的有吗，老铁们？？
这两人像一对
瑞到底喜欢谁
多么希望有一天人类不会战争！一起把科技文明发展到全宇宙！
纳米核心第四季什么时候出？？？
当主角的核心换了之后，就相当于开了一会儿挂
纳米核心的画质不错，故事情节也完整
瑞好帅，一看就和米亚是一对
你们看海拉，就是个疯子
"半年前
在其他平台都看完了，这才发，也是醉 了"
不会有第三季，因为第二季早就上线了！你们知道吗？
"这太好看了，不看了会后悔！！！"
真心好！谁是女主啊？
糖心是女主角。呜呜呜呜，太感人了！！！！！！！
我的世界上最美的时光
太好看了，国产动画支持起来
我都不知道出了第二季?！！！都是刚刚看见第三季才来找的.
我看了100次了。
最后一集太感动了😭😭😭😭，没看够😁😁😁
一更新就十集，好爽好爽有没有。
喜欢看的点赞，让我看看有多少人看！
大家有没有发现，制作公司不是海岸线了
好看好看，非常好看，强烈推荐！！！
你们别这样说，这部动画与别的完全不一样。希望小编继续加油。
尖兵都好帅哦！！！！
希望有更多更好的这样时动漫
这个太好看了，你们觉得呢
这只能证明一点——国漫的主角光环太强
卡的不要不要的？？？
还可以，希望大家都能看一下！
主角被虐成这逼样也是醉了
有网络？？！！！！！！
我去，啥时候更新的，而且一下就是十集
可以的、好看
瑞没有第一季帅了
我好想哭阿啊啊！！！！😭😭😭😭😭😭😭😭😭
喜欢米娅😊😊😊😊😊😘
主题曲好听，比动画好得多
为什么你们都说看过啊，在哪可以提前看的，有谁能讲讲的
升级，巴德尔，神光巴德尔。
我还是比较喜欢那对兄妹
"我感觉一般般吧,自我感觉而已。"
还是我的斗罗大陆好看
这个已经到了第三季，我觉得还挺好看的。
好看嗎哦我的名字是什麼意思呢你
评论有点儿少嘛
超神学院，开始行动，
谁奶睡猪组说埃及剑🐔
糖心和罗祖在一起了吗？他们俩看起来好配！！！
为毛第一集前边删了一节，狗吃了啊，给我吐出来，不然剥狗皮，吃狗肉
我想说 我一年前 就已经看完了 还以为是第三季勒
有第三季吗？好期待啊！
别屁屁了
谁是女主角啊 、
我们这里什么时候发展到电影里的那样🙄🙄🙄🙄
糖心好丑，没米娅好看
我到在等第三季了
不好看，真心无聊，第一季好看，第二季忒难看了
本来挺好的主题都被耗无聊了
唉我有一点搞不懂为什么中国动漫把女的胸搞那么大
太想哭了。好感动啊？？
总算出第二季了
主角是个渣， 太渣了
GA-18是那个萝莉吗？
画面质量很好的
最后一段瑞叫妈妈的那一句看了好多遍。
其实这部我早看过了我在等第三季
isksksksksks
你们说瑞落，人家打你像当玩似的
好
谁最帅啊？告诉我好吗？
米娅好可爱。😍😍😍
那个是猪脚，果然还是斗罗大陆什么的好看
现在已经出第三季了，第四季还在验制造
看着看着……就不知不觉得就喜欢看这个了。
好短，也好吊又胃口，吊的胃庝
加斯=加屎=假死！！！
一直都很喜欢看纳米核心，希望它继续下去也希望越来越好看，我永远支持[憨笑][憨笑]
小三666666666
1
巴德尔第一代好丑呀。
你太笨啦在雨里阴
？？？？
"纳米核心
轻松筹"
帅不过三秒
集数好少啊。。。。。。。。
主角配音 冯骏骅 还配过 秦时明月 主角天明的 背后原来是个女生 好厉害…
超爱这部动画，制作团队加油啊！
糖心，我喜欢你！！！
你们觉得现在的海拉好看吗？第三季的海拉可是美的不像话
还是我的斗破苍穹和斗罗大陆好看
你的意思看这有啥用😞😞😞😞
阿哈哈
不是我夸国漫，人物样子真的很好看。而且这么好看还不是VlP！😂😂
感觉哪个海什么很欠打
啊来lol了5啦无聊尼古拉阿加莎啦了2了2咯好了是了了
瑞又帅又萌，好喜欢。
