不觉得辗迟像鸣人、千钧像佐助、辰月像小樱吗？
我觉得辗迟是穹奇或者是来世的穹奇。或者是穹奇的后代吧。
千钧跟辗迟才是真爱，同意的点赞
从11年开始看，现在18年了， 百看不厌，，超喜欢
这个是要闹哪样啊，第二季的跟第一季后面的部分是一样的么
"都说国漫不好，为什么不看侠岚啊
时间长画质也好[饥饿][饥饿]"
展迟和穹奇一定有关系
为什么没有第三季，刚看到激动人心的时候，居然没了
千钧和辗迟都喜欢辰月，辰月的魅力真大。
辗迟喜欢辰月，对不对
还没有我的《斗罗大陆》唐门好看
辰月喜欢辗尺，羡慕死了
其实辗迟就是万零之王之子是的我给50个赞
我若成佛，天下无魔。我若成魔，屠尽天下。
不管看什么电视还是动漫，希望投入感情去看 有点耐心
我每25分钟看一次手，结果去医院医生说要截肢
我觉得辰月应该喜欢辗迟而不是千钧，大家说对吗？
"
腾讯的广告60秒 还敢不敢再长一些 同感的顶起"
辗迟辰月千均三角恋啊
伸出你的左手 屁都没有
所有侠岚片尾曲就风中奇缘好听
"辗迟是侠岚体内又有零力
说明他是零和侠岚生的孩子 同意的点点"
我感觉放个屁的时间就没了，好短，好短
我全都顶了，你们不顶一下也太不给面子了。
很多人都。记得我你又算老几。
辗迟父亲是上古无极侠岚炽炎，母亲好像是穷奇
第三季和第四季那里看谢谢
千均也绝对喜欢辰月的
展迟身上有穷奇的力量，零力就是来自穷奇
谁能告诉我现在千钧是喜欢辰月还是碧婷？？？？
我怎么怀疑千钧也喜欢晨月
。。。为什么姐姐从不说话，好高冷
小时候看的，又想起来了，再看一遍
"喜欢展翅 性格像我
有责任感 至少知道自己在干嘛"
编者侠岚有没有第七季，有得什么时候出，拜托提前预告
展迟以前不会是零养大的吧？
碧婷和辰月你们喜欢谁！！
喜欢山鬼谣。。。。。。。
第三季在那呢怎么找不到的
山鬼谣不仅长得挫，人也坏，脑子也有问题。你们觉得呢
你们喜欢看吗？喜欢的点赞
我服了，打个架需要那么多集
&quot;見&quot;是什么字？原谅我是文盲。
以前就看了几遍 现在又来重新看 真的好感动
2018还有人在看吗
爱情是不可阻挡的
辗迟是假叶成功的试验品
我去我追了侠岚5年啊[抓狂][抓狂][抓狂][抓狂]
觉得侠岚不好吗？2018 6月18 农历生日 第4次看侠岚了 觉得很不错
归海的印记不是剥离了吗？为什么还能进去
我刚觉小时候的展翅好可爱 特别是他和她姐姐说话的时候
感觉毒龙说的那些话好感人啊
虽然碧婷没有辰月漂亮，但我就是莫名地喜欢碧婷
那个小胖子好咧害
请问下第一季第二季都出了，请问第三季哪里去了
童年的回忆，还是喜欢看，
千钧不会是喜欢辰月吧？
辗迟最帅……我认为他非常帅
辗迟喜欢辰月的对吗，长大了会不会在一起呢
从小就开始看，现在想起来的时候也看。
沙老师的死都是展迟害的，从洞口走多好
我每25分钟看一次手，结果去医院医生说要截肢
心好塞
喜欢辰月，温文尔雅。
……。。。。画质真的垃圾
独龙如果不自大，就不会赢的这么卑鄙
怎么没有3.和4部部
这个千钧的水坎姿势，我终于想到了，是不是冰河的钻石星辰拳？？？
打个这个tm打了一季我就想问作者你对得起我们吗？
有人是从上一集跳过来的嘛
有句话咋说的 剧情不够回忆来凑
展尺的零力，是不是万零之王穷奇的力量。
云丹老师也性感哈哈哈哈
从小就看侠岚 顶顶顶
以前就喜欢看侠岚
晨月是不是辗迟的老婆
我的评论呢？千钧那招水坎是很像冰河的砖石星辰拳啊。。。。。。。
好看不厌，我已看了78遍
前三集的辗迟的内心创伤好大！！！！！！
我感觉吧，侠岚主角是展翅
是不是一共只有6季，知道的说一下，谢谢了
感觉辗迟和辰月是一对
觉得好，所以又回来了
展驰是假叶失败的试验品
它们是把包子当汤圆吃啊，一口一个，厉害
剧情还是太拖沓，不紧凑
坏的人迟早要被更坏的人收拾
这五败之伤……是挺伤的……
我觉得千钧挺帅的
太难看了！这么多话，。恶心
辰月太善良了，她太好了
希望第七季辰月和辗迟在一起
辗迟给辰月定情信物了哈哈，
对 确实好看 我从10 到18浓浓的回忆
好喜欢辗迟和辰月啊，在一起吧，求求导演了
2018了
侠岚伴随着我们的成长是我们的好朋友。
百看不厌呀。。。。。
现在大三了又重新看一遍完完整整看一遍
想起来小时候看过这样一部动漫，现在再看一遍，满满的都是回忆
