现在的国漫也是越来越好看了，支持国漫，希望国漫越来越强大，
天罡演武常天没有胜利是不会结局的哇哈哈哈哈，他粑粑难不成也有武具，难不成也是为了天罡演武要除掉常天😂
这主角的神器声音像全职高手的叶秋大神，同意顶上去。
Fate即视感……😔
小白的声音 性格跟叶秋好像
"《我的逆战神器》不好看，希望没有第二季！
有同感的兄弟们顶我"
东皇太一抛弃你是为了不想让你被妖魔打死，这么简单不懂吗，东皇太一他想自己承担责任，不想让你牵扯进来，这都不懂吗？真的是
小白为什么要杀人？😓
好吧，其实我知道后面的全部剧情，小白他爸爸是上一个天肝炎五的胜利者，武具神级轩辕剑
小白这么厉害，莫非是神级武具
人之初，性本善。作者不更是坏蛋。你不更我不看。看你以后怎么办？
小白，到底是谁？有谁知道告诉我。
虽然我的青春都是日漫，但是现在国漫崛起了，大爱
常天的前世应该是东皇太一，小白则是上古十大神器力量之首东皇钟。
以为另一个神器会出来帮忙，小白够帅就行了，肯定没问题
小白是鸿蒙天钟(又称东皇钟)，上古十大神器之首，轩辕剑第二。
小白是鸿蒙天钟
我觉得也是，百分之90的人都会算错 哈哈！ 这是个动脑筋的题
东皇钟吗？小白是不是？
"希望每天出10集或者一次出完的。
同意的点赞。"
签到领取的V币越来越少了
主角太垃圾，遇到困难只会大吼大叫，其余的什么也帮不上！配音也垃圾！
一人之下 灵契 狐妖小红娘 全职高手 全职法师 枪神纪和这个都挺好看的
大家有没有发现上元宝库的大门才是最牛武具因为它装下了所有武具，所有它肯定比神级武具还厉害😄
"十大神器之首
...东皇钟"
"上古十大神器有两种说法。
1、东皇钟、轩辕剑、盘古斧、炼妖壶、昊天塔、伏羲琴、神农鼎、崆峒印、昆仑镜、女娲石。
2、开天斧、玲珑塔、补天石、射日弓、追日靴、乾坤袋、凤凰琴、封天印、天机镜、指天剑。
洪荒十大神器 太虚神甲、开天斧、昆吾剑、尊神刀、极乐弓、惊夜枪、无量尺、损魔鞭、含沙剑、辟邪剑。
洪荒十大宝物 开天斧、太极图、盘古幡、混沌钟、诛仙剑阵、天地玄黄玲珑宝塔、乾坤鼎、先天五行旗、十二品莲台、24颗定海/星光珠（一说为36颗）。我就想知道这鸿蒙天钟是哪里来的"
主角召唤的肯定是最强的，你们说是不是呢！
差点以为常天是东皇太一的转世。噗哈哈哈哈哈
这个国漫是哪个省出版的？？
常天的妈妈倒霉了，对不对？
男主就是男主，武具都是上古十大神器之首东皇钟
再不能出现肉体下架。
谁给我讲一下长天是东皇太一还是吕布@？
最终的坏蛋是提尔锋，性别女。古代传说之神。拥有神级武具斩裂剑。可吞噬他人的意志获取力量。不过，提尔锋是一把双刃剑，可以给人带来荣耀，也会带来杀戮，需要血，一但不能提供就会伤害主人
后面男主要死一次。而且楚倾城会有两个未婚夫
一个儿子和儿媳妇打老丈人的故事
主角召唤出的武具是古代谁的武器，也想知道的顶上去。
主角的神器好像是叶修大神在配音
比全职高手好看的有什么动漫
这神器的声优莫非是叶修大神？
我觉得小白是神级武具
小白应该就是那个啥太白金星
主人公太废了，还不如人家女孩纸
小白是三国时孔明的扇子
太短了，去掉头和尾还有多少时间看的，一星期一集，你们好意思吗
小白乃鸿蒙天钟，原主人是东皇太一
看完的时候是上午10时8分．点个赞吧
小白是什么来历 难道他就只是个天级吗
常天前世是东皇太一，最后东皇钟破碎，能力降到了地级
小白是东皇钟，十大神器力量之首，太虚神甲是洪荒十大神器之首。
其它的动画片都不要 ， 😭😭😭我只是想看全职高手
我就佩服男主这衣服，生怕不知道他是男主
小白难道是东皇钟？？？？
小白是太极，武神，这活可以吸收所有在返回去，太极，以柔克刚，
常天他老爸的武具是神级轩辕剑
"那么问题来了。鸿蒙天钟
谁打碎的"
别播了别播了 一星期就等你这几分钟。
常天的前世应该是东皇太一，小白则是上古十大神器力量之首东皇钟。
小白是最强神器吗？是吗？
为啥方天画戟是吕布的凡器，而不是杨戬的神器！
开头两分钟加上节味四分钟。每集就九分钟的样子。大哥你每周只是更新一集而已啊。能给力点吗？
哎呦，我去，方天升级了也没什么变化呀，我以为长大一点呢，还是一个，小屁孩，他妈的，不讲逻辑😂
怎么我看这个越看越有王者荣耀的影子
这不是圣杯的翻版么，感觉有点带抄袭的嫌疑。
小孩子不能看的，会学坏的
这个方天画戟到底是天级还是地级 前几集自称自己是天级 后来又称是地级 是因为上次受伤的缘故吗？
小赤死的时候真的有苦
把吕布的武器刻画成这样 莫名不爽
我来剧透一下，小白后面要变成女的
小白的武具的配音你们听出来没有？
为什么不是吕布😱😱😱
掐头去尾几分钟。。又要等一周？！
"漫画上说小白只是个武器碎片
他会强到什么地步"
跟男主作对就是作死。
小白你告诉我《全职高手》什么时候更新，我知道你知道
应该是湛卢有神钟的碎片才是天级神器
小白的声音真像全职高手的叶秋
小白是什么剑？谁知道吗
男主老爸应该也是个很厉害的人物吧
总共才16集，这都第七集了，男主要一直废材到完结吗？
我觉得挺好看的，就是时间短了点。还是要点赞哦！哈哈哈😄
"猜猜小白是什么武具
轩辕剑？ 诛仙剑？ 绝仙剑？ 戮仙剑？ 陷仙剑？
承影剑; 纯钧剑; 鱼肠剑; 七星龙渊剑; 泰阿剑 ; 赤霄剑; 湛泸剑; 轩辕夏禹剑。"
小白是鸿蒙天钟，是东皇太一的武具
快点完事，我还要回家去看一人之下呢。这广告打的6。😂😂😂
你说小白和常天凑一对cp会怎样？
小白到底是什么级别这么猛
不错的，就是漫画和动漫不一样
小白就是东皇钟
TF在我手上，赞一个喂坨翔，都别点啊，我怕喂多了撑死TF
我想六月一日全更新完，同意的点赞，谢谢你们☺
小白是太虚神钟吗？
梦塔。雪迷城，一部良心动漫
方天画戟最后死了吗 求告诉
其实我一开始就像吐槽，男主的衣服 ……，
看到吃饭怎么有种看中华小当家了
太虚，不要让我见真人配音，见到直接打
有没有如意金箍棒要在有如意金箍棒吗？
我算是知道了，男主可能是东皇太一
小白就是传说中太上老君的武具：太极图的化身。
说实话没女主比较好让男主和小白产生感情就行好不好 滑稽 嘻嘻嘻
